"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"1","Alfa Romeo ",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",2,"Luigi Fagioli",111,150.791,2,1,4.68375147569444,1,6,6,0,"Alfa Romeo SpA","Alfa Romeo ",1,1,1,1
"2","Alfa Romeo ",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",3,"Juan Manuel Fangio",111,150.791,99,1,4.68375147569444,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,1
"3","Maserati",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",5,"Prince Bira",112.6,148.648,99,1,4.68375147569444,0,0,0,0,"Other","Maserati",2,3,2,1
"4","Talbot CV",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",7,"Eugene Martin",115.4,145.041,99,1,4.68375147569444,0,0,0,0,"Other","Talbot CV",2,4,3,1
"5","Talbot CV",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",9,"Louis Rosier",116,144.291,5,1,4.68375147569444,1,2,2,0,"Other","Talbot CV",2,5,3,1
"6","Maserati",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",11,"Louis Chiron",116.6,143.549,99,1,4.68375147569444,0,0,0,0,"Officine Alfieri Maserati","Maserati",3,6,2,1
"7","ERA",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",12,"Leslie Johnson",117.4,142.571,99,1,4.68375147569444,0,0,0,0,"Solo","other",4,7,4,1
"8","ERA",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",13,"Bob Gerard",117.4,142.571,6,1,4.68375147569444,0,0,0,0,"Solo","other",4,8,4,1
"9","Alta",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",17,"Geoff Crossley",122.6,136.523,99,1,4.68375147569444,0,0,0,0,"Solo","Alta",4,9,5,1
"10","Maserati",1950-05-13,1950,"british-grand-prix","Silverstone Circuit",18,"David Murray",125.6,133.263,99,1,4.68375147569444,0,0,0,0,"Other","Maserati",2,10,2,1
"11","Ferrari",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",6,"Luigi Villoresi",112.3,101.941,99,1,3.16156530190058,0,0,0,0,"Ferrari","Ferrari",5,13,6,1
"12","Ferrari",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",9,"Raymond Sommer",116.6,98.181,4,1,3.16156530190058,1,3,3,0,"Ferrari","Ferrari",5,14,6,1
