"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Masten Gregory","USA","Camoradi International","Behra-Porsche","Porsche 1.5 F4","4","Roberto Bonomi","Argentina","Scuderia Centro Sud","Cooper T51","Maserati 250S","argentine-grand-prix",1960
"2","6","Carlos Menditeguy","Argentina","Scuderia Centro Sud","Cooper T51","Maserati 250S","8","Giorgio Scarlatti","Italy","Giorgio Scarlatti","Maserati 250F","Maserati 250F","argentine-grand-prix",1960
"3","10","Nasif Estefano","Argentina","Scuderia Centro Sud","Maserati 250F","Maserati 250F","10","Alberto Rodriguez Larreta","Argentina","Team Lotus","Lotus 16","Climax 2.5 L4","argentine-grand-prix",1960
"4","12","Antonio Creus","Spain","Antonio Creus","Maserati 250F","Maserati 250F","14","Gino Munaron","Italy","Gino Munaron","Maserati 250F","Maserati 250F","argentine-grand-prix",1960
"5","16","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T45","Climax 2.5 L4","18","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.5 L4","argentine-grand-prix",1960
"6","20","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","22","Alan Stacey","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","argentine-grand-prix",1960
"7","24","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","26","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","argentine-grand-prix",1960
"8","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Cooper T51","Climax 2.5 L4","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Cooper T51","Climax 2.5 L4","argentine-grand-prix",1960
"9","30","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","32","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","argentine-grand-prix",1960
"10","34","Harry Schell","USA","Ecurie Bleue","Cooper T51","Climax FPF2.5","38","Maurice Trintignant","France","Rob Walker Racing Team","Cooper T51","Climax 2.5 L4","argentine-grand-prix",1960
