"","Date","Circuit Name","Event"
"1","7 February 1960","Autódromo Juan y Oscar Gálvez","Argentine Grand Prix"
"2","29 May 1960","Circuit de Monaco","Monaco Grand Prix"
"3","30 May 1960","Indianapolis Motor Speedway","Indianapolis 500"
"4","6 June 1960","Circuit Zandvoort","Dutch Grand Prix"
"5","19 June 1960","Circuit de Spa-Francorchamps","Belgian Grand Prix"
"6","3 July 1960","Reims-Gueux","French Grand Prix"
"7","16 July 1960","Silverstone Circuit","British Grand Prix"
"8","14 August 1960","Circuito da Boavista","Portuguese Grand Prix"
"9","4 September 1960","Autodromo Nazionale Monza","Italian Grand Prix"
"10","20 November 1960","Riverside International Raceway","United States Grand Prix"
