"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","2","3","1","4","21","14","17","20","15","19","8","12","16","11","6","24","5","23","18","",""
"2","2","3","1","4","21","20","17","14","15","16","12","11","6","5","19","18","24","23","10","8","9"
"3","2","3","1","4","21","20","17","14","15","16","12","11","6","5","19","18","24","23","10","9","8"
"4","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","9",""
"5","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","9",""
"6","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","9",""
"7","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","",""
"8","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","",""
"9","2","3","1","4","21","17","20","14","15","16","12","11","6","5","19","18","24","23","10","",""
"10","2","3","1","4","21","20","14","15","16","12","11","6","5","19","18","24","23","10","","",""
"11","3","2","1","4","21","20","14","15","16","12","11","6","5","19","18","24","23","10","","",""
"12","3","2","1","4","21","20","14","15","16","11","12","6","5","19","18","24","23","10","","",""
"13","3","2","1","4","21","20","14","15","16","11","12","6","5","19","18","24","23","10","","",""
"14","3","2","1","4","21","20","14","15","16","11","12","6","5","19","18","24","23","10","","",""
"15","3","2","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"16","1","2","3","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"17","2","1","3","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"18","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"19","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"20","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"21","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"22","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"23","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"24","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"25","2","3","1","4","21","14","20","15","16","11","12","6","5","19","18","24","23","10","","",""
"26","2","3","1","4","21","14","20","15","11","12","16","6","5","18","24","23","10","","","",""
"27","2","3","1","4","21","14","20","15","11","12","16","6","5","18","24","23","10","","","",""
"28","2","3","1","4","21","14","20","15","11","12","16","6","5","18","24","23","10","","","",""
"29","2","3","1","4","21","14","20","15","11","12","16","6","5","18","24","23","10","","","",""
"30","2","3","1","4","21","14","20","15","11","12","16","6","5","18","24","10","23","","","",""
"31","2","3","1","4","21","14","20","15","11","12","16","6","5","18","10","23","24","","","",""
"32","2","3","1","4","21","14","20","15","11","12","16","6","5","18","10","23","24","","","",""
"33","2","3","1","4","21","14","20","15","11","12","16","6","5","18","10","23","24","","","",""
"34","2","3","1","4","14","21","20","15","11","12","16","6","5","18","10","23","24","","","",""
"35","2","3","1","4","14","21","20","15","11","12","16","6","5","18","10","23","24","","","",""
"36","2","3","1","4","14","21","20","15","11","12","16","6","5","18","10","23","24","","","",""
"37","2","3","1","4","14","21","20","15","11","12","16","6","5","18","10","23","24","","","",""
"38","2","3","4","1","14","21","15","11","12","16","6","5","18","10","23","24","","","","",""
"39","3","4","2","1","14","21","15","11","12","16","6","5","18","10","23","24","","","","",""
"40","2","1","3","4","14","21","15","11","12","16","6","5","18","10","23","24","","","","",""
"41","2","1","3","4","14","15","21","11","12","16","6","5","18","10","23","24","","","","",""
"42","2","1","3","4","14","15","21","12","11","16","6","5","18","10","23","24","","","","",""
"43","2","1","3","4","14","15","21","12","11","16","6","5","18","10","23","24","","","","",""
"44","2","1","3","4","14","15","21","12","11","16","6","5","18","10","23","24","","","","",""
"45","2","1","3","4","14","15","21","12","11","16","6","5","18","10","23","","","","","",""
"46","2","1","3","4","14","15","21","12","11","16","6","18","10","23","","","","","","",""
"47","2","1","3","4","14","15","21","12","11","16","6","18","10","23","","","","","","",""
"48","2","1","3","4","14","15","21","12","11","16","6","18","10","23","","","","","","",""
"49","2","1","3","4","14","15","21","12","11","16","6","18","10","23","","","","","","",""
"50","2","1","3","4","14","15","21","12","11","16","6","18","10","23","","","","","","",""
"51","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"52","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"53","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"54","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"55","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"56","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"57","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"58","2","1","3","4","14","15","12","11","16","6","18","10","23","","","","","","","",""
"59","2","1","3","4","14","15","12","11","16","6","18","10","","","","","","","","",""
"60","2","1","3","4","14","15","12","11","16","6","18","10","","","","","","","","",""
"61","2","1","3","4","14","15","12","11","16","6","18","10","","","","","","","","",""
"62","2","1","3","4","14","15","12","11","16","6","18","10","","","","","","","","",""
"63","2","1","3","4","14","15","12","11","16","6","10","18","","","","","","","","",""
"64","2","3","4","14","15","12","11","16","6","10","18","","","","","","","","","",""
"65","2","3","4","14","15","12","11","16","6","10","18","","","","","","","","","",""
"66","2","3","4","14","15","12","11","16","","","","","","","","","","","","",""
"67","2","3","4","14","15","12","11","","","","","","","","","","","","","",""
"68","2","3","4","14","15","12","11","","","","","","","","","","","","","",""
"69","2","3","4","14","15","","","","","","","","","","","","","","","",""
"70","2","3","4","","","","","","","","","","","","","","","","","",""
"71"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
