"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","6","2","4","16","18","20","28","36","22","40","32","44","30","42","12","34","14"
"2","2","","","","","","","","","","","","","","","",""
"3","2","","","","","","","","","","","","","","","",""
"4","2","","","","","","","","","","","","","","","",""
"5","2","","","","","","","","","","","","","","","",""
"6","2","","","","","","","","","","","","","","","",""
"7","2","","","","","","","","","","","","","","","",""
"8","2","","","","","","","","","","","","","","","",""
"9","2","","","","","","","","","","","","","","","",""
"10","2","","","","","","","","","","","","","","","",""
"11","2","","","","","","","","","","","","","","","",""
"12","2","","","","","","","","","","","","","","","",""
"13","2","","","","","","","","","","","","","","","",""
"14","2","","","","","","","","","","","","","","","",""
"15","2","","","","","","","","","","","","","","","",""
"16","2","","","","","","","","","","","","","","","",""
"17","2","","","","","","","","","","","","","","","",""
"18","6","","","","","","","","","","","","","","","",""
"19","6","","","","","","","","","","","","","","","",""
"20","6","","","","","","","","","","","","","","","",""
"21","6","","","","","","","","","","","","","","","",""
"22","6","","","","","","","","","","","","","","","",""
"23","6","","","","","","","","","","","","","","","",""
"24","6","","","","","","","","","","","","","","","",""
"25","6","","","","","","","","","","","","","","","",""
"26","6","","","","","","","","","","","","","","","",""
"27","6","","","","","","","","","","","","","","","",""
"28","6","","","","","","","","","","","","","","","",""
"29","6","","","","","","","","","","","","","","","",""
"30","6","","","","","","","","","","","","","","","",""
"31","6","","","","","","","","","","","","","","","",""
"32","6","","","","","","","","","","","","","","","",""
"33","6","","","","","","","","","","","","","","","",""
"34","6","","","","","","","","","","","","","","","",""
"35","6","","","","","","","","","","","","","","","",""
"36","6","","","","","","","","","","","","","","","",""
"37","6","","","","","","","","","","","","","","","",""
"38","6","","","","","","","","","","","","","","","",""
"39","6","","","","","","","","","","","","","","","",""
"40","6","","","","","","","","","","","","","","","",""
"41","6","","","","","","","","","","","","","","","",""
"42","6","","","","","","","","","","","","","","","",""
"43","6","","","","","","","","","","","","","","","",""
"44","6","","","","","","","","","","","","","","","",""
"45","6","","","","","","","","","","","","","","","",""
"46","6","","","","","","","","","","","","","","","",""
"47","6","","","","","","","","","","","","","","","",""
"48","6","","","","","","","","","","","","","","","",""
"49","6","","","","","","","","","","","","","","","",""
"50","6","","","","","","","","","","","","","","","",""
"51","6","","","","","","","","","","","","","","","",""
"52","6","","","","","","","","","","","","","","","",""
"53","6","","","","","","","","","","","","","","","",""
"54","6","","","","","","","","","","","","","","","",""
"55","6","","","","","","","","","","","","","","","",""
"56","6","","","","","","","","","","","","","","","",""
"57","6","","","","","","","","","","","","","","","",""
"58","6","","","","","","","","","","","","","","","",""
"59","6","","","","","","","","","","","","","","","",""
"60","6","","","","","","","","","","","","","","","",""
"61","6","","","","","","","","","","","","","","","",""
"62","6","","","","","","","","","","","","","","","",""
"63","6","","","","","","","","","","","","","","","",""
"64","6","","","","","","","","","","","","","","","",""
"65"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
