"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","18","16","10","46","36","48","12","4","44","40","42","58","64","30","24","38","8","6","56","32","2","52","50","22","62","28"
"2","10","16","18","46","60","36","48","12","42","30","44","4","38","6","64","24","58","56","8","62","40","50","32","22","2",""
"3","10","16","18","46","60","36","48","12","42","44","4","38","6","64","8","58","24","56","62","40","50","32","2","22","",""
"4","10","16","18","46","60","36","48","12","4","44","38","6","8","64","58","56","24","62","40","32","50","2","22","42","",""
"5","10","16","18","46","60","36","48","12","4","44","38","6","8","58","64","56","24","62","40","32","50","2","22","42","",""
"6","10","16","18","46","60","48","36","12","4","44","6","38","8","58","64","56","24","62","40","32","50","2","22","42","",""
"7","10","16","18","46","60","48","36","12","4","44","6","38","8","58","64","56","24","62","40","32","50","2","22","42","",""
"8","10","16","18","46","60","48","36","12","4","44","6","38","8","58","64","56","24","62","40","32","50","2","22","42","",""
"9","10","16","18","46","60","48","36","12","4","6","38","8","58","64","56","62","24","40","32","2","22","50","42","","",""
"10","10","18","16","46","60","48","36","12","4","6","38","58","64","8","24","62","56","40","32","2","22","50","42","","",""
"11","10","16","18","46","60","48","36","12","4","6","38","58","64","24","62","8","56","40","32","2","22","50","42","","",""
"12","10","16","18","46","60","48","36","12","4","6","38","58","64","62","24","8","56","32","40","2","22","50","42","","",""
"13","10","16","18","60","48","36","12","4","6","38","58","64","24","8","56","32","40","2","62","22","50","42","","","",""
"14","10","16","18","60","48","36","12","4","38","58","64","24","8","56","32","40","2","62","6","50","22","42","","","",""
"15","16","10","18","60","36","48","12","4","38","58","64","24","8","56","32","40","62","2","50","22","","","","","",""
"16","16","10","18","60","36","48","12","4","38","58","24","64","8","56","32","40","62","50","22","2","","","","","",""
"17","10","16","18","60","36","48","12","4","38","24","58","64","8","56","32","40","50","22","2","","","","","","",""
"18","10","16","18","60","36","48","12","4","38","24","58","8","56","32","40","50","2","22","","","","","","","",""
"19","10","16","18","60","36","48","12","4","38","24","58","8","56","32","40","50","2","","","","","","","","",""
"20","10","16","18","60","36","48","12","4","38","24","58","8","56","32","40","50","2","","","","","","","","",""
"21","10","16","18","60","36","48","12","4","38","24","58","8","56","32","40","50","2","","","","","","","","",""
"22","10","16","18","60","36","48","12","4","38","24","58","8","56","32","40","50","2","","","","","","","","",""
"23","10","60","18","36","48","12","4","38","24","58","8","56","32","40","50","2","","","","","","","","","",""
"24","10","60","18","36","48","12","24","38","58","8","56","4","32","40","50","","","","","","","","","","",""
"25","10","60","36","48","12","38","24","58","8","56","4","32","40","50","","","","","","","","","","","",""
"26","10","60","36","48","12","38","58","24","8","56","4","32","40","50","","","","","","","","","","","",""
"27","10","60","36","48","12","24","8","38","56","58","4","32","40","50","","","","","","","","","","","",""
"28","10","60","48","36","12","24","38","56","8","58","4","32","40","50","","","","","","","","","","","",""
"29","10","60","48","36","12","24","38","8","58","4","32","40","56","50","","","","","","","","","","","",""
"30","10","60","48","36","12","24","38","58","8","4","32","40","56","50","","","","","","","","","","","",""
"31","10","60","48","36","12","24","38","58","8","4","32","40","50","","","","","","","","","","","","",""
"32","10","60","48","36","12","24","38","58","8","4","32","40","50","","","","","","","","","","","","",""
"33","10","60","48","36","12","24","38","58","8","4","32","40","50","","","","","","","","","","","","",""
"34","10","60","48","36","12","24","38","58","8","4","32","40","50","","","","","","","","","","","","",""
"35","10","60","36","48","12","24","38","58","4","8","32","40","50","","","","","","","","","","","","",""
"36","10","36","48","12","24","38","4","58","8","32","40","50","","","","","","","","","","","","","",""
"37","10","36","48","12","24","38","4","58","8","32","40","50","","","","","","","","","","","","","",""
