"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","34","32","2","14","36","38","40","48","42","16","10","52","12","24","50","26","44","6","8"
"2","34","38","2","48","40","42","14","50","6","26","","","","","","","","",""
"3","34","42","48","40","14","50","26","6","38","","","","","","","","","",""
"4","34","40","42","48","14","50","26","38","6","","","","","","","","","",""
"5","34","40","42","48","14","50","38","26","6","","","","","","","","","",""
"6","34","40","42","48","14","50","38","26","6","","","","","","","","","",""
"7","34","40","42","48","14","38","50","26","6","","","","","","","","","",""
"8","34","40","42","48","38","14","50","26","6","","","","","","","","","",""
"9","34","40","42","48","38","14","50","26","6","","","","","","","","","",""
"10","34","40","42","48","38","14","50","26","6","","","","","","","","","",""
"11","34","40","42","38","48","14","50","26","6","","","","","","","","","",""
"12","34","40","42","38","48","14","50","26","6","","","","","","","","","",""
"13","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"14","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"15","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"16","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"17","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"18","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"19","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"20","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"21","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"22","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"23","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"24","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"25","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"26","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"27","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"28","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"29","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"30","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"31","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"32","34","38","40","42","48","14","50","26","6","","","","","","","","","",""
"33","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"34","34","38","40","42","48","14","50","26","6","","","","","","","","","",""
"35","34","38","40","42","48","14","50","26","6","","","","","","","","","",""
"36","34","38","40","42","48","14","50","26","6","","","","","","","","","",""
"37","34","40","38","42","48","14","50","26","6","","","","","","","","","",""
"38","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"39","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"40","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"41","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"42","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"43","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"44","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"45","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"46","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"47","34","38","40","42","48","50","26","6","","","","","","","","","","",""
"48","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"49","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"50","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"51","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"52","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"53","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"54","34","38","40","48","42","50","26","6","","","","","","","","","","",""
"55","34","40","38","48","42","50","26","6","","","","","","","","","","",""
"56","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"57","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"58","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"59","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"60","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"61","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"62","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"63","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"64","34","40","38","48","42","50","6","26","","","","","","","","","","",""
"65","34","40","48","42","50","6","26","","","","","","","","","","","",""
"66","34","40","48","42","50","6","26","","","","","","","","","","","",""
"67","34","40","48","42","50","6","26","","","","","","","","","","","",""
"68","34","40","48","42","50","6","26","","","","","","","","","","","",""
"69","34","40","48","42","50","6","26","","","","","","","","","","","",""
"70","34","40","48","42","50","6","26","","","","","","","","","","","",""
