"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","14","16","12","22","18","42","6","30","8","10","32","34","20","4","2","26","40","44"
"2","14","16","18","12","22","30","10","42","8","34","32","26","20","2","44","4","40",""
"3","14","16","18","12","22","30","10","42","8","26","20","32","2","44","4","34","40",""
"4","14","16","12","22","30","10","18","42","8","26","20","32","44","34","2","4","40",""
"5","14","16","22","12","30","10","42","8","26","20","34","32","44","2","40","4","18",""
"6","14","16","22","12","30","42","10","8","26","20","34","32","44","2","40","4","",""
"7","14","16","22","12","30","42","10","8","20","26","34","32","44","2","40","4","",""
"8","16","14","22","12","30","42","10","8","34","20","32","44","2","40","26","4","",""
"9","16","14","22","12","30","42","10","8","34","20","32","44","2","40","26","4","",""
"10","16","14","12","22","30","42","8","10","34","20","32","44","2","40","26","4","",""
"11","16","14","12","30","42","8","10","34","20","32","44","2","26","40","4","","",""
"12","16","14","12","30","42","8","10","34","20","32","44","2","40","26","4","","",""
"13","16","14","12","30","42","8","10","34","20","32","44","2","40","4","26","","",""
"14","16","14","12","30","42","8","10","34","20","44","32","2","40","4","26","","",""
"15","16","14","12","30","42","8","10","34","20","44","32","2","40","4","26","","",""
"16","16","14","12","30","42","8","10","34","20","32","44","2","40","4","26","","",""
"17","16","14","12","42","30","8","10","34","20","32","44","2","4","26","40","","",""
"18","16","14","12","42","8","10","30","34","20","32","44","2","4","26","40","","",""
"19","16","14","12","42","10","8","34","30","20","44","32","2","4","26","40","","",""
"20","16","14","12","42","10","8","34","30","20","44","32","2","4","26","40","","",""
"21","16","14","12","42","10","30","34","32","44","2","4","26","40","","","","",""
"22","14","16","12","42","10","30","34","44","32","2","4","26","40","","","","",""
"23","14","12","16","42","10","30","34","44","32","2","4","26","40","","","","",""
"24","12","16","14","42","10","30","34","44","32","2","4","26","40","","","","",""
"25","16","14","12","42","10","30","34","44","32","2","4","26","40","","","","",""
"26","16","14","12","10","42","30","34","44","32","2","4","26","40","","","","",""
"27","16","14","12","10","30","34","44","32","2","4","26","40","","","","","",""
"28","16","14","12","10","30","34","44","32","2","4","26","40","","","","","",""
"29","16","14","12","10","30","34","44","32","2","4","26","40","","","","","",""
"30","16","14","12","10","30","34","32","44","2","4","26","40","","","","","",""
"31","16","14","12","10","30","34","32","2","44","4","26","40","","","","","",""
"32","16","14","12","10","30","34","32","2","44","26","4","40","","","","","",""
"33","16","14","12","10","30","34","32","2","44","26","4","40","","","","","",""
"34","16","14","12","10","30","34","32","44","2","26","4","40","","","","","",""
"35","16","12","10","30","34","32","44","2","26","4","40","","","","","","",""
"36","16","12","10","30","34","32","44","2","26","4","40","","","","","","",""
"37","16","12","10","30","32","34","44","2","26","4","","","","","","","",""
"38","16","12","10","30","34","32","2","44","26","4","","","","","","","",""
"39","16","12","10","30","34","32","2","44","26","4","","","","","","","",""
"40","16","12","10","30","34","32","2","44","26","","","","","","","","",""
"41","16","12","10","30","34","32","","","","","","","","","","","",""
"42","16","12","10","","","","","","","","","","","","","","",""
"43"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
