"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","2","4","10","8","12","6","14","22","18","20","16","24","26"
"2","10","4","8","2","12","6","22","14","16","18","24","26",""
"3","10","4","8","2","12","6","14","22","16","24","18","26",""
"4","4","10","8","2","12","6","14","22","16","24","26","18",""
"5","4","8","10","2","12","6","14","22","16","24","26","18",""
"6","4","8","2","10","12","6","14","22","16","24","26","18",""
"7","4","2","8","10","12","6","14","22","24","16","26","18",""
"8","4","2","10","8","12","6","14","22","24","16","26","18",""
"9","4","2","10","8","12","6","14","22","24","16","26","18",""
"10","4","2","10","8","6","14","22","24","16","26","18","",""
"11","4","2","8","6","10","14","22","24","16","26","18","",""
"12","4","2","8","10","6","14","22","24","16","26","18","",""
"13","4","2","8","10","14","22","24","16","26","18","","",""
"14","4","2","8","10","14","22","24","16","26","18","","",""
"15","4","2","8","10","14","22","24","16","26","18","","",""
"16","2","4","8","10","14","22","24","16","26","18","","",""
"17","4","8","10","14","22","24","16","26","18","2","","",""
"18","4","10","8","14","22","24","16","26","18","2","","",""
"19","4","10","8","14","22","24","16","26","18","2","","",""
"20","4","10","8","14","22","24","16","26","18","2","","",""
"21","4","8","10","14","22","24","16","26","18","2","","",""
"22","4","8","10","14","22","24","16","26","18","2","","",""
"23","4","8","10","14","22","24","16","18","26","2","","",""
"24","4","8","10","14","22","24","16","18","26","2","","",""
"25","4","8","10","14","22","24","16","18","26","2","","",""
"26","4","8","10","14","22","24","16","18","26","2","","",""
"27","4","8","10","14","22","24","16","18","26","2","","",""
"28","4","8","10","14","22","24","16","18","26","2","","",""
"29","4","8","10","14","22","24","16","26","18","2","","",""
"30","4","8","10","14","22","24","16","26","2","","","",""
"31","4","8","10","14","22","24","16","26","2","","","",""
"32","4","8","10","14","22","24","16","26","2","","","",""
"33","4","8","10","14","22","24","16","26","2","","","",""
"34","4","8","10","14","22","24","16","","","","","",""
"35","4","8","10","14","22","","","","","","","",""
"36","4","8","10","","","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "
