"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","4","2","12","10","6","14","8","42","26","38","46","28","40","44","50","18","36","32","48","24","34","20","30"
"2","12","4","10","6","14","2","26","32","8","34","50","30","40","42","46","38","36","20","44","48","28","18","24"
"3","12","4","10","6","14","2","8","26","34","30","40","50","42","46","38","44","20","36","48","28","32","",""
"4","12","4","10","6","14","2","8","26","34","30","40","42","38","46","44","20","28","36","48","32","","",""
"5","12","4","10","2","14","8","26","6","34","42","38","46","40","44","28","20","36","48","32","","","",""
"6","12","4","10","2","14","8","26","34","38","42","40","46","44","20","28","36","48","6","32","","","",""
"7","12","4","10","2","14","8","26","34","38","42","40","46","44","20","28","48","36","6","32","","","",""
"8","12","4","10","2","14","8","26","38","40","42","46","44","34","28","20","36","48","6","32","","","",""
"9","12","4","10","2","14","8","26","40","38","42","46","44","28","20","48","6","32","36","","","","",""
"10","4","12","2","10","14","8","26","40","38","42","46","44","28","20","48","6","32","36","","","","",""
"11","2","10","4","14","12","8","26","40","42","38","46","44","28","20","48","6","32","36","","","","",""
"12","2","10","14","8","4","26","40","42","38","46","44","28","20","48","6","32","36","","","","","",""
"13","2","10","14","8","4","26","40","42","38","46","44","28","20","48","6","36","","","","","","",""
"14","2","10","14","8","4","26","40","42","46","38","44","28","20","48","6","36","","","","","","",""
"15","2","10","14","8","26","40","42","46","38","44","28","20","48","4","6","36","","","","","","",""
"16","2","10","14","8","26","40","42","46","38","44","28","20","48","6","4","36","","","","","","",""
"17","2","10","8","14","26","40","42","46","38","44","28","20","48","6","4","36","","","","","","",""
"18","2","10","8","14","26","40","42","46","38","44","28","20","48","6","4","36","","","","","","",""
"19","2","10","8","14","26","40","42","46","38","44","28","20","48","6","4","36","","","","","","",""
"20","2","10","8","14","26","40","42","46","38","44","28","48","6","20","4","36","","","","","","",""
"21","2","10","8","14","26","40","42","46","38","44","28","48","6","20","4","36","","","","","","",""
"22","2","8","14","10","26","40","42","46","38","44","28","48","6","20","4","36","","","","","","",""
"23","2","14","8","10","26","40","42","46","38","44","28","48","6","20","4","36","","","","","","",""
"24","2","14","8","10","26","40","42","46","38","44","28","48","6","20","4","36","","","","","","",""
"25","2","14","8","10","26","40","42","46","38","44","28","48","6","4","36","","","","","","","",""
"26","2","14","10","8","26","42","40","46","38","44","28","48","6","4","36","","","","","","","",""
"27","2","14","10","8","26","42","40","46","38","44","28","48","6","4","36","","","","","","","",""
"28","2","14","10","8","26","42","40","46","38","44","28","48","6","4","36","","","","","","","",""
"29","2","14","10","8","26","42","40","46","38","44","28","48","6","4","","","","","","","","",""
"30","2","14","10","8","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"31","2","14","10","8","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"32","2","14","10","8","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"33","2","14","10","8","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"34","2","14","10","8","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"35","2","14","8","10","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"36","2","14","8","10","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
"37","2","14","8","10","26","40","42","46","38","44","28","48","6","4","","","","","","","","",""
