"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","71","74","75","76","72","73","78","91","82","77","87","83","85","81","84","79","92","94","90","88","86","93"
"2","75","71","74","76","78","73","72","77","83","82","87","81","91","86","84","94","88","85","90","92","93","79"
"3","75","71","74","76","73","72","77","83","82","87","81","91","84","86","94","88","90","92","93","85","78","79"
"4","75","71","74","76","73","72","77","83","82","87","81","91","84","86","88","94","90","92","93","78","85",""
"5","75","71","74","76","72","73","83","82","81","87","91","84","86","77","88","94","90","93","78","","",""
"6","71","75","74","76","72","73","83","81","87","82","91","84","77","88","90","94","93","78","","","",""
"7","71","74","75","76","72","83","73","81","87","82","91","84","77","88","90","93","94","78","","","",""
"8","71","74","75","72","76","73","83","81","87","82","91","77","84","88","90","93","78","94","","","",""
"9","71","74","75","72","76","73","87","81","91","83","84","82","77","90","88","93","78","94","","","",""
"10","71","74","75","72","73","87","91","84","83","82","77","81","78","90","88","93","94","","","","",""
"11","74","71","75","72","73","87","91","84","82","83","77","81","78","90","93","88","94","","","","",""
"12","75","71","74","72","73","87","82","91","84","77","83","78","81","90","93","88","94","","","","",""
"13","75","71","74","72","73","87","82","77","84","91","81","90","93","88","94","","","","","","",""
"14","75","71","74","72","73","87","82","84","91","81","90","93","94","","","","","","","","",""
"15","75","71","74","72","73","87","82","84","91","90","93","94","","","","","","","","","",""
"16","71","75","74","72","73","82","84","91","87","90","93","94","","","","","","","","","",""
"17","71","75","74","72","73","82","84","91","87","90","93","94","","","","","","","","","",""
"18","71","75","74","72","73","82","91","84","87","90","93","94","","","","","","","","","",""
"19","71","75","74","72","73","91","82","84","90","93","","","","","","","","","","","",""
"20","71","75","74","72","73","91","82","84","","","","","","","","","","","","","",""
"21"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
