"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","38","34","2","6","4","8","40","30","36","32","48","50","46","24","18","12","20","44","16","22","26","28"
"2","38","2","34","6","40","4","8","36","50","46","18","48","24","22","28","20","44","26","16","","",""
"3","38","2","34","6","40","4","8","50","46","48","18","24","22","28","20","44","26","","","","",""
"4","38","2","34","6","4","40","8","50","46","48","18","24","22","28","20","26","44","","","","",""
"5","2","38","34","6","4","40","8","50","46","48","18","24","22","28","20","26","44","","","","",""
"6","2","38","6","4","40","8","50","46","48","18","24","22","20","44","34","28","","","","","",""
"7","2","38","6","4","40","8","50","46","48","18","24","22","20","34","44","28","","","","","",""
"8","2","38","6","4","40","8","50","46","48","18","24","20","22","44","28","","","","","","",""
"9","38","2","6","4","40","8","50","46","48","18","24","20","22","44","","","","","","","",""
"10","38","2","6","4","40","8","50","46","48","18","24","20","22","44","","","","","","","",""
"11","38","2","6","4","40","8","50","46","48","18","24","20","44","","","","","","","","",""
"12","38","2","6","4","40","8","50","46","48","18","24","20","44","","","","","","","","",""
"13","38","2","6","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"14","38","2","6","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"15","2","6","4","40","38","8","46","48","18","50","24","20","44","","","","","","","","",""
"16","2","6","4","40","38","8","46","48","18","50","24","20","44","","","","","","","","",""
"17","2","6","40","4","38","8","46","48","18","50","24","20","44","","","","","","","","",""
"18","2","6","40","4","38","8","46","48","18","50","24","20","44","","","","","","","","",""
"19","2","6","40","38","4","8","46","48","18","50","24","20","44","","","","","","","","",""
"20","2","6","38","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"21","2","6","38","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"22","2","6","38","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"23","2","6","38","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"24","2","6","38","4","40","8","46","48","18","50","24","20","44","","","","","","","","",""
"25","2","6","38","4","40","8","46","48","18","50","24","44","","","","","","","","","",""
"26","2","6","38","4","40","8","46","48","18","50","24","44","","","","","","","","","",""
"27","2","6","38","40","4","8","46","48","18","50","24","44","","","","","","","","","",""
"28","2","6","40","38","4","8","46","48","18","50","24","44","","","","","","","","","",""
"29","2","6","40","38","4","8","46","48","18","50","24","44","","","","","","","","","",""
"30","2","6","38","40","4","8","46","48","18","50","24","44","","","","","","","","","",""
"31","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"32","2","6","38","4","40","8","48","18","24","44","","","","","","","","","","","",""
"33","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"34","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"35","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"36","2","6","38","40","4","8","18","48","24","44","","","","","","","","","","","",""
"37","2","6","38","4","40","8","48","18","24","44","","","","","","","","","","","",""
"38","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"39","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"40","2","6","38","40","4","8","48","18","24","44","","","","","","","","","","","",""
"41","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"42","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"43","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"44","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"45","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"46","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"47","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"48","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"49","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"50","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"51","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"52","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"53","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"54","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"55","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"56","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"57","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"58","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"59","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"60","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"61","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"62","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"63","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"64","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"65","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"66","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"67","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"68","2","6","40","4","8","48","18","24","44","","","","","","","","","","","","",""
"69","2","6","40","4","8","48","18","24","","","","","","","","","","","","","",""
"70","2","6","40","4","8","48","18","24","","","","","","","","","","","","","",""
"71","2","6","40","4","8","48","18","24","","","","","","","","","","","","","",""
"72","2","6","40","4","8","48","18","24","","","","","","","","","","","","","",""
"73","2","6","40","4","8","48","18","24","","","","","","","","","","","","","",""
"74","2","6","40","4","8","48","18","","","","","","","","","","","","","","",""
