"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","24","22","18","28","26","44","20","8","16","38","10","4","42","14","6","52","32","2","30","12","40"
"2","24","22","28","18","26","20","38","16","44","4","14","30","10","8","12","32","42","40","6","2",""
"3","24","22","28","18","26","20","38","16","44","4","14","30","10","8","12","32","42","40","6","2",""
"4","24","22","28","18","26","20","38","44","16","4","14","30","10","8","12","32","42","40","2","6",""
"5","24","22","28","18","26","20","38","44","16","4","14","30","10","8","12","32","42","40","2","6",""
"6","24","22","28","18","26","20","44","38","16","4","14","30","8","10","12","32","42","40","2","6",""
"7","24","22","18","28","26","20","44","38","16","14","4","30","8","10","12","32","42","40","2","6",""
"8","24","22","18","28","26","20","44","38","16","14","30","4","8","10","12","32","42","40","2","6",""
"9","24","22","18","28","26","20","44","38","30","16","14","4","8","10","12","32","42","2","40","6",""
"10","24","22","18","28","26","44","20","38","30","16","14","4","8","10","12","32","42","2","6","40",""
"11","24","22","18","28","26","44","20","38","30","14","16","4","8","10","12","32","42","2","6","40",""
"12","24","22","18","28","26","44","20","38","30","14","16","4","8","10","12","32","2","6","40","",""
"13","24","22","18","28","26","44","20","38","30","14","16","4","8","10","12","32","2","6","40","",""
"14","24","22","28","44","26","20","38","30","14","16","8","4","10","12","32","2","6","40","","",""
"15","24","22","44","28","26","20","30","38","14","16","8","4","10","12","32","2","40","6","","",""
"16","24","22","44","28","26","20","30","38","14","16","8","4","10","12","32","2","40","","","",""
"17","24","22","44","28","26","20","30","38","16","14","8","10","4","12","32","2","40","","","",""
"18","24","22","44","28","26","20","30","38","16","14","8","10","4","12","32","2","40","","","",""
"19","24","22","44","28","26","20","30","38","16","14","8","10","4","12","32","2","40","","","",""
"20","24","22","44","28","26","20","30","38","16","14","8","10","4","12","32","2","40","","","",""
"21","24","22","44","28","26","20","30","38","16","14","8","10","4","12","32","2","40","","","",""
"22","24","22","44","28","26","20","30","16","38","14","8","10","4","32","12","2","40","","","",""
"23","24","22","44","26","20","28","16","30","38","14","8","10","4","32","12","2","40","","","",""
"24","24","22","44","26","28","20","16","30","38","14","8","10","4","32","12","2","40","","","",""
"25","22","24","44","26","28","20","38","14","16","8","10","30","4","32","2","40","","","","",""
"26","22","24","44","28","26","20","38","16","14","8","10","30","4","32","2","40","","","","",""
"27","22","24","44","28","26","20","16","38","14","8","10","30","4","32","2","40","","","","",""
"28","22","24","44","28","26","20","16","38","14","8","10","30","4","32","2","40","","","","",""
"29","22","24","44","28","26","20","16","14","38","8","10","30","4","32","2","40","","","","",""
"30","24","22","44","28","26","20","16","14","38","8","30","10","4","32","2","40","","","","",""
"31","24","22","44","28","26","20","16","14","30","8","38","10","4","32","2","40","","","","",""
"32","24","22","44","28","26","20","16","14","30","8","38","4","32","2","40","","","","","",""
"33","24","22","44","28","26","20","16","14","30","8","38","4","32","2","","","","","","",""
"34","24","22","44","28","26","20","16","14","30","8","38","4","32","2","","","","","","",""
"35","24","22","44","28","26","20","16","14","30","8","38","4","32","2","","","","","","",""
"36","24","22","44","28","26","16","20","14","30","8","38","4","32","2","","","","","","",""
"37","24","22","44","28","26","16","20","14","30","8","38","4","32","","","","","","","",""
"38","24","22","44","28","26","20","14","30","8","38","4","32","","","","","","","","",""
"39","24","22","44","28","26","20","14","30","8","4","38","32","","","","","","","","",""
"40","24","22","44","28","26","20","14","30","8","4","38","","","","","","","","","",""
"41","24","22","44","28","26","20","30","14","","","","","","","","","","","","",""
"42","24","44","22","28","","","","","","","","","","","","","","","","",""
"43"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
