"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","4","2","6","14","16","8","36","28","10","32","26","12","34","24","40","42","22","20","18","30","38","44"
"2","16","4","2","8","36","28","10","14","6","40","26","24","18","34","30","12","20","22","38","42","44",""
"3","4","2","16","8","36","6","28","14","10","24","40","26","18","34","30","12","20","22","38","44","42",""
"4","4","2","16","8","6","36","14","28","10","24","40","18","20","30","34","12","22","38","44","42","26",""
"5","4","2","16","6","8","36","14","28","10","24","40","18","20","30","34","12","22","44","38","42","",""
"6","4","2","16","6","36","8","14","28","10","24","40","18","20","30","34","12","22","44","38","42","",""
"7","4","2","16","6","36","8","14","28","10","24","40","18","20","30","34","12","44","38","22","42","",""
"8","4","2","16","6","36","8","14","28","10","24","40","18","20","30","34","12","44","38","42","","",""
"9","4","2","16","6","8","36","14","28","10","40","24","18","20","30","34","12","44","38","42","","",""
"10","4","2","16","6","8","36","14","28","10","40","18","24","20","30","34","12","44","38","42","","",""
"11","4","2","16","6","8","36","14","28","10","40","18","24","20","30","12","34","38","44","42","","",""
"12","4","2","16","6","8","14","28","10","40","18","20","24","30","12","34","38","44","42","","","",""
"13","4","2","16","6","8","14","28","10","40","18","20","30","12","34","24","38","44","42","","","",""
"14","4","2","6","16","8","14","28","10","40","18","20","30","12","34","24","38","44","42","","","",""
"15","4","2","14","8","28","10","40","18","20","12","30","34","24","38","44","42","","","","","",""
"16","4","2","14","8","28","10","40","18","20","12","34","30","24","38","44","42","","","","","",""
"17","4","2","14","8","28","10","18","20","12","34","30","24","40","38","44","42","","","","","",""
"18","4","2","14","8","28","10","18","20","12","34","30","24","40","38","44","42","","","","","",""
"19","4","2","14","8","28","10","18","20","12","34","30","24","38","44","42","","","","","","",""
"20","4","2","14","8","28","10","18","20","12","34","30","24","38","44","42","","","","","","",""
"21","4","2","14","8","28","10","18","20","12","34","24","30","38","44","42","","","","","","",""
"22","4","2","14","8","28","10","18","20","34","12","24","30","38","44","42","","","","","","",""
"23","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"24","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"25","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"26","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"27","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"28","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"29","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"30","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"31","4","2","14","8","28","10","18","34","12","20","24","30","38","44","42","","","","","","",""
"32","4","2","14","8","28","10","18","34","12","20","24","30","38","","","","","","","","",""
"33","4","2","14","8","28","10","34","18","12","20","24","30","","","","","","","","","",""
"34","4","2","14","8","28","10","34","18","12","","","","","","","","","","","","",""
"35","4","2","14","8","28","10","","","","","","","","","","","","","","","",""
"36","4","2","14","8","","","","","","","","","","","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
