"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","2","4","32","6","12","10","8","34","26","28","14","18","22","30","20","16","24","36"
"2","2","32","4","12","6","8","16","26","10","34","22","14","30","28","36","20","24","18"
"3","2","4","32","6","12","8","16","10","26","34","14","22","36","28","30","20","18","24"
"4","2","4","32","6","8","12","10","16","26","14","36","34","22","28","20","30","18","24"
"5","2","4","32","6","8","12","10","16","26","36","14","34","28","22","20","30","24","18"
"6","2","4","6","32","8","12","10","16","36","26","14","28","34","22","20","24","30",""
"7","2","4","6","32","8","12","10","36","16","28","26","14","34","22","20","24","30",""
"8","2","4","6","32","8","12","10","36","28","26","16","14","34","22","20","24","30",""
"9","2","4","6","32","12","10","36","28","26","14","16","34","22","8","24","30","",""
"10","2","4","6","32","10","12","36","28","26","14","16","34","22","8","24","30","",""
"11","2","4","6","32","10","12","36","28","26","14","16","22","34","8","24","30","",""
"12","2","4","6","32","10","12","36","28","26","14","22","16","24","34","30","","",""
"13","2","4","6","32","10","12","36","28","14","26","22","16","24","34","30","","",""
"14","2","4","6","32","10","12","28","36","14","26","22","16","24","34","30","","",""
"15","2","4","6","32","10","12","28","36","14","26","22","16","24","34","30","","",""
"16","2","4","6","32","10","12","28","36","14","26","22","16","24","34","30","","",""
"17","2","4","6","32","10","12","28","36","26","22","16","24","34","30","","","",""
"18","2","4","6","32","10","12","28","36","26","22","16","24","34","30","","","",""
"19","2","4","6","32","10","12","28","36","26","22","16","24","34","30","","","",""
"20","2","4","6","32","12","28","10","36","26","16","22","24","34","30","","","",""
"21","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"22","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"23","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"24","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"25","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"26","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"27","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"28","2","4","6","32","12","28","10","36","26","16","34","22","30","","","","",""
"29","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"30","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"31","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"32","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"33","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"34","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"35","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"36","2","4","6","32","12","28","10","36","26","16","34","30","","","","","",""
"37","2","4","6","32","28","12","10","36","26","16","34","30","","","","","",""
"38","2","4","6","32","28","12","10","36","26","16","34","30","","","","","",""
"39","2","4","6","32","28","10","12","36","26","16","34","30","","","","","",""
"40","2","4","6","32","28","10","12","36","26","16","34","30","","","","","",""
"41","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"42","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"43","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"44","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"45","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"46","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"47","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"48","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"49","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"50","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"51","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"52","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"53","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"54","2","4","6","32","10","28","12","36","26","16","34","30","","","","","",""
"55","2","4","6","32","10","28","12","36","16","26","34","30","","","","","",""
"56","2","4","6","32","10","28","12","36","16","26","34","30","","","","","",""
"57","2","4","6","32","10","28","12","36","16","26","34","30","","","","","",""
"58","2","4","6","32","10","12","36","28","16","26","34","30","","","","","",""
"59","2","4","6","32","10","12","36","28","16","26","34","30","","","","","",""
"60","2","4","6","32","10","12","36","28","16","26","34","30","","","","","",""
"61","2","4","6","32","10","12","36","28","16","26","34","30","","","","","",""
"62","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"63","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"64","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"65","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"66","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"67","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"68","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"69","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"70","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"71","2","4","6","32","10","12","36","28","26","16","34","30","","","","","",""
"72","2","4","6","32","10","12","36","28","26","16","34","","","","","","",""
"73","2","4","6","32","10","12","36","28","26","16","34","","","","","","",""
"74","2","4","6","32","10","12","36","28","26","16","34","","","","","","",""
"75","2","4","6","32","10","12","28","16","26","34","","","","","","","",""
"76","2","4","6","32","10","12","28","26","16","34","","","","","","","",""
"77","2","4","6","32","10","12","28","26","16","34","","","","","","","",""
"78","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"79","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"80","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"81","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"82","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"83","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"84","2","4","6","32","10","12","28","26","16","","","","","","","","",""
"85","2","4","6","32","10","12","28","26","","","","","","","","","",""
"86","2","4","6","32","10","12","28","","","","","","","","","","",""
"87","2","4","6","32","10","12","","","","","","","","","","","",""
"88","2","4","6","32","10","12","","","","","","","","","","","",""
"89","2","4","6","32","","","","","","","","","","","","","",""
"90","2","4","6","","","","","","","","","","","","","","",""
"91"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
