"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","10","2","14","12","4","16","26","8","32","30","20","24","34","6","22",""
"2","10","4","2","6","12","14","32","26","28","20","30","8","16","24","22","34"
"3","10","4","2","12","6","14","32","26","28","20","30","8","16","24","22","34"
"4","10","2","4","12","6","32","26","28","8","30","16","20","14","24","22","34"
"5","10","2","4","12","6","32","26","28","16","8","30","14","20","24","22","34"
"6","10","2","4","12","6","32","26","28","16","8","14","30","20","24","22","34"
"7","10","2","4","12","32","26","6","16","8","14","30","20","24","34","22","28"
"8","10","2","4","12","32","26","6","16","8","14","30","20","24","34","22","28"
"9","10","2","4","12","26","32","6","16","14","8","30","20","24","34","22","28"
"10","10","2","4","12","26","32","16","6","14","8","30","20","24","34","22","28"
"11","10","2","12","4","26","32","16","14","6","8","30","20","24","34","22","28"
"12","10","2","12","4","26","16","14","32","6","8","30","24","34","20","28","22"
"13","10","2","12","4","26","16","14","32","6","8","30","24","34","20","28","22"
"14","10","2","12","4","26","14","16","32","6","8","30","24","34","20","28","22"
"15","10","2","12","4","26","14","16","32","6","8","30","24","34","20","28","22"
"16","10","2","12","4","26","14","16","32","6","8","30","24","34","20","28","22"
"17","10","2","12","4","26","14","16","32","6","8","30","24","34","28","20","22"
"18","10","2","12","4","26","14","16","32","6","8","30","24","34","28","20","22"
"19","10","2","12","4","26","14","16","32","6","8","30","24","34","28","20","22"
"20","10","2","12","4","26","14","16","32","6","8","30","34","24","28","20","22"
"21","10","2","12","4","26","14","16","32","8","6","30","34","24","28","20","22"
"22","10","2","12","4","26","14","16","32","8","6","30","34","28","20","22",""
"23","10","2","12","4","26","14","16","32","8","6","30","28","20","22","",""
"24","10","2","12","4","26","14","16","32","8","6","30","28","20","22","",""
"25","10","2","12","4","26","14","16","32","6","8","30","28","20","22","",""
"26","10","2","12","4","26","14","16","8","6","30","28","20","22","","",""
"27","10","2","12","26","4","14","16","8","6","30","28","22","20","","",""
"28","10","2","12","26","4","14","16","8","6","30","28","22","20","","",""
"29","10","2","12","26","4","14","16","8","6","30","22","28","20","","",""
"30","10","2","12","26","4","14","16","8","6","30","22","28","20","","",""
"31","10","2","12","26","4","14","16","8","6","30","22","28","20","","",""
"32","10","2","26","4","14","16","8","30","22","28","20","6","","","",""
"33","10","2","26","4","14","16","8","30","20","28","22","","","","",""
"34","10","2","26","4","14","16","8","30","20","28","22","","","","",""
"35","10","2","26","4","14","16","8","30","20","28","22","","","","",""
"36","10","2","26","4","14","16","8","30","20","28","22","","","","",""
"37","10","2","26","4","14","16","8","30","20","28","22","","","","",""
"38","10","26","14","16","8","4","30","28","20","22","","","","","",""
"39","10","26","14","16","8","4","30","28","20","22","","","","","",""
"40","10","26","14","16","8","4","30","28","20","22","","","","","",""
"41","10","26","14","16","4","8","30","28","20","22","","","","","",""
"42","10","26","14","16","4","8","30","28","20","22","","","","","",""
"43","10","26","14","16","4","8","30","28","20","22","","","","","",""
"44","10","26","14","16","4","8","30","28","20","22","","","","","",""
"45","10","14","16","4","8","26","30","28","20","22","","","","","",""
"46","10","14","16","4","8","26","30","28","20","22","","","","","",""
"47","10","14","16","4","8","26","30","28","20","22","","","","","",""
"48","10","14","16","4","8","26","30","28","20","22","","","","","",""
"49","10","14","16","4","8","26","30","28","20","22","","","","","",""
"50","10","14","16","4","8","26","30","28","20","22","","","","","",""
"51","10","14","16","4","8","26","30","28","20","22","","","","","",""
"52","10","14","16","4","8","26","30","28","20","22","","","","","",""
"53","10","14","16","4","8","26","30","28","20","22","","","","","",""
"54","10","14","16","4","8","26","30","28","20","22","","","","","",""
"55","10","14","16","4","8","26","30","28","20","22","","","","","",""
"56","10","14","4","16","8","26","30","28","20","22","","","","","",""
"57","10","14","4","16","8","26","30","28","20","22","","","","","",""
"58","10","14","4","16","8","26","30","28","20","22","","","","","",""
"59","10","14","4","16","8","26","30","28","20","22","","","","","",""
"60","10","14","4","16","8","26","30","28","20","22","","","","","",""
"61","10","14","4","16","8","26","30","28","20","22","","","","","",""
"62","10","14","16","4","8","26","30","28","20","22","","","","","",""
"63","10","14","16","4","8","26","30","28","20","22","","","","","",""
"64","10","4","14","16","8","26","30","28","20","22","","","","","",""
"65","10","4","14","16","8","26","30","28","20","22","","","","","",""
"66","10","4","14","16","8","26","30","20","28","22","","","","","",""
"67","10","4","14","16","8","26","30","20","28","22","","","","","",""
"68","10","4","14","16","8","26","30","20","28","22","","","","","",""
"69","10","4","14","16","8","30","20","28","22","","","","","","",""
"70","10","4","14","16","8","30","20","28","22","","","","","","",""
"71","10","4","14","16","8","30","28","22","20","","","","","","",""
"72","10","4","14","16","8","30","28","22","20","","","","","","",""
"73","10","4","14","16","8","30","28","22","20","","","","","","",""
"74","10","4","14","16","8","30","28","22","20","","","","","","",""
"75","10","4","14","16","8","30","28","22","20","","","","","","",""
"76","10","14","4","16","8","30","28","22","20","","","","","","",""
"77","10","14","4","16","8","30","28","22","20","","","","","","",""
"78","10","14","4","16","8","30","28","22","20","","","","","","",""
"79","10","14","4","16","8","30","28","22","20","","","","","","",""
"80","10","14","4","16","8","30","28","22","20","","","","","","",""
"81","10","14","4","16","8","30","28","22","20","","","","","","",""
"82","10","14","4","16","8","30","28","22","20","","","","","","",""
"83","10","14","4","16","8","30","28","22","20","","","","","","",""
"84","10","14","4","16","8","30","28","22","20","","","","","","",""
"85","10","14","4","16","8","30","28","22","20","","","","","","",""
"86","10","14","4","16","8","30","28","22","20","","","","","","",""
"87","10","14","4","16","8","30","28","22","20","","","","","","",""
"88","10","14","4","16","8","30","28","22","20","","","","","","",""
"89","10","14","4","16","8","30","28","22","","","","","","","",""
"90","10","14","4","16","8","30","28","22","","","","","","","",""
"91","10","14","4","16","8","30","28","22","","","","","","","",""
"92","10","14","4","16","8","30","28","","","","","","","","",""
"93","10","14","4","16","8","30","","","","","","","","","",""
"94","10","14","4","16","8","30","","","","","","","","","",""
"95","10","14","4","16","8","30","","","","","","","","","",""
"96","10","14","4","16","8","","","","","","","","","","",""
"97","10","14","4","16","8","","","","","","","","","","",""
"98"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
