"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","4","10","2","12","8","28","14","18","30","24","20","32","16","38","26","22","40","36","34"
"2","2","4","10","12","8","14","28","30","18","6","22","26","16","20","32","38","24","40","34"
"3","2","4","10","12","8","28","14","18","30","6","22","16","32","20","38","26","40","24","34"
"4","2","4","10","12","8","28","14","18","30","6","16","22","32","38","20","26","40","24","34"
"5","2","4","10","12","28","8","14","18","30","6","16","22","20","38","32","26","24","40",""
"6","2","4","10","12","14","8","28","18","30","6","16","22","20","38","32","24","40","",""
"7","2","4","10","12","14","8","28","18","30","6","20","32","24","38","16","40","22","",""
"8","2","4","10","12","14","8","28","18","30","6","20","32","24","16","38","40","22","",""
"9","2","4","10","12","14","8","28","18","30","6","20","32","38","16","40","24","22","",""
"10","2","4","10","12","14","8","28","18","30","6","20","32","40","38","24","22","16","",""
"11","2","4","10","12","14","8","28","18","30","6","20","32","40","38","24","22","","",""
"12","2","4","10","12","14","8","28","18","30","6","20","32","38","40","24","22","","",""
"13","4","10","12","14","28","8","30","18","6","20","32","38","40","24","22","","","",""
"14","4","10","12","14","28","8","30","18","6","20","32","38","40","24","22","","","",""
"15","10","12","14","28","8","30","18","6","20","32","38","40","24","22","","","","",""
"16","10","12","14","28","8","18","30","6","20","32","38","24","40","22","","","","",""
"17","10","14","28","8","12","30","18","6","20","32","38","24","40","22","","","","",""
"18","10","14","28","8","30","18","6","32","20","38","24","40","22","","","","","",""
"19","10","14","28","8","30","18","6","32","20","38","24","40","22","","","","","",""
"20","10","14","28","8","30","18","6","20","32","38","24","40","22","","","","","",""
"21","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"22","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"23","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"24","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"25","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"26","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"27","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"28","10","14","28","8","6","30","18","20","32","38","24","40","","","","","","",""
"29","10","14","8","28","6","30","18","20","32","38","24","40","","","","","","",""
"30","10","8","28","6","14","30","18","20","32","38","24","40","","","","","","",""
"31","10","8","6","28","30","18","14","20","32","38","24","","","","","","","",""
"32","10","8","6","28","30","14","18","20","32","38","","","","","","","","",""
"33","10","8","6","28","14","30","18","20","32","38","","","","","","","","",""
"34","10","8","6","28","14","30","18","20","32","","","","","","","","","",""
"35","10","8","6","28","30","18","14","","","","","","","","","","","",""
"36","10","8","6","28","30","18","14","","","","","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
