"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","2","12","6","4","14","8","18","10","34","20","26","24","16","28","38","36","30","32","22"
"2","2","4","6","12","8","18","34","20","10","16","24","36","26","14","32","28","38","22","30"
"3","2","4","6","12","8","18","34","20","16","14","10","24","26","36","32","28","38","22","30"
"4","2","4","6","12","8","18","20","16","34","14","10","24","26","36","32","28","38","22","30"
"5","2","4","6","12","8","18","14","20","16","34","10","24","26","36","32","28","38","22","30"
"6","2","4","6","12","8","18","14","20","16","34","24","26","10","36","32","28","22","38","30"
"7","2","4","6","12","8","18","14","20","16","34","24","26","10","36","28","32","22","30","38"
"8","2","4","6","12","8","14","18","20","16","34","24","26","10","36","28","32","22","30","38"
"9","2","4","6","12","8","14","18","20","16","24","34","26","10","36","28","32","22","30",""
"10","2","4","6","12","8","14","18","20","16","24","34","26","10","36","28","32","22","30",""
"11","2","6","4","12","8","14","18","20","16","24","34","26","36","10","28","32","22","30",""
"12","2","6","4","12","8","14","18","20","16","24","34","26","36","10","28","32","22","30",""
"13","2","6","4","12","8","14","18","20","16","24","34","26","36","10","28","32","22","30",""
"14","2","6","4","12","8","14","18","20","16","24","34","26","36","10","28","32","22","30",""
"15","2","6","4","12","8","14","18","20","16","24","34","26","36","10","28","32","22","30",""
"16","2","6","4","12","8","14","18","20","16","24","34","36","10","28","32","22","30","",""
"17","2","6","4","12","14","8","18","20","16","24","34","36","10","28","22","32","30","",""
"18","2","6","4","12","8","14","18","16","20","24","34","36","10","28","22","32","30","",""
"19","2","6","4","12","8","14","18","16","20","24","34","36","10","28","22","32","30","",""
"20","2","6","4","12","8","14","18","16","20","24","34","36","10","28","22","32","30","",""
"21","2","6","4","12","8","14","18","16","20","24","34","36","10","28","22","30","","",""
"22","2","6","4","12","8","14","18","16","20","24","34","36","10","28","22","30","","",""
"23","2","6","4","12","8","14","18","20","16","24","34","36","10","28","22","30","","",""
"24","2","6","4","12","8","18","20","16","24","34","36","10","28","22","30","","","",""
"25","2","6","4","12","8","18","20","16","24","34","36","10","28","22","30","","","",""
"26","2","6","4","12","8","18","20","16","24","34","36","10","28","22","30","","","",""
"27","2","6","4","12","8","18","20","24","16","34","36","10","28","22","30","","","",""
"28","2","6","4","12","8","18","20","24","16","34","36","10","28","22","30","","","",""
"29","2","6","4","12","8","18","20","16","24","34","36","10","28","22","30","","","",""
"30","2","6","4","12","8","18","20","16","24","34","36","10","28","30","","","","",""
"31","2","6","4","12","8","18","20","16","24","34","36","10","28","30","","","","",""
"32","2","6","4","12","8","18","20","16","24","34","36","10","28","30","","","","",""
"33","2","6","4","12","8","18","20","16","24","34","36","10","28","30","","","","",""
"34","2","6","4","12","8","18","16","20","24","34","36","10","28","30","","","","",""
"35","2","6","4","12","8","18","16","20","24","34","36","10","28","30","","","","",""
"36","2","6","4","12","8","18","16","20","24","34","36","10","28","30","","","","",""
"37","2","6","4","12","8","16","18","20","24","34","36","10","28","30","","","","",""
"38","2","6","4","8","16","18","20","24","34","36","10","28","30","","","","","",""
"39","2","6","4","8","16","18","20","24","34","36","10","28","30","","","","","",""
"40","2","4","6","8","16","18","20","24","34","36","10","28","30","","","","","",""
"41","2","4","6","8","16","18","20","24","34","36","10","28","30","","","","","",""
"42","2","4","6","8","16","18","20","24","34","36","10","28","30","","","","","",""
"43","2","4","6","8","16","18","20","24","34","36","10","28","30","","","","","",""
"44","2","4","6","8","16","18","20","24","34","10","28","36","30","","","","","",""
"45","2","4","6","8","16","18","20","24","34","10","28","36","30","","","","","",""
"46","2","4","6","8","16","18","20","24","34","10","28","36","30","","","","","",""
"47","2","4","6","8","16","18","20","24","34","10","28","36","30","","","","","",""
"48","2","6","4","8","16","18","20","24","34","10","28","36","30","","","","","",""
"49","2","6","4","8","16","18","20","24","34","10","28","36","30","","","","","",""
"50","2","6","4","8","16","18","24","20","34","10","28","36","30","","","","","",""
"51","2","6","4","8","16","18","24","20","34","10","36","28","30","","","","","",""
"52","2","6","4","8","16","18","24","20","34","10","36","28","30","","","","","",""
"53","2","6","4","8","16","18","24","20","34","10","28","36","30","","","","","",""
"54","2","6","4","8","16","18","24","20","34","10","28","36","","","","","","",""
"55","2","6","4","8","16","18","24","20","34","10","28","36","","","","","","",""
"56","2","6","4","8","16","18","24","20","34","10","28","36","","","","","","",""
"57","2","6","4","8","16","18","24","20","34","10","28","36","","","","","","",""
"58","2","6","4","8","16","18","24","20","10","34","28","36","","","","","","",""
"59","2","6","4","8","16","18","24","20","10","28","34","36","","","","","","",""
"60","2","6","4","8","16","18","24","20","10","28","36","34","","","","","","",""
"61","2","6","4","8","16","18","24","10","28","36","34","","","","","","","",""
"62","2","6","4","8","16","18","24","10","28","36","34","","","","","","","",""
"63","2","6","4","8","16","18","24","10","28","36","34","","","","","","","",""
"64","2","6","4","8","16","18","24","10","28","36","34","","","","","","","",""
"65","2","6","4","8","16","18","24","10","36","34","","","","","","","","",""
"66","2","6","4","8","16","18","24","10","36","34","","","","","","","","",""
"67","2","6","4","8","16","18","24","10","36","34","","","","","","","","",""
"68","2","6","8","16","18","4","24","10","36","34","","","","","","","","",""
"69","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"70","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"71","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"72","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"73","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"74","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"75","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"76","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"77","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"78","2","6","8","16","18","24","10","36","34","","","","","","","","","",""
"79","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"80","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"81","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"82","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"83","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"84","2","6","16","8","18","24","10","36","34","","","","","","","","","",""
"85","2","6","16","8","18","24","10","36","","","","","","","","","","",""
"86","2","6","16","8","18","24","10","","","","","","","","","","","",""
"87","2","6","16","8","18","24","10","","","","","","","","","","","",""
"88","2","6","16","8","18","24","","","","","","","","","","","","",""
"89","2","6","16","8","18","","","","","","","","","","","","","",""
"90","2","6","16","8","","","","","","","","","","","","","","",""
"91"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
