"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1","1","5","2","3","10","4","7","8","9","11","17","19","15","31","14","16","38","23","18","40","28","20","21","35","12","36","34","24","22","41","30","37","32","26"
"2","1","5","3","2","4","7","17","11","9","31","15","18","8","38","23","14","40","19","20","35","16","24","34","22","41","12","37","32","26","36","10","","",""
"3","1","3","5","2","4","7","17","11","9","8","31","18","38","19","23","14","20","40","35","24","41","22","12","16","37","34","36","26","","","","","",""
"4","1","3","5","2","4","7","11","17","9","8","31","18","38","19","23","14","20","40","24","35","22","16","12","37","36","26","34","","","","","","",""
"5","1","3","5","2","4","7","11","17","9","8","31","18","19","38","14","23","20","40","24","35","16","22","12","37","36","26","","","","","","","",""
"6","3","1","5","2","4","17","7","11","9","8","31","18","19","38","14","23","20","40","16","24","35","22","37","12","36","26","","","","","","","",""
"7","3","5","2","4","17","7","11","9","1","8","19","18","31","38","14","23","20","16","40","24","35","22","37","36","12","26","","","","","","","",""
"8","3","5","2","4","7","17","9","1","8","19","18","31","38","23","20","16","40","24","35","22","37","36","12","26","","","","","","","","","",""
"9","2","5","3","4","7","17","1","8","18","31","19","38","23","20","16","40","24","35","22","36","37","12","26","","","","","","","","","","",""
"10","2","5","3","4","1","7","17","8","18","31","19","38","20","16","40","24","35","22","36","12","37","26","","","","","","","","","","","",""
"11","2","5","3","4","7","17","8","18","19","31","20","38","1","16","40","35","24","22","36","12","37","26","","","","","","","","","","","",""
"12","2","5","3","4","7","17","8","18","19","31","20","1","16","24","35","40","38","36","12","37","22","","","","","","","","","","","","",""
"13","2","5","3","4","7","17","8","18","19","31","1","20","16","24","40","38","36","12","37","22","35","","","","","","","","","","","","",""
"14","2","5","3","4","7","17","8","19","18","31","1","20","16","40","24","38","36","37","22","","","","","","","","","","","","","","",""
"15","2","5","3","4","7","17","19","18","31","1","20","40","16","24","38","36","37","22","","","","","","","","","","","","","","","",""
"16","2","5","3","7","17","4","19","18","1","31","20","40","38","16","24","36","37","","","","","","","","","","","","","","","","",""
"17","2","5","3","7","17","19","18","1","31","20","40","24","16","36","","","","","","","","","","","","","","","","","","","",""
"18","2","5","3","7","17","19","18","1","31","20","","","","","","","","","","","","","","","","","","","","","","","",""
"19"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
