"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","32","46","24","8","36","28","26","42","20","30","34","6","2","10","16","14","38","18","40","4"
"2","46","32","26","36","28","30","24","42","8","20","16","34","4","6","14","38","40","18","",""
"3","46","32","26","36","28","30","24","8","42","20","34","16","4","6","38","40","18","","",""
"4","46","32","26","36","28","30","24","8","42","34","20","16","6","4","38","40","18","","",""
"5","46","32","26","36","28","30","24","8","42","34","20","6","4","16","38","18","40","","",""
"6","46","32","26","28","30","24","36","8","34","42","20","6","4","16","38","18","40","","",""
"7","46","32","26","28","24","30","36","8","34","42","20","6","4","16","38","18","40","","",""
"8","46","32","24","26","28","30","36","8","34","42","20","6","4","16","38","18","40","","",""
"9","46","32","24","26","28","30","36","8","34","42","20","6","4","16","38","18","40","","",""
"10","46","32","24","26","28","30","36","8","34","42","20","6","4","16","38","18","40","","",""
"11","46","24","32","26","28","30","36","8","34","42","20","6","4","16","38","18","40","","",""
"12","46","24","26","28","36","32","30","8","34","20","42","6","16","4","38","18","40","","",""
"13","46","24","26","28","36","32","8","34","30","20","42","6","16","4","38","18","40","","",""
"14","46","24","28","26","36","32","8","34","30","20","42","6","16","4","38","18","40","","",""
"15","46","24","28","26","36","32","8","34","30","20","42","6","16","4","38","18","40","","",""
"16","46","24","28","26","36","32","8","34","30","20","42","6","16","4","38","18","40","","",""
"17","46","24","28","26","36","32","8","30","34","20","42","6","16","4","38","18","40","","",""
"18","46","24","28","26","36","32","8","30","34","20","42","6","16","4","38","18","40","","",""
"19","46","24","28","26","36","32","8","30","34","20","42","6","16","4","18","40","","","",""
"20","46","24","28","26","36","32","8","30","20","42","34","6","16","4","18","40","","","",""
"21","46","24","26","28","36","32","30","8","20","42","34","6","16","4","18","40","","","",""
"22","46","24","26","36","32","28","30","8","20","34","42","6","16","4","18","40","","","",""
"23","46","24","26","36","32","28","30","8","20","42","34","6","16","4","18","40","","","",""
"24","46","24","26","36","32","30","28","8","20","34","42","6","16","4","18","40","","","",""
"25","46","24","26","36","32","30","28","8","20","34","42","6","16","4","18","40","","","",""
"26","46","24","26","36","32","30","28","8","20","34","42","6","16","4","18","40","","","",""
"27","46","24","26","36","32","30","28","8","20","34","42","6","16","4","18","40","","","",""
"28","46","24","26","36","32","30","28","8","20","34","42","6","16","4","18","40","","","",""
"29","46","24","26","36","30","32","28","8","20","34","42","6","16","4","40","18","","","",""
"30","46","24","26","36","32","28","8","30","20","34","42","6","16","4","40","18","","","",""
"31","46","24","26","36","32","28","8","20","34","42","6","4","40","18","","","","","",""
"32","46","24","26","36","32","28","8","34","20","42","6","4","40","18","","","","","",""
"33","46","24","26","36","28","32","8","34","20","42","6","4","40","18","","","","","",""
"34","46","24","36","26","28","32","8","34","20","42","6","4","40","18","","","","","",""
"35","46","24","36","26","32","28","8","34","20","42","6","4","40","18","","","","","",""
"36","46","24","36","26","32","8","28","34","20","42","6","4","40","18","","","","","",""
"37","46","24","36","26","32","8","28","34","20","42","6","4","40","18","","","","","",""
"38","46","24","36","26","32","8","28","34","20","42","6","4","40","18","","","","","",""
"39","46","24","36","26","32","8","28","34","20","42","4","40","18","","","","","","",""
"40","46","24","36","26","32","8","28","34","20","42","4","40","18","","","","","","",""
"41","46","24","36","26","32","8","28","34","20","42","4","40","18","","","","","","",""
"42","24","36","26","46","32","8","28","34","20","42","4","40","18","","","","","","",""
"43","24","36","26","46","32","8","28","34","20","42","4","40","18","","","","","","",""
"44","24","36","26","46","32","8","28","34","20","42","4","40","18","","","","","","",""
"45","24","36","26","46","32","28","34","20","42","4","40","18","","","","","","","",""
"46","24","26","36","46","32","28","34","20","42","4","40","18","","","","","","","",""
"47","24","26","36","46","32","28","34","20","42","4","40","18","","","","","","","",""
"48","24","26","46","32","28","34","20","42","4","40","18","","","","","","","","",""
"49","24","26","46","32","28","34","42","20","4","40","18","","","","","","","","",""
"50","24","26","46","32","28","34","20","42","4","40","18","","","","","","","","",""
"51","24","26","46","32","34","28","20","4","40","","","","","","","","","","",""
"52","24","26","46","32","34","28","20","4","40","","","","","","","","","","",""
"53","24","46","26","32","34","28","20","4","","","","","","","","","","","",""
"54","24","46","26","32","34","28","20","4","","","","","","","","","","","",""
"55","46","24","26","32","34","28","20","4","","","","","","","","","","","",""
"56","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"57","46","24","26","32","28","34","20","","","","","","","","","","","","",""
"58","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"59","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"60","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"61","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"62","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"63","46","24","26","32","34","28","20","","","","","","","","","","","","",""
"64","46","24","26","32","","","","","","","","","","","","","","","",""
"65","46","24","26","32","","","","","","","","","","","","","","","",""
"66"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
