"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","10","12","2","14","26","4","6","32","8","28","16","30","24","20","22","18","34"
"2","10","","","","","","","","","","","","","","","",""
"3","10","","","","","","","","","","","","","","","",""
"4","10","","","","","","","","","","","","","","","",""
"5","10","","","","","","","","","","","","","","","",""
"6","10","","","","","","","","","","","","","","","",""
"7","10","","","","","","","","","","","","","","","",""
"8","10","","","","","","","","","","","","","","","",""
"9","10","","","","","","","","","","","","","","","",""
"10","10","","","","","","","","","","","","","","","",""
"11","10","","","","","","","","","","","","","","","",""
"12","10","","","","","","","","","","","","","","","",""
"13","10","","","","","","","","","","","","","","","",""
"14","10","","","","","","","","","","","","","","","",""
"15","10","","","","","","","","","","","","","","","",""
"16","12","","","","","","","","","","","","","","","",""
"17","12","","","","","","","","","","","","","","","",""
"18","12","","","","","","","","","","","","","","","",""
"19","12","","","","","","","","","","","","","","","",""
"20","12","","","","","","","","","","","","","","","",""
"21","12","","","","","","","","","","","","","","","",""
"22","12","","","","","","","","","","","","","","","",""
"23","12","","","","","","","","","","","","","","","",""
"24","12","","","","","","","","","","","","","","","",""
"25","12","","","","","","","","","","","","","","","",""
"26","12","","","","","","","","","","","","","","","",""
"27","12","","","","","","","","","","","","","","","",""
"28","12","","","","","","","","","","","","","","","",""
"29","12","","","","","","","","","","","","","","","",""
"30","12","","","","","","","","","","","","","","","",""
"31","12","","","","","","","","","","","","","","","",""
"32","12","","","","","","","","","","","","","","","",""
"33","12","","","","","","","","","","","","","","","",""
"34","14","","","","","","","","","","","","","","","",""
"35","14","","","","","","","","","","","","","","","",""
"36","2","","","","","","","","","","","","","","","",""
"37","2","","","","","","","","","","","","","","","",""
"38","2","","","","","","","","","","","","","","","",""
"39","2","","","","","","","","","","","","","","","",""
"40","2","","","","","","","","","","","","","","","",""
"41","2","","","","","","","","","","","","","","","",""
"42","2","","","","","","","","","","","","","","","",""
"43","2","","","","","","","","","","","","","","","",""
"44","2","","","","","","","","","","","","","","","",""
"45","2","","","","","","","","","","","","","","","",""
"46","2","","","","","","","","","","","","","","","",""
"47","2","","","","","","","","","","","","","","","",""
"48","12","","","","","","","","","","","","","","","",""
"49","12","","","","","","","","","","","","","","","",""
"50","12","","","","","","","","","","","","","","","",""
"51","12","","","","","","","","","","","","","","","",""
"52","12","","","","","","","","","","","","","","","",""
"53","12","","","","","","","","","","","","","","","",""
"54","12","","","","","","","","","","","","","","","",""
"55","12","","","","","","","","","","","","","","","",""
"56","12","","","","","","","","","","","","","","","",""
"57","12","","","","","","","","","","","","","","","",""
"58","12","","","","","","","","","","","","","","","",""
"59","12","","","","","","","","","","","","","","","",""
"60","2","","","","","","","","","","","","","","","",""
"61","2","","","","","","","","","","","","","","","",""
"62","12","","","","","","","","","","","","","","","",""
"63","12","","","","","","","","","","","","","","","",""
"64","10","","","","","","","","","","","","","","","",""
"65","10","","","","","","","","","","","","","","","",""
"66","2","","","","","","","","","","","","","","","",""
"67","2","","","","","","","","","","","","","","","",""
"68","2","","","","","","","","","","","","","","","",""
"69","2","","","","","","","","","","","","","","","",""
"70","2","","","","","","","","","","","","","","","",""
"71","2","","","","","","","","","","","","","","","",""
"72","2","","","","","","","","","","","","","","","",""
"73","2","","","","","","","","","","","","","","","",""
"74","2","","","","","","","","","","","","","","","",""
"75","2","","","","","","","","","","","","","","","",""
"76","2","","","","","","","","","","","","","","","",""
"77","2","","","","","","","","","","","","","","","",""
"78","2","","","","","","","","","","","","","","","",""
"79","2","","","","","","","","","","","","","","","",""
"80","2","","","","","","","","","","","","","","","",""
"81","2","","","","","","","","","","","","","","","",""
"82","2","","","","","","","","","","","","","","","",""
"83","2","","","","","","","","","","","","","","","",""
"84","2","","","","","","","","","","","","","","","",""
"85","2","","","","","","","","","","","","","","","",""
"86","2","","","","","","","","","","","","","","","",""
"87","2","","","","","","","","","","","","","","","",""
"88"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
