"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","26","6","4","28","10","8","12","18","22","16","30","24","20","2"
"2","4","10","26","28","8","12","22","18","20","16","30","2","6",""
"3","4","26","10","8","12","22","18","20","16","30","28","","",""
"4","26","4","10","8","12","22","18","30","20","16","28","","",""
"5","26","4","10","8","12","22","18","30","20","16","","","",""
"6","26","4","10","8","12","22","18","30","20","16","","","",""
"7","26","4","10","8","12","22","18","30","20","16","","","",""
"8","26","4","10","8","12","22","18","30","20","16","","","",""
"9","26","4","10","12","8","22","18","20","30","16","","","",""
"10","26","4","10","12","8","22","18","20","30","16","","","",""
"11","26","4","10","12","8","22","18","20","30","16","","","",""
"12","4","26","10","8","12","22","18","20","30","16","","","",""
"13","4","26","10","8","12","22","18","20","30","16","","","",""
"14","4","26","10","8","22","18","20","30","16","","","","",""
"15","26","4","10","8","22","18","20","30","16","","","","",""
"16","26","10","8","22","18","20","30","","","","","","",""
"17","26","10","8","22","18","20","30","","","","","","",""
"18","26","10","8","22","18","20","30","","","","","","",""
"19","26","10","8","22","18","20","30","","","","","","",""
"20","26","10","8","22","18","20","30","","","","","","",""
"21","26","8","10","22","18","20","30","","","","","","",""
"22","26","8","22","18","20","10","30","","","","","","",""
"23","26","8","22","18","20","10","30","","","","","","",""
"24","26","8","22","18","10","20","30","","","","","","",""
"25","26","8","22","18","10","20","30","","","","","","",""
"26","26","8","22","18","10","20","30","","","","","","",""
"27","26","8","22","18","10","20","30","","","","","","",""
"28","26","8","22","18","10","20","30","","","","","","",""
"29","26","8","22","18","10","20","30","","","","","","",""
"30","26","8","22","10","18","20","30","","","","","","",""
"31","26","8","22","10","18","20","30","","","","","","",""
"32","26","8","22","10","18","20","30","","","","","","",""
"33","26","8","22","10","18","20","30","","","","","","",""
"34","26","8","22","10","18","20","30","","","","","","",""
"35","26","8","22","10","18","20","30","","","","","","",""
"36","26","8","22","10","18","20","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
