"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","18","3","16","20","10","1","2","6","9","5","25","24","4","21","15","7","11","8","14","12","22","17","19"
"2","18","1","16","21","20","3","9","2","7","19","10","24","15","8","4","14","11","22","25","","","",""
"3","18","1","21","3","20","2","9","19","10","7","24","8","4","15","14","11","22","25","","","","",""
"4","18","1","21","3","19","20","2","7","10","24","15","14","4","11","9","22","25","","","","","",""
"5","18","1","21","19","20","2","10","7","24","15","14","11","4","22","25","9","","","","","","",""
"6","18","21","1","19","20","2","24","7","15","14","11","4","22","9","25","","","","","","","",""
"7","18","21","1","19","20","2","24","7","15","14","11","4","22","25","9","","","","","","","",""
"8","18","21","19","1","2","20","24","7","15","14","11","4","22","25","9","","","","","","","",""
"9","18","21","19","1","2","24","7","15","14","4","11","25","22","9","","","","","","","","",""
"10","18","21","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","",""
"11","18","19","21","1","2","7","4","24","15","14","25","9","","","","","","","","","","",""
"12","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"13","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"14","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"15","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"16","19","18","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"17","19","18","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"18","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"19","18","19","1","2","7","24","4","15","14","25","9","","","","","","","","","","","",""
"20","18","19","1","2","7","24","4","15","25","9","","","","","","","","","","","","",""
"21","18","1","2","19","7","4","15","25","24","9","","","","","","","","","","","","",""
"22","18","1","2","19","7","4","15","25","","","","","","","","","","","","","","",""
"23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
