"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","2","19","9","7","25","17","35","24","73","15","51","14","32","10","88","77","28","99"
"2","2","","","","","","","","","","","","","","","","",""
"3","2","","","","","","","","","","","","","","","","",""
"4","2","","","","","","","","","","","","","","","","",""
"5","2","","","","","","","","","","","","","","","","",""
"6","2","","","","","","","","","","","","","","","","",""
"7","2","","","","","","","","","","","","","","","","",""
"8","2","","","","","","","","","","","","","","","","",""
"9","2","","","","","","","","","","","","","","","","",""
"10","2","","","","","","","","","","","","","","","","",""
"11","2","","","","","","","","","","","","","","","","",""
"12","2","","","","","","","","","","","","","","","","",""
"13","2","","","","","","","","","","","","","","","","",""
"14","2","","","","","","","","","","","","","","","","",""
"15","2","","","","","","","","","","","","","","","","",""
"16","2","","","","","","","","","","","","","","","","",""
"17","2","","","","","","","","","","","","","","","","",""
"18","2","","","","","","","","","","","","","","","","",""
"19","2","","","","","","","","","","","","","","","","",""
"20","2","","","","","","","","","","","","","","","","",""
"21","2","","","","","","","","","","","","","","","","",""
"22","2","","","","","","","","","","","","","","","","",""
"23","2","","","","","","","","","","","","","","","","",""
"24","2","","","","","","","","","","","","","","","","",""
"25","2","","","","","","","","","","","","","","","","",""
"26","2","","","","","","","","","","","","","","","","",""
"27","2","","","","","","","","","","","","","","","","",""
"28","2","","","","","","","","","","","","","","","","",""
"29","2","","","","","","","","","","","","","","","","",""
"30","2","","","","","","","","","","","","","","","","",""
"31","2","","","","","","","","","","","","","","","","",""
"32","2","","","","","","","","","","","","","","","","",""
"33","2","","","","","","","","","","","","","","","","",""
"34","2","","","","","","","","","","","","","","","","",""
"35","2","","","","","","","","","","","","","","","","",""
"36","2","","","","","","","","","","","","","","","","",""
"37","2","","","","","","","","","","","","","","","","",""
"38","2","","","","","","","","","","","","","","","","",""
"39","2","","","","","","","","","","","","","","","","",""
"40","2","","","","","","","","","","","","","","","","",""
"41","2","","","","","","","","","","","","","","","","",""
"42","2","","","","","","","","","","","","","","","","",""
"43","2","","","","","","","","","","","","","","","","",""
"44","2","","","","","","","","","","","","","","","","",""
"45","2","","","","","","","","","","","","","","","","",""
"46","19","","","","","","","","","","","","","","","","",""
"47","19","","","","","","","","","","","","","","","","",""
"48","19","","","","","","","","","","","","","","","","",""
"49","19","","","","","","","","","","","","","","","","",""
"50","19","","","","","","","","","","","","","","","","",""
"51","19","","","","","","","","","","","","","","","","",""
"52","45","","","","","","","","","","","","","","","","",""
"53","45","","","","","","","","","","","","","","","","",""
"54","45","","","","","","","","","","","","","","","","",""
"55","45","","","","","","","","","","","","","","","","",""
"56","19","","","","","","","","","","","","","","","","",""
"57","45","","","","","","","","","","","","","","","","",""
"58","45","","","","","","","","","","","","","","","","",""
"59","45","","","","","","","","","","","","","","","","",""
"60","45","","","","","","","","","","","","","","","","",""
"61","19","","","","","","","","","","","","","","","","",""
"62","14","","","","","","","","","","","","","","","","",""
"63","1","","","","","","","","","","","","","","","","",""
"64","9","","","","","","","","","","","","","","","","",""
"65","9","","","","","","","","","","","","","","","","",""
"66","9","","","","","","","","","","","","","","","","",""
"67","9","","","","","","","","","","","","","","","","",""
"68","9","","","","","","","","","","","","","","","","",""
"69","9","","","","","","","","","","","","","","","","",""
"70","9","","","","","","","","","","","","","","","","",""
"71","9","","","","","","","","","","","","","","","","",""
"72","9","","","","","","","","","","","","","","","","",""
"73","9","","","","","","","","","","","","","","","","",""
"74","9","","","","","","","","","","","","","","","","",""
"75","9","","","","","","","","","","","","","","","","",""
"76","9","","","","","","","","","","","","","","","","",""
"77","9","","","","","","","","","","","","","","","","",""
"78","9","","","","","","","","","","","","","","","","",""
"79","9","","","","","","","","","","","","","","","","",""
"80","9","","","","","","","","","","","","","","","","",""
"81","9","","","","","","","","","","","","","","","","",""
"82","9","","","","","","","","","","","","","","","","",""
"83","9","","","","","","","","","","","","","","","","",""
"84","9","","","","","","","","","","","","","","","","",""
"85","9","","","","","","","","","","","","","","","","",""
"86","9","","","","","","","","","","","","","","","","",""
"87","9","","","","","","","","","","","","","","","","",""
"88","9","","","","","","","","","","","","","","","","",""
"89","9","","","","","","","","","","","","","","","","",""
"90","2","","","","","","","","","","","","","","","","",""
"91","2","","","","","","","","","","","","","","","","",""
"92","2","","","","","","","","","","","","","","","","",""
"93","14","","","","","","","","","","","","","","","","",""
"94","14","","","","","","","","","","","","","","","","",""
"95","14","","","","","","","","","","","","","","","","",""
"96","14","","","","","","","","","","","","","","","","",""
"97","14","","","","","","","","","","","","","","","","",""
"98","14","","","","","","","","","","","","","","","","",""
"99","14","","","","","","","","","","","","","","","","",""
"100","14","","","","","","","","","","","","","","","","",""
"101","14","","","","","","","","","","","","","","","","",""
"102","14","","","","","","","","","","","","","","","","",""
"103","14","","","","","","","","","","","","","","","","",""
"104","14","","","","","","","","","","","","","","","","",""
"105","14","","","","","","","","","","","","","","","","",""
"106","14","","","","","","","","","","","","","","","","",""
"107","14","","","","","","","","","","","","","","","","",""
"108","14","","","","","","","","","","","","","","","","",""
"109","14","","","","","","","","","","","","","","","","",""
"110","14","","","","","","","","","","","","","","","","",""
"111","14","","","","","","","","","","","","","","","","",""
"112","14","","","","","","","","","","","","","","","","",""
"113","14","","","","","","","","","","","","","","","","",""
"114","14","","","","","","","","","","","","","","","","",""
"115","14","","","","","","","","","","","","","","","","",""
"116","14","","","","","","","","","","","","","","","","",""
"117","14","","","","","","","","","","","","","","","","",""
"118","14","","","","","","","","","","","","","","","","",""
"119","14","","","","","","","","","","","","","","","","",""
"120","14","","","","","","","","","","","","","","","","",""
"121","14","","","","","","","","","","","","","","","","",""
"122","14","","","","","","","","","","","","","","","","",""
"123","14","","","","","","","","","","","","","","","","",""
"124","14","","","","","","","","","","","","","","","","",""
"125","14","","","","","","","","","","","","","","","","",""
"126","14","","","","","","","","","","","","","","","","",""
"127","14","","","","","","","","","","","","","","","","",""
"128","14","","","","","","","","","","","","","","","","",""
"129","14","","","","","","","","","","","","","","","","",""
"130","14","","","","","","","","","","","","","","","","",""
"131","9","","","","","","","","","","","","","","","","",""
"132","9","","","","","","","","","","","","","","","","",""
"133","9","","","","","","","","","","","","","","","","",""
"134","9","","","","","","","","","","","","","","","","",""
"135","9","","","","","","","","","","","","","","","","",""
"136","9","","","","","","","","","","","","","","","","",""
"137","9","","","","","","","","","","","","","","","","",""
"138","9","","","","","","","","","","","","","","","","",""
