"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","16","34","28","14","32","22","40","12","18","24","30","44","38","20","6","10","46","42","8","26"
"2","14","16","34","28","32","40","12","38","18","22","24","20","30","44","46","10","42","6","8","26"
"3","14","16","34","32","28","40","12","38","22","18","24","20","30","10","46","42","6","8","26","44"
"4","14","16","32","34","28","40","12","38","22","18","24","20","30","46","10","42","6","8","26",""
"5","16","32","34","28","14","40","12","22","18","24","38","30","20","46","10","42","6","8","26",""
"6","16","32","28","34","14","40","22","18","12","30","38","20","24","10","42","8","26","46","6",""
"7","34","32","16","28","40","14","22","18","30","12","38","20","24","10","42","8","26","46","6",""
"8","34","16","32","28","40","14","22","18","30","38","20","24","10","42","8","26","46","12","6",""
"9","34","16","32","28","40","14","22","18","30","38","24","20","10","42","8","26","46","12","6",""
"10","34","16","32","28","40","22","14","18","30","38","24","20","10","42","26","8","46","12","6",""
"11","34","16","32","28","22","40","14","18","30","38","24","20","10","42","26","8","12","46","6",""
"12","34","16","32","28","22","40","14","18","30","38","24","20","10","42","26","8","12","46","6",""
"13","34","16","32","28","22","40","14","18","30","38","24","20","10","42","26","8","12","46","6",""
"14","34","16","32","28","22","40","14","18","30","20","38","24","10","42","26","8","12","46","6",""
"15","34","16","32","28","22","14","40","18","30","20","24","38","10","42","26","8","12","6","",""
"16","34","16","28","32","22","14","40","18","30","20","24","38","10","42","26","12","8","6","",""
"17","34","16","28","32","22","14","40","18","30","20","24","38","10","42","26","12","8","6","",""
"18","34","16","28","22","14","40","18","30","20","24","38","10","42","26","12","8","","","",""
"19","34","16","28","22","14","40","18","30","20","24","38","10","42","26","12","8","","","",""
"20","34","16","28","22","14","40","18","30","20","24","38","10","42","26","12","8","","","",""
"21","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"22","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"23","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"24","16","34","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"25","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"26","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"27","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"28","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"29","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"30","34","16","28","22","14","40","18","30","20","24","38","10","42","12","26","8","","","",""
"31","34","16","28","22","14","40","18","30","20","24","38","10","12","42","26","8","","","",""
"32","34","16","28","22","14","40","18","20","24","38","10","30","12","42","26","8","","","",""
"33","34","16","28","22","14","40","18","20","24","38","10","30","12","42","26","8","","","",""
"34","34","16","28","22","14","40","18","24","38","10","30","12","42","26","8","","","","",""
"35","34","16","28","22","14","40","18","24","38","10","30","12","42","26","8","","","","",""
"36","34","16","28","22","14","40","18","38","10","12","42","26","30","8","","","","","",""
"37","34","16","28","22","18","40","14","38","10","12","42","26","30","8","","","","","",""
"38","34","16","28","22","40","18","38","10","12","42","26","30","8","","","","","","",""
"39","34","28","16","22","40","18","38","10","12","42","26","30","8","","","","","","",""
"40","34","16","28","22","40","18","38","10","12","42","26","30","8","","","","","","",""
"41","34","16","22","28","40","18","38","10","12","42","26","30","8","","","","","","",""
"42","34","22","16","28","40","18","38","10","12","42","26","30","8","","","","","","",""
"43","34","22","16","28","40","18","38","10","12","42","30","26","8","","","","","","",""
"44","34","16","28","40","18","38","10","12","42","30","26","8","","","","","","","",""
"45","34","28","16","40","18","38","10","12","42","30","26","8","","","","","","","",""
"46","28","34","16","40","18","38","10","12","42","30","26","8","","","","","","","",""
"47","34","28","16","40","18","38","10","12","42","30","26","8","","","","","","","",""
"48","34","28","16","40","18","38","10","12","42","30","26","8","","","","","","","",""
"49","34","28","16","40","18","38","10","12","42","30","26","8","","","","","","","",""
"50","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"51","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"52","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"53","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"54","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"55","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"56","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"57","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"58","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"59","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"60","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"61","28","16","40","18","38","10","12","42","30","26","8","","","","","","","","",""
"62","28","16","40","18","38","12","10","42","30","26","8","","","","","","","","",""
"63","28","16","40","18","38","12","10","42","30","26","8","","","","","","","","",""
"64","28","16","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"65","28","16","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"66","28","16","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"67","28","16","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"68","28","16","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"69","16","28","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"70","16","28","40","18","38","12","42","30","10","26","8","","","","","","","","",""
"71","16","28","40","38","18","12","30","42","10","26","8","","","","","","","","",""
"72","16","40","38","18","12","30","42","10","26","28","","","","","","","","","",""
"73","16","40","38","12","18","30","42","10","26","","","","","","","","","","",""
"74","16","40","38","12","18","30","42","10","26","","","","","","","","","","",""
"75","16","40","38","12","30","42","10","26","18","","","","","","","","","","",""
"76","16","40","38","12","30","42","10","","","","","","","","","","","","",""
"77","16","40","38","12","","","","","","","","","","","","","","","",""
"78","16","40","38","12","","","","","","","","","","","","","","","",""
"79","16","40","38","","","","","","","","","","","","","","","","",""
"80","16","40","","","","","","","","","","","","","","","","","",""
"81"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
