"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","34","2","38","24","36","8","14","40","6","12","10","4","16","28","18","48","20","46","30","26","22"
"2","24","34","38","40","8","2","6","36","12","10","4","14","46","22","28","18","16","48","26","30","20"
"3","24","34","38","40","2","8","6","12","14","4","10","46","22","18","28","16","48","26","36","30","20"
"4","34","24","38","40","8","2","6","12","14","4","10","46","22","18","28","26","16","48","30","",""
"5","34","24","38","40","8","2","6","12","14","10","4","46","22","18","28","16","26","48","30","",""
"6","34","24","38","40","2","8","6","14","12","10","4","46","18","28","22","16","26","48","30","",""
"7","34","24","38","40","2","8","6","14","12","10","4","46","18","28","22","16","26","48","30","",""
"8","34","24","38","40","2","8","6","14","12","10","4","46","18","28","22","16","26","48","30","",""
"9","34","38","24","40","2","8","6","14","12","10","4","46","28","18","22","16","26","48","30","",""
"10","34","24","38","40","8","2","6","14","12","10","4","46","28","18","22","16","26","48","30","",""
"11","24","38","40","8","2","6","14","12","10","4","46","28","18","22","16","26","34","48","30","",""
"12","40","24","38","8","2","6","14","12","10","4","28","46","18","22","16","26","48","30","","",""
"13","40","24","38","8","2","6","14","12","10","4","28","18","46","22","16","26","48","30","","",""
"14","24","40","8","38","2","6","14","12","10","4","28","18","16","22","26","48","30","46","","",""
"15","40","24","38","8","2","6","14","12","10","4","28","18","22","16","26","48","30","46","","",""
"16","24","40","38","2","8","6","14","12","10","4","28","18","22","16","26","48","30","46","","",""
"17","24","40","38","2","8","6","14","12","10","4","28","18","16","22","26","48","46","30","","",""
"18","24","40","38","2","8","6","14","12","10","4","28","18","16","26","22","48","46","","","",""
"19","40","24","38","2","6","14","12","8","10","4","28","18","26","16","22","48","","","","",""
"20","24","40","38","2","6","14","12","10","4","28","18","26","16","22","8","48","","","","",""
"21","40","24","38","2","6","14","12","10","4","28","18","26","16","22","48","8","","","","",""
"22","24","38","40","2","6","14","12","10","4","28","18","26","16","22","48","","","","","",""
"23","38","24","40","2","6","14","12","10","4","28","18","26","22","48","16","","","","","",""
