"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","20","4","32","26","8","22","6","18","28","12","24","30","34","10","14","2"
"2","4","20","32","8","26","18","10","22","6","28","30","34","24","14","2",""
"3","4","20","32","26","22","18","10","6","28","30","34","24","14","2","8",""
"4","4","32","20","22","26","6","18","10","28","30","24","34","14","2","8",""
"5","4","32","20","22","26","6","10","28","30","24","34","18","14","2","8",""
"6","4","32","20","22","26","6","10","28","30","24","34","18","8","14","2",""
"7","4","32","20","22","26","6","28","10","30","34","24","18","8","14","2",""
"8","4","32","20","22","26","6","28","10","30","34","18","24","8","14","2",""
"9","4","32","20","22","26","6","28","30","10","18","34","24","8","14","2",""
"10","4","32","20","22","26","6","28","30","18","34","24","8","14","2","",""
"11","4","32","20","22","26","6","28","30","18","34","8","24","14","2","",""
"12","4","32","20","22","26","6","28","30","18","8","34","24","2","","",""
"13","4","32","20","22","26","6","28","30","8","18","34","24","2","","",""
"14","4","32","20","22","26","6","28","30","8","18","34","24","2","","",""
"15","4","32","20","22","26","6","28","30","8","18","34","24","2","","",""
"16","4","32","20","22","26","6","28","30","8","18","34","24","2","","",""
"17","4","32","22","20","26","6","28","8","30","18","34","24","2","","",""
"18","4","22","32","20","26","6","8","28","30","18","34","24","2","","",""
"19","4","22","32","20","26","6","8","28","30","18","34","24","2","","",""
"20","4","22","20","32","26","6","8","28","30","18","34","24","2","","",""
"21","4","22","20","32","26","6","8","28","30","18","34","24","2","","",""
"22","4","22","20","32","26","6","8","28","30","18","34","24","2","","",""
"23","4","20","26","6","22","8","28","30","18","34","24","2","","","",""
"24","4","20","26","6","8","22","28","30","18","24","34","2","","","",""
"25","4","20","26","6","8","22","28","30","18","24","2","","","","",""
"26","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"27","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"28","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"29","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"30","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"31","4","20","26","6","8","22","30","28","18","24","2","","","","",""
"32","4","20","26","6","8","30","28","18","24","2","","","","","",""
"33","4","20","26","8","6","30","28","18","24","2","","","","","",""
"34","4","20","26","8","6","30","28","18","24","2","","","","","",""
"35","4","20","8","6","30","28","18","24","2","","","","","","",""
"36","4","20","8","6","30","28","18","24","2","","","","","","",""
"37","4","20","8","6","30","28","18","24","2","","","","","","",""
"38","4","20","8","6","30","28","18","24","2","","","","","","",""
"39","4","20","8","6","30","28","18","24","2","","","","","","",""
"40","4","20","6","30","28","18","24","2","","","","","","","",""
"41","4","20","6","30","28","18","24","2","","","","","","","",""
"42","4","20","6","30","28","18","24","2","","","","","","","",""
"43","4","20","6","30","28","18","24","2","","","","","","","",""
"44","4","20","6","30","28","18","24","2","","","","","","","",""
"45","4","20","6","30","28","18","24","2","","","","","","","",""
"46","4","20","6","30","28","18","24","2","","","","","","","",""
"47","4","20","6","30","28","18","24","2","","","","","","","",""
"48","4","20","6","30","28","18","24","2","","","","","","","",""
"49","4","20","6","30","28","18","24","2","","","","","","","",""
"50","4","20","6","30","28","18","24","2","","","","","","","",""
"51","4","20","6","30","28","18","24","2","","","","","","","",""
"52","4","20","6","30","28","18","24","2","","","","","","","",""
"53","4","20","6","30","28","18","24","2","","","","","","","",""
"54","4","20","6","30","28","18","24","2","","","","","","","",""
"55","4","20","6","30","28","18","24","2","","","","","","","",""
"56","4","20","6","30","28","18","24","2","","","","","","","",""
"57","4","20","6","30","28","18","24","2","","","","","","","",""
"58","4","20","6","30","28","18","24","2","","","","","","","",""
"59","4","20","6","30","28","18","24","2","","","","","","","",""
"60","4","20","6","30","28","18","24","","","","","","","","",""
"61","4","20","6","30","28","18","24","","","","","","","","",""
"62","4","20","6","30","28","18","24","","","","","","","","",""
"63","4","20","6","30","28","18","","","","","","","","","",""
"64","4","20","6","30","28","18","","","","","","","","","",""
"65","4","20","6","30","28","18","","","","","","","","","",""
"66","4","20","6","","","","","","","","","","","","",""
"67"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
