"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","12","32","2","16","10","4","6","40","8","34","24","14","38","18","42","30","","","","",""
"2","32","2","6","12","4","28","16","8","10","18","36","42","14","22","24","40","26","34","20","38","30"
"3","32","2","6","12","4","8","28","18","36","10","22","14","30","42","26","20","38","16","","",""
"4","32","12","6","2","8","28","18","10","36","22","14","30","20","26","38","42","","","","",""
"5","32","12","2","6","8","28","18","22","36","14","10","20","26","30","38","42","","","","",""
"6","32","2","12","6","8","28","18","36","14","22","10","20","26","30","38","42","","","","",""
"7","32","2","12","6","28","8","18","22","14","10","20","26","30","38","42","36","","","","",""
"8","32","12","2","6","28","8","18","22","14","10","20","26","30","38","42","36","","","","",""
"9","32","12","2","6","28","8","18","22","14","10","26","30","42","36","20","","","","","",""
"10","32","12","2","6","28","8","18","22","14","10","26","30","36","42","20","","","","","",""
"11","32","12","2","6","28","8","18","22","10","14","26","30","36","42","20","","","","","",""
"12","32","12","2","6","28","8","18","22","10","14","26","30","42","20","36","","","","","",""
"13","32","12","2","6","28","8","18","22","10","14","26","30","42","20","36","","","","","",""
"14","32","12","2","6","28","8","18","22","10","14","26","30","42","20","36","","","","","",""
"15","32","12","2","6","28","8","18","22","10","14","26","42","30","20","36","","","","","",""
"16","32","12","2","6","28","8","18","22","10","14","26","42","30","20","36","","","","","",""
"17","32","12","2","6","28","8","18","22","10","14","26","42","30","20","36","","","","","",""
"18","32","12","2","6","28","8","18","22","10","14","26","42","20","30","36","","","","","",""
"19","32","12","2","6","28","18","8","10","22","14","26","42","20","30","36","","","","","",""
"20","32","12","2","6","28","18","8","10","22","14","26","20","42","36","30","","","","","",""
"21","32","12","2","6","28","18","8","10","22","14","26","20","42","36","30","","","","","",""
"22","32","12","2","6","28","18","8","22","14","10","20","42","36","30","26","","","","","",""
"23","12","2","6","28","18","8","22","14","10","20","42","36","30","26","","","","","","",""
"24","12","2","6","28","18","8","22","14","10","20","42","36","26","","","","","","","",""
"25","12","2","6","28","18","8","22","14","10","20","42","36","26","","","","","","","",""
"26","12","2","6","28","18","8","22","14","10","20","42","36","26","","","","","","","",""
"27","2","6","28","18","12","8","22","14","10","42","36","26","20","","","","","","","",""
"28","2","6","28","18","12","8","22","14","10","42","36","26","20","","","","","","","",""
"29","2","6","28","18","12","8","14","22","10","36","42","26","20","","","","","","","",""
"30","2","6","28","18","12","8","14","22","10","36","42","26","20","","","","","","","",""
"31","2","28","18","12","8","14","22","10","36","42","26","20","","","","","","","","",""
"32","2","28","18","12","8","14","10","36","42","22","26","20","","","","","","","","",""
"33","2","28","18","12","8","14","10","36","22","42","26","20","","","","","","","","",""
"34","2","28","18","12","8","14","10","36","22","42","26","20","","","","","","","","",""
"35","2","28","18","12","8","14","10","36","22","42","26","20","","","","","","","","",""
"36","28","18","12","2","8","14","10","36","22","42","26","20","","","","","","","","",""
"37","28","18","12","2","8","14","10","22","42","26","20","","","","","","","","","",""
"38","28","18","12","2","8","10","22","42","26","20","","","","","","","","","","",""
"39","28","18","2","8","12","10","22","42","26","20","","","","","","","","","","",""
"40","28","18","2","8","12","10","26","20","22","","","","","","","","","","","",""
"41","28","18","2","12","8","10","26","20","22","","","","","","","","","","","",""
"42","18","28","2","12","8","10","26","20","22","","","","","","","","","","","",""
"43","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"44","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"45","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"46","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"47","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"48","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"49","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"50","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"51","2","28","18","12","8","10","26","20","22","","","","","","","","","","","",""
"52","2","28","18","12","8","10","26","22","20","","","","","","","","","","","",""
"53","2","28","18","12","8","10","26","22","20","","","","","","","","","","","",""
"54","2","28","12","18","8","10","26","22","20","","","","","","","","","","","",""
"55","2","28","12","8","10","26","18","22","20","","","","","","","","","","","",""
"56","2","28","12","8","10","26","18","22","20","","","","","","","","","","","",""
"57","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"58","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"59","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"60","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"61","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"62","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"63","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"64","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"65","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"66","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"67","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"68","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"69","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"70","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"71","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"72","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"73","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"74","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"75","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"76","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"77","2","12","28","8","10","18","22","","","","","","","","","","","","","",""
"78","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"79","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"80","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"81","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"82","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"83","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"84","2","28","12","8","10","18","22","","","","","","","","","","","","","",""
"85","2","12","28","8","10","18","","","","","","","","","","","","","","",""
"86","2","12","10","8","18","28","","","","","","","","","","","","","","",""
"87","2","12","10","8","18","28","","","","","","","","","","","","","","",""
"88","2","12","10","8","18","28","","","","","","","","","","","","","","",""
"89","2","12","10","8","18","28","","","","","","","","","","","","","","",""
"90","2","12","10","8","18","","","","","","","","","","","","","","","",""
"91","2","12","10","8","18","","","","","","","","","","","","","","","",""
"92","2","12","10","8","18","","","","","","","","","","","","","","","",""
"93","2","12","10","8","","","","","","","","","","","","","","","","",""
"94","2","12","10","8","","","","","","","","","","","","","","","","",""
"95","2","12","10","8","","","","","","","","","","","","","","","","",""
"96","2","12","","","","","","","","","","","","","","","","","","",""
"97"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
