"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","12","10","2","14","50","6","30","8","4","20","22","16","18","36","28","46","32","24","38","44","34","48","26","42","40"
"2","10","12","2","6","14","50","4","20","18","16","42","44","22","24","46","48","26","36","30","32","38","28","40","8",""
"3","10","12","2","14","50","6","4","18","20","16","42","22","24","44","36","30","26","46","32","48","38","28","40","8",""
"4","12","10","2","6","14","50","4","18","16","42","22","20","24","30","44","36","26","46","32","48","38","28","40","8",""
"5","12","10","2","14","6","50","4","16","18","42","22","20","30","24","36","44","26","46","32","48","38","28","40","8",""
"6","12","10","2","14","6","50","4","16","42","18","30","20","24","36","44","46","26","32","38","28","48","40","8","",""
"7","12","10","2","14","6","50","4","16","42","18","30","20","24","36","44","46","26","32","38","28","48","40","8","",""
"8","12","10","2","14","6","50","4","16","42","18","30","20","24","36","44","46","26","32","38","28","48","40","8","",""
"9","12","10","2","14","6","50","4","16","42","18","30","20","36","24","44","46","26","32","38","28","48","40","8","",""
"10","12","10","2","14","6","50","4","16","42","18","30","20","36","44","24","46","26","32","38","28","48","40","8","",""
"11","12","10","14","6","50","4","16","42","18","30","36","44","24","46","26","32","38","28","48","20","40","8","","",""
"12","12","10","14","6","4","50","16","42","30","18","36","44","24","46","26","32","38","28","48","20","40","8","","",""
"13","12","10","14","6","4","50","16","42","30","18","44","24","46","26","38","32","28","48","20","40","36","8","","",""
"14","12","10","14","6","4","50","16","42","30","18","44","24","46","26","38","32","28","48","20","40","36","8","","",""
"15","12","10","14","6","4","50","42","16","30","18","44","24","46","38","26","28","32","48","20","40","36","8","","",""
"16","12","10","14","6","4","50","42","16","30","18","44","46","38","26","28","32","24","48","20","40","36","8","","",""
"17","12","10","14","6","4","50","42","30","16","18","44","46","38","26","28","32","24","48","20","40","36","","","",""
"18","12","10","14","6","4","50","42","30","16","18","44","46","38","26","32","24","28","48","40","36","","","","",""
"19","10","12","6","14","4","50","42","30","16","18","44","46","26","32","24","28","40","48","36","","","","","",""
"20","10","12","6","14","4","50","42","30","16","18","44","46","26","32","24","28","40","48","","","","","","",""
"21","10","12","14","6","50","4","42","30","16","18","44","46","26","32","24","28","40","48","","","","","","",""
"22","10","12","14","6","50","4","42","16","18","44","46","26","32","24","28","40","48","","","","","","","",""
"23","10","12","14","6","50","4","42","16","18","44","46","26","32","24","28","40","","","","","","","","",""
"24","10","12","14","6","50","4","42","16","18","46","44","26","24","32","28","40","","","","","","","","",""
"25","10","12","14","6","50","4","42","16","18","46","26","24","28","32","40","","","","","","","","","",""
"26","10","12","14","6","50","4","42","16","18","46","26","24","28","32","40","","","","","","","","","",""
"27","12","10","14","6","50","4","42","16","18","46","26","24","28","32","40","","","","","","","","","",""
"28","12","10","14","6","50","4","42","16","18","46","26","28","32","40","","","","","","","","","","",""
"29","12","10","14","6","50","4","42","16","18","46","26","28","40","32","","","","","","","","","","",""
"30","12","10","14","6","50","4","42","16","18","46","26","28","40","32","","","","","","","","","","",""
"31","12","10","14","6","50","4","16","18","46","28","26","40","32","","","","","","","","","","","",""
"32","12","10","14","6","50","4","16","18","46","28","26","","","","","","","","","","","","","",""
"33","12","10","14","6","4","50","16","18","46","28","26","","","","","","","","","","","","","",""
"34","12","10","14","6","50","4","16","18","46","26","28","","","","","","","","","","","","","",""
"35","12","10","14","6","50","4","16","18","46","26","28","","","","","","","","","","","","","",""
"36","12","10","14","6","50","4","16","18","46","26","28","","","","","","","","","","","","","",""
"37","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"38","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"39","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"40","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"41","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"42","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"43","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"44","12","10","14","6","4","50","16","18","46","26","28","","","","","","","","","","","","","",""
"45","12","10","14","6","4","50","16","18","26","46","28","","","","","","","","","","","","","",""
"46","12","10","14","6","4","50","16","18","26","46","28","","","","","","","","","","","","","",""
"47","12","10","14","6","4","50","16","18","26","46","28","","","","","","","","","","","","","",""
"48","12","10","14","6","4","50","16","18","26","46","28","","","","","","","","","","","","","",""
"49","12","10","14","4","50","18","16","26","46","28","","","","","","","","","","","","","","",""
"50","12","10","14","4","50","18","16","26","46","28","","","","","","","","","","","","","","",""
"51","12","10","14","4","50","18","16","26","46","28","","","","","","","","","","","","","","",""
"52","12","10","14","4","50","18","16","26","46","28","","","","","","","","","","","","","","",""
"53","12","10","14","4","50","18","16","26","46","28","","","","","","","","","","","","","","",""
"54","12","10","14","4","50","16","18","26","46","28","","","","","","","","","","","","","","",""
"55","12","10","14","4","50","16","18","26","46","28","","","","","","","","","","","","","","",""
"56","12","10","14","50","4","16","18","26","46","28","","","","","","","","","","","","","","",""
"57","12","10","14","50","4","16","18","26","46","28","","","","","","","","","","","","","","",""
"58","12","10","14","50","4","16","18","26","46","28","","","","","","","","","","","","","","",""
"59","12","10","14","50","4","16","18","26","46","28","","","","","","","","","","","","","","",""
"60","12","10","14","50","4","16","18","26","46","28","","","","","","","","","","","","","","",""
"61","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"62","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"63","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"64","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"65","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"66","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"67","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"68","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"69","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"70","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"71","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"72","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"73","12","10","14","50","4","16","26","46","28","","","","","","","","","","","","","","","",""
"74","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"75","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"76","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"77","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"78","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"79","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"80","12","10","14","50","4","16","26","46","","","","","","","","","","","","","","","","",""
"81","12","10","14","50","4","16","26","","","","","","","","","","","","","","","","","",""
"82","12","10","14","50","4","16","26","","","","","","","","","","","","","","","","","",""
"83","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"84","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"85","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"86","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"87","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"88","12","10","14","50","4","16","","","","","","","","","","","","","","","","","","",""
"89","12","10","14","50","4","","","","","","","","","","","","","","","","","","","",""
"90","12","10","14","50","4","","","","","","","","","","","","","","","","","","","",""
"91"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
