"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","2","26","6","30","34","36","28","38","44","4","40","18","8","42","12","14","46","32","10",""
"2","2","30","6","26","34","36","8","28","40","44","38","4","46","18","14","12","48","32","10","42"
"3","2","30","6","26","34","36","40","28","8","44","38","46","18","4","14","48","32","12","10","42"
"4","2","30","6","26","34","36","40","28","44","8","38","46","18","4","14","48","32","12","10","42"
"5","2","30","6","26","34","36","40","28","44","38","8","46","18","4","32","12","14","10","42","48"
"6","2","6","30","26","34","36","40","28","44","38","18","46","8","4","32","12","14","10","42","48"
"7","2","6","30","26","34","36","40","28","44","38","46","18","8","4","32","12","14","42","10","48"
"8","2","6","30","26","34","36","40","28","44","38","46","18","8","4","32","12","14","42","10","48"
"9","2","6","30","26","34","36","40","28","44","46","18","8","4","32","12","14","42","10","48",""
"10","2","6","30","26","34","36","28","40","44","46","18","8","4","32","12","42","10","48","",""
"11","2","6","26","30","34","36","28","40","44","46","18","8","4","32","12","42","10","48","",""
"12","2","6","26","30","34","36","28","40","44","18","46","8","4","32","42","12","10","48","",""
"13","2","6","26","30","34","36","28","40","44","46","18","8","4","32","42","12","10","48","",""
"14","2","6","26","30","34","36","28","40","44","46","18","8","4","42","32","12","10","48","",""
"15","2","6","26","30","34","36","28","40","44","46","18","8","4","42","32","12","10","48","",""
"16","2","6","30","26","34","36","28","40","44","46","18","4","42","32","12","10","8","48","",""
"17","2","6","30","34","26","36","28","40","44","46","18","4","42","32","12","10","8","48","",""
"18","2","6","34","30","26","36","28","40","44","46","18","4","42","32","12","10","8","48","",""
"19","2","6","34","30","26","36","28","40","44","46","18","42","4","32","12","10","8","48","",""
"20","2","6","34","30","26","36","28","40","44","46","18","42","4","32","12","10","8","48","",""
"21","2","6","34","30","26","36","44","40","28","46","18","42","4","32","12","10","8","48","",""
"22","2","6","34","30","26","36","44","40","28","46","18","42","4","32","12","10","8","48","",""
"23","2","6","34","26","30","36","44","40","28","46","18","42","4","32","12","10","8","48","",""
"24","2","6","34","26","30","36","44","40","28","46","42","4","32","12","10","8","48","","",""
"25","2","6","34","26","30","36","44","40","28","46","42","4","32","12","10","8","48","","",""
"26","2","6","34","26","30","36","44","40","28","46","42","32","12","10","8","48","","","",""
"27","2","6","34","26","30","36","44","40","28","46","42","32","12","8","10","48","","","",""
"28","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"29","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"30","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"31","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"32","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"33","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"34","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
"35","2","6","34","26","30","44","36","40","28","46","42","32","12","8","10","48","","","",""
