"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","30","32","4","12","6","2","14","36","38","8","","",""
"2","12","34","6","32","30","2","4","14","36","10","18","38","8"
"3","12","6","32","34","2","30","4","36","14","10","38","18","8"
"4","12","6","32","34","2","30","4","14","36","10","38","18","8"
"5","6","12","32","34","2","30","4","14","36","10","38","8","18"
"6","6","12","32","34","2","30","4","14","36","10","38","8","18"
"7","6","12","32","34","2","30","4","14","36","10","38","8","18"
"8","6","32","12","30","2","34","4","14","36","10","38","8","18"
"9","6","32","30","12","2","34","4","14","36","10","38","8","18"
"10","6","30","32","2","12","34","4","14","36","10","38","18","8"
"11","6","30","2","32","12","34","4","14","36","10","38","18","8"
"12","6","2","30","32","12","34","4","14","36","10","38","18","8"
"13","6","2","32","12","34","4","14","36","10","38","30","18","8"
"14","6","2","32","12","34","4","14","36","10","38","18","8","30"
"15","6","2","32","12","34","4","14","36","10","38","18","8","30"
"16","6","2","32","12","34","4","14","36","10","38","18","8","30"
"17","6","2","12","32","34","4","14","36","10","38","18","30","8"
"18","6","2","12","32","34","4","14","36","10","38","18","30","8"
"19","6","2","12","32","34","4","14","36","10","38","18","8","30"
"20","6","2","12","32","34","4","14","36","10","38","18","8","30"
"21","6","2","32","12","34","4","14","36","10","38","18","8","30"
"22","6","2","32","12","34","4","14","36","10","38","18","8","30"
"23","6","2","32","12","34","4","14","36","10","38","18","8","30"
"24","6","2","32","12","4","34","14","36","10","38","18","8",""
"25","6","2","32","12","4","34","14","36","10","38","18","8",""
"26","6","2","32","34","4","14","36","10","38","8","18","",""
"27","6","2","32","34","4","14","36","10","38","8","18","",""
"28","6","2","32","4","34","14","36","10","38","8","18","",""
"29","6","2","32","4","34","14","36","10","38","8","18","",""
"30","6","2","32","4","34","14","36","10","38","8","18","",""
"31","6","2","32","4","34","14","36","10","38","8","18","",""
"32","6","2","32","4","34","14","36","10","38","8","18","",""
"33","6","2","32","4","34","14","36","10","38","8","18","",""
"34","6","2","32","4","34","14","36","10","38","8","18","",""
"35","6","2","32","4","34","14","36","10","38","8","18","",""
"36","6","2","32","4","34","14","36","10","38","18","8","",""
"37","6","2","32","4","34","14","36","10","38","18","8","",""
"38","6","2","32","4","34","14","36","10","38","18","8","",""
"39","6","2","32","4","34","14","36","10","38","18","8","",""
"40","6","2","32","4","34","14","36","10","38","18","8","",""
"41","6","2","32","4","34","14","36","10","38","18","8","",""
"42","6","2","34","4","14","36","10","38","18","8","","",""
"43","6","2","34","4","14","36","10","38","18","8","","",""
"44","2","34","4","14","36","10","38","18","8","","","",""
"45","2","34","4","14","36","10","38","18","8","","","",""
"46","2","34","4","14","36","10","38","18","8","","","",""
"47","2","34","4","14","36","10","38","18","8","","","",""
"48","2","34","4","14","36","10","38","18","8","","","",""
"49","2","34","4","14","36","10","38","18","8","","","",""
"50","2","34","4","14","36","10","38","18","8","","","",""
"51","2","34","4","14","36","10","38","18","8","","","",""
"52","2","34","4","14","36","10","38","18","8","","","",""
"53","2","34","4","14","36","10","38","18","8","","","",""
"54","2","34","4","14","36","10","38","18","8","","","",""
"55","2","34","4","14","36","10","38","18","8","","","",""
"56","2","34","4","14","36","10","38","18","8","","","",""
"57","2","34","4","14","36","10","38","18","8","","","",""
"58","2","34","4","14","36","10","38","18","8","","","",""
"59","2","34","4","14","36","10","38","18","","","","",""
"60","2","34","4","14","10","38","18","","","","","",""
"61","2","34","4","14","10","38","18","","","","","",""
"62","2","34","4","14","10","38","18","","","","","",""
"63","2","34","4","14","10","38","18","","","","","",""
"64","2","34","4","14","10","38","18","","","","","",""
"65","2","34","4","14","10","38","18","","","","","",""
"66","2","34","4","14","10","38","18","","","","","",""
"67","2","34","4","14","10","38","18","","","","","",""
"68","34","2","4","14","10","38","18","","","","","",""
"69","34","2","4","14","10","38","18","","","","","",""
"70","34","2","4","14","10","38","18","","","","","",""
"71","34","2","4","14","10","38","18","","","","","",""
"72","34","2","4","14","10","38","18","","","","","",""
"73","34","2","4","14","10","38","18","","","","","",""
"74","34","4","2","14","10","38","18","","","","","",""
"75","34","4","2","14","10","38","18","","","","","",""
"76","34","4","2","14","10","38","18","","","","","",""
"77","34","4","2","14","10","38","18","","","","","",""
"78","34","4","2","14","10","38","18","","","","","",""
"79","34","4","2","14","10","38","18","","","","","",""
"80","34","4","2","14","10","38","18","","","","","",""
"81","34","4","2","14","10","38","18","","","","","",""
"82","34","4","2","14","10","38","18","","","","","",""
"83","34","4","2","14","10","38","18","","","","","",""
"84","34","4","14","10","38","18","","","","","","",""
"85","34","4","14","10","38","18","","","","","","",""
"86","34","4","14","10","38","18","","","","","","",""
"87","34","4","14","10","38","18","","","","","","",""
"88","34","4","14","10","38","18","","","","","","",""
"89","34","4","14","10","38","18","","","","","","",""
"90","34","4","14","10","38","","","","","","","",""
"91","34","4","14","10","38","","","","","","","",""
"92","34","4","14","10","38","","","","","","","",""
"93","34","4","14","10","","","","","","","","",""
"94","34","4","14","","","","","","","","","",""
"95","34","4","14","","","","","","","","","",""
"96","34","4","14","","","","","","","","","",""
"97","34","4","14","","","","","","","","","",""
"98","34","4","","","","","","","","","","",""
"99"," "," "," "," "," "," "," "," "," "," "," "," "," "
