"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","2","30","8","32","4","10","12","6","34","24","22","28","36","26","20","38"
"2","30","4","8","2","10","12","32","6","34","26","20","24","22","28","",""
"3","30","4","2","8","10","12","32","6","26","34","20","24","22","28","",""
"4","30","2","4","8","12","32","10","6","34","20","24","22","28","","",""
"5","30","2","4","8","12","32","6","10","34","20","24","22","28","","",""
"6","2","30","4","8","12","32","10","6","34","20","22","24","28","","",""
"7","2","30","4","8","32","6","10","12","34","20","22","24","28","","",""
"8","2","30","8","4","32","6","10","12","34","20","22","24","28","","",""
"9","2","30","8","4","32","6","10","12","34","20","22","24","28","","",""
"10","2","30","8","4","32","6","10","12","34","20","22","24","28","","",""
"11","2","30","8","4","32","6","10","34","22","20","24","12","28","","",""
"12","2","8","32","6","10","34","22","20","24","12","","","","","",""
"13","2","8","32","6","10","34","22","20","24","","","","","","",""
"14","2","8","32","6","10","34","22","20","24","","","","","","",""
"15","2","8","32","6","10","34","22","20","24","","","","","","",""
"16","2","8","32","6","10","34","22","20","24","","","","","","",""
"17","2","8","32","6","10","34","22","20","24","","","","","","",""
"18","2","8","32","6","10","34","22","20","24","","","","","","",""
"19","2","8","32","6","10","34","22","20","24","","","","","","",""
"20","2","8","32","6","10","34","22","20","24","","","","","","",""
"21","2","8","32","6","10","34","22","20","24","","","","","","",""
"22","2","8","32","6","34","10","22","20","24","","","","","","",""
"23","2","8","32","6","34","10","22","20","24","","","","","","",""
"24","2","8","32","6","34","10","22","20","24","","","","","","",""
"25","8","32","6","34","10","22","20","24","","","","","","","",""
"26","8","6","32","34","10","22","20","24","","","","","","","",""
"27","8","6","32","34","10","22","20","24","","","","","","","",""
"28","8","6","32","34","10","22","20","24","","","","","","","",""
"29","8","6","32","34","10","22","20","24","","","","","","","",""
"30","8","6","32","34","10","22","20","24","","","","","","","",""
"31","8","6","32","34","10","22","20","24","","","","","","","",""
"32","8","6","34","32","10","22","20","24","","","","","","","",""
"33","8","6","34","10","22","32","20","24","","","","","","","",""
"34","8","6","34","10","22","20","32","24","","","","","","","",""
"35","8","6","34","10","22","","","","","","","","","","",""
"36","8","6","34","10","","","","","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
