"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","1","2","3","7","4","8","6","16","5","21","12","19","15","10","20","14","11","22","18"
"2","1","2","7","6","16","5","8","4","12","21","20","15","18","19","3","11","22","",""
"3","1","2","7","6","16","5","8","4","12","21","20","15","18","19","3","11","22","",""
"4","1","2","7","6","5","8","4","12","21","20","15","18","19","3","11","22","","",""
"5","1","2","7","6","5","4","12","21","20","15","18","3","11","22","","","","",""
"6","1","2","7","6","5","4","12","21","20","15","18","3","11","22","","","","",""
"7","1","2","7","6","5","4","12","21","20","18","15","11","22","","","","","",""
"8","1","2","7","6","5","4","12","21","20","18","15","11","22","","","","","",""
"9","1","2","7","6","5","4","21","12","20","18","15","11","22","","","","","",""
"10","1","7","6","5","4","21","12","20","18","15","11","22","","","","","","",""
"11","1","7","6","5","4","21","12","20","18","15","11","22","","","","","","",""
"12","1","7","6","5","4","21","12","20","18","15","11","22","","","","","","",""
"13","1","7","6","5","21","12","20","18","15","11","22","","","","","","","",""
"14","1","7","6","5","21","12","20","18","15","11","22","","","","","","","",""
"15","1","7","5","6","21","20","15","11","22","","","","","","","","","",""
"16","1","7","6","21","20","15","11","22","","","","","","","","","","",""
"17","1","7","6","21","20","15","22","","","","","","","","","","","",""
"18","1","7","6","21","20","15","","","","","","","","","","","","",""
"19","1","7","6","21","20","15","","","","","","","","","","","","",""
"20","1","7","6","21","20","15","","","","","","","","","","","","",""
"21","1","7","6","21","20","","","","","","","","","","","","","",""
"22","1","7","6","","","","","","","","","","","","","","","",""
"23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
