"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1","8","24","7","73","99","98","42","29","5","1","53","15","4","19","48","49","88","2","89","26","82","14","54","57","16","12","55","41","27","34","81","64"
"2","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
