"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","20","28","22","30","16","14","32","24","26","2","6","8","18","10","12"
"2","28","20","26","22","30","24","16","32","2","4","6","18","8","14",""
"3","28","20","26","22","30","24","16","32","2","4","6","18","8","14",""
"4","28","26","22","30","20","32","2","4","6","18","8","14","","",""
"5","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"6","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"7","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"8","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"9","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"10","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"11","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"12","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"13","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"14","28","26","30","22","20","32","2","4","6","18","8","14","","",""
"15","28","26","30","20","22","32","2","4","6","18","8","","","",""
"16","28","26","30","20","32","2","4","6","18","8","","","","",""
"17","28","26","30","20","32","2","4","6","18","8","","","","",""
"18","28","26","30","20","32","2","4","6","18","8","","","","",""
"19","28","26","30","20","32","2","4","6","18","8","","","","",""
"20","28","26","20","30","32","2","4","6","18","8","","","","",""
"21","28","26","20","30","32","2","4","6","18","8","","","","",""
"22","28","26","20","30","32","2","4","6","18","8","","","","",""
"23","28","26","20","30","32","2","4","6","18","8","","","","",""
"24","28","26","20","30","32","2","4","6","18","8","","","","",""
"25","28","26","20","30","32","2","4","6","8","18","","","","",""
"26","28","26","20","30","32","2","4","6","8","18","","","","",""
"27","28","26","20","30","32","2","4","6","8","18","","","","",""
"28","28","26","20","30","32","2","4","6","8","18","","","","",""
"29","28","20","26","30","32","2","4","6","8","18","","","","",""
"30","28","20","26","30","32","2","4","6","8","18","","","","",""
"31","28","20","26","30","32","2","4","6","8","18","","","","",""
"32","28","20","26","30","32","2","4","6","8","18","","","","",""
"33","28","20","26","30","32","2","4","6","8","18","","","","",""
"34","28","26","20","30","32","2","4","6","8","18","","","","",""
"35","28","26","20","30","32","2","4","6","8","18","","","","",""
"36","28","26","20","30","32","2","4","6","8","18","","","","",""
"37","28","26","20","30","32","2","4","6","8","18","","","","",""
"38","28","26","20","30","32","2","4","6","8","18","","","","",""
"39","28","26","20","30","32","2","4","6","8","18","","","","",""
"40","28","26","20","30","32","2","4","6","8","18","","","","",""
"41","28","26","30","20","32","2","4","6","8","18","","","","",""
"42","28","26","30","20","32","2","4","6","8","18","","","","",""
"43","28","26","30","20","32","2","4","6","8","18","","","","",""
"44","28","26","30","20","32","2","4","6","8","18","","","","",""
"45","28","26","30","20","32","2","4","6","8","18","","","","",""
"46","28","26","30","20","32","2","4","6","8","18","","","","",""
"47","28","26","30","20","32","2","4","6","8","18","","","","",""
"48","28","26","30","20","32","2","4","6","8","18","","","","",""
"49","28","26","30","20","2","32","4","6","8","18","","","","",""
"50","28","26","30","20","2","32","4","6","8","18","","","","",""
"51","28","26","30","20","2","32","4","6","8","18","","","","",""
