"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","4","2","6","14","10","12","16","8","22","26","24","28","",""
"2","6","14","2","16","10","12","8","22","18","20","24","26","28","4"
"3","6","14","2","16","10","12","22","8","18","20","24","26","28","4"
"4","14","6","2","16","10","12","22","18","8","20","24","26","28","4"
"5","14","6","2","16","10","12","22","18","8","20","24","26","28","4"
"6","14","6","2","16","10","12","22","18","8","20","24","26","28","4"
"7","14","6","2","16","10","12","22","18","8","20","24","26","28","4"
"8","14","6","2","16","10","12","22","18","20","8","24","26","28","4"
"9","14","6","2","10","16","12","22","18","20","8","24","26","28","4"
"10","6","14","10","2","16","12","22","18","20","8","24","26","28","4"
"11","6","14","10","2","16","12","22","18","20","8","24","26","28","4"
"12","6","10","14","2","16","12","22","20","18","8","24","26","28","4"
"13","6","10","14","2","16","12","22","20","18","8","24","26","28","4"
"14","10","6","2","14","16","12","22","20","18","8","24","26","28","4"
"15","10","6","2","14","16","12","22","20","8","18","24","26","28","4"
"16","10","6","2","14","16","12","20","22","8","18","24","26","28","4"
"17","10","6","2","14","16","12","20","22","8","18","24","26","28","4"
"18","10","6","2","16","12","14","20","22","8","18","24","26","28","4"
"19","10","6","2","16","12","14","20","22","8","18","24","26","28","4"
"20","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"21","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"22","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"23","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"24","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"25","10","6","2","16","12","14","20","8","22","18","24","26","28","4"
"26","10","6","2","16","12","14","8","22","18","20","24","26","28","4"
"27","2","6","16","12","14","8","22","10","18","20","24","26","28","4"
"28","2","6","16","12","14","8","22","18","20","24","26","28","4",""
"29","2","6","16","12","14","8","22","18","20","24","26","28","4",""
"30","2","6","16","12","14","8","22","18","20","24","26","28","4",""
"31","2","6","16","12","14","8","22","18","20","24","28","26","4",""
"32","2","6","16","14","8","22","12","18","20","24","28","26","4",""
"33","2","6","16","14","8","22","18","20","24","28","26","4","",""
"34","2","6","16","14","8","22","18","20","24","26","28","4","",""
"35","2","6","16","14","8","22","20","18","24","26","28","4","",""
"36","2","6","14","16","8","22","20","18","24","26","28","4","",""
"37","2","6","14","8","22","20","18","24","26","28","4","","",""
"38","2","6","14","8","22","20","18","24","26","28","4","","",""
"39","2","6","14","8","22","20","18","24","26","28","4","","",""
"40","2","6","14","8","22","20","18","24","26","28","4","","",""
"41","2","6","14","8","22","20","18","24","26","28","4","","",""
"42","2","6","14","8","22","20","18","24","26","28","4","","",""
"43","2","6","14","8","22","20","18","24","26","28","4","","",""
"44","2","6","14","8","22","20","18","24","26","28","4","","",""
"45","2","6","14","8","22","20","18","24","26","28","4","","",""
"46","2","6","14","8","22","20","18","24","26","28","4","","",""
"47","2","6","14","8","22","20","18","24","26","28","4","","",""
"48","2","6","14","8","22","18","20","24","26","28","4","","",""
"49","2","6","14","8","22","18","20","24","26","28","4","","",""
"50","2","6","14","8","22","18","20","24","26","28","4","","",""
"51","2","6","14","8","22","18","20","24","26","28","4","","",""
"52","2","6","14","8","22","18","20","24","26","28","4","","",""
"53","2","6","14","8","22","18","20","24","26","28","4","","",""
"54","2","6","14","8","22","18","20","24","26","28","4","","",""
"55","2","6","14","8","22","18","20","24","26","28","4","","",""
"56","2","6","14","8","22","18","20","24","26","28","4","","",""
"57","2","6","14","8","22","18","20","24","26","28","4","","",""
"58","2","6","14","8","22","18","20","24","26","28","4","","",""
"59","2","6","14","8","22","18","20","24","26","28","4","","",""
"60","2","6","14","8","22","18","20","24","26","28","4","","",""
"61","2","6","14","8","22","18","20","24","26","28","4","","",""
"62","2","6","14","8","22","18","20","24","26","28","4","","",""
"63","2","6","14","8","18","22","20","24","26","4","28","","",""
"64","2","6","14","8","18","22","20","24","4","26","28","","",""
"65","2","6","14","8","18","22","20","24","4","28","26","","",""
"66","2","6","14","8","18","22","20","24","4","26","28","","",""
"67","2","6","14","8","18","22","20","24","4","26","28","","",""
"68","2","6","14","8","18","22","20","24","4","28","26","","",""
"69","2","6","14","8","18","22","20","24","4","28","26","","",""
"70","2","6","14","8","22","18","20","24","4","28","26","","",""
"71","2","6","14","8","18","22","20","24","4","26","28","","",""
"72","2","6","14","8","22","18","20","24","4","26","28","","",""
"73","2","6","14","8","22","18","20","24","4","26","28","","",""
"74","2","6","14","8","22","18","20","24","4","26","28","","",""
"75","2","6","14","8","22","18","20","24","4","26","28","","",""
"76","2","6","14","8","22","20","18","24","4","26","28","","",""
"77","2","6","8","22","20","18","24","4","26","28","","","",""
"78","2","6","8","22","20","18","24","4","26","28","","","",""
"79","2","6","8","22","20","18","24","4","26","28","","","",""
"80","2","6","8","22","20","18","24","4","26","28","","","",""
"81","2","6","8","22","20","18","24","4","26","28","","","",""
"82","6","2","8","22","20","18","24","4","26","28","","","",""
"83","2","6","8","22","20","18","24","4","26","28","","","",""
"84","2","6","8","22","20","18","24","4","26","28","","","",""
"85","6","2","8","22","20","18","24","4","26","28","","","",""
"86","2","6","8","22","20","18","24","4","26","28","","","",""
"87","2","6","8","22","20","18","24","4","26","28","","","",""
"88","2","6","8","22","20","18","24","4","26","28","","","",""
"89","2","6","8","22","20","18","24","4","26","28","","","",""
"90","2","6","8","22","20","18","24","4","26","28","","","",""
"91","2","6","8","22","20","18","24","4","26","28","","","",""
"92","2","6","8","22","20","18","24","4","26","","","","",""
"93","2","6","8","22","20","18","24","4","","","","","",""
"94","2","6","8","22","20","18","24","4","","","","","",""
"95","2","6","8","22","20","18","24","","","","","","",""
"96","2","6","8","22","20","18","24","","","","","","",""
"97","2","6","8","22","20","18","","","","","","","",""
"98","2","6","8","22","20","18","","","","","","","",""
"99","2","6","8","22","20","18","","","","","","","",""
"100","2","6","8","","","","","","","","","","",""
"101"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
