"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","18","4","20","2","10","22","6","12","16","14","8","26","34","30","36","24","28","38","32"
"2","18","4","20","10","12","6","14","2","8","26","22","16","36","34","24","38","28","32",""
"3","18","4","10","20","12","14","2","6","8","22","26","16","36","34","24","38","28","32",""
"4","18","4","10","20","12","14","2","8","6","22","26","16","36","34","24","38","28","32",""
"5","18","4","10","20","12","14","2","8","6","22","26","16","36","34","24","38","28","32",""
"6","18","4","10","20","12","14","22","2","6","8","26","16","36","34","24","38","28","32",""
"7","18","4","10","20","12","14","22","2","6","8","16","26","36","34","24","38","28","32",""
"8","18","4","10","20","12","14","22","2","6","8","16","36","26","34","24","38","28","32",""
"9","18","4","10","20","12","14","22","2","6","8","16","36","26","34","24","38","28","32",""
"10","18","4","10","12","20","14","22","2","6","8","16","36","26","34","24","38","28","32",""
"11","18","4","10","12","14","20","22","2","6","8","16","36","26","34","24","38","28","32",""
"12","18","4","10","12","20","22","2","14","6","8","16","36","34","26","24","38","28","32",""
"13","18","4","10","12","20","22","14","2","6","8","16","36","34","26","24","38","28","32",""
"14","18","4","10","12","20","22","14","2","6","8","16","36","34","26","24","38","28","32",""
"15","18","4","10","12","20","22","14","2","6","8","16","36","34","26","24","38","28","32",""
"16","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","28","32",""
"17","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","28","32",""
"18","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","28","32",""
"19","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","28","32",""
"20","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","32","",""
"21","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","32","",""
"22","18","4","10","12","22","20","14","2","6","8","16","36","34","26","24","38","32","",""
"23","18","4","10","12","22","20","14","2","6","8","16","36","34","38","26","24","32","",""
"24","4","10","12","22","20","14","18","2","6","8","16","36","34","38","26","24","32","",""
"25","4","10","12","22","20","14","2","6","8","16","36","34","38","26","24","18","32","",""
"26","4","10","12","22","20","14","2","6","8","16","36","34","26","38","24","18","32","",""
"27","4","10","12","22","20","14","2","6","8","16","36","34","26","38","24","18","32","",""
"28","4","10","12","22","20","14","2","6","8","36","16","34","26","38","24","18","32","",""
"29","4","10","12","22","14","2","6","8","20","36","16","34","26","38","24","18","32","",""
"30","4","10","12","22","14","2","8","20","6","36","16","34","26","38","24","18","32","",""
"31","4","10","12","22","14","2","20","8","36","16","34","6","26","38","24","18","32","",""
"32","4","10","12","22","14","2","20","8","36","16","34","6","26","38","24","18","32","",""
"33","4","10","12","22","14","2","20","8","36","16","34","6","26","38","24","18","32","",""
"34","4","10","12","22","14","2","20","8","16","36","34","6","26","38","24","18","32","",""
"35","4","10","12","22","14","2","20","8","16","36","34","6","26","24","38","18","32","",""
"36","4","10","12","22","14","20","2","8","16","36","34","6","26","24","38","18","32","",""
"37","4","10","12","22","14","20","2","16","36","6","34","26","24","38","18","32","","",""
"38","4","10","22","12","14","20","2","16","36","6","34","26","24","38","18","32","","",""
