"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","2","4","10","6","12","20","14","16","8","18","26","28","22","30","24"
"2","10","4","2","12","6","28","16","18","8","14","20","26","24","30","22"
"3","10","2","4","12","6","28","16","18","8","14","20","26","24","30","22"
"4","10","2","4","12","6","28","18","8","16","14","20","24","30","22",""
"5","2","10","4","12","6","28","8","18","16","14","20","24","30","22",""
"6","2","10","12","4","6","28","8","18","16","14","20","24","","",""
"7","2","10","12","4","6","8","28","18","14","20","24","16","","",""
"8","2","10","12","4","6","8","28","14","18","20","24","16","","",""
"9","2","10","12","4","6","8","28","14","18","20","24","16","","",""
"10","2","10","12","4","6","8","28","14","18","20","24","16","","",""
"11","2","10","12","4","6","8","14","28","18","20","24","16","","",""
"12","2","10","12","4","6","8","14","28","18","20","24","16","","",""
"13","2","10","12","4","6","8","28","14","18","20","24","16","","",""
"14","2","10","12","4","6","8","14","28","18","20","24","16","","",""
"15","2","10","12","4","6","8","14","28","18","20","24","16","","",""
"16","2","12","10","4","6","8","14","28","18","20","24","16","","",""
"17","2","12","10","4","6","8","14","28","18","20","24","16","","",""
"18","2","12","10","4","8","6","14","28","18","20","24","16","","",""
"19","2","12","10","4","6","8","14","28","18","20","24","16","","",""
"20","2","12","10","4","8","6","14","28","18","20","24","16","","",""
"21","2","12","10","4","8","6","14","28","18","20","24","16","","",""
"22","2","12","10","4","8","6","28","14","18","20","24","16","","",""
"23","2","12","10","4","8","6","28","14","18","20","24","16","","",""
"24","2","12","10","4","8","6","28","14","18","20","24","16","","",""
"25","2","12","10","4","8","6","28","14","18","20","24","","","",""
"26","2","12","10","4","8","14","6","18","20","24","","","","",""
"27","2","12","10","4","14","18","6","8","24","","","","","",""
"28","2","12","10","4","18","14","6","8","24","","","","","",""
"29","2","10","12","4","18","14","6","8","24","","","","","",""
"30","2","10","12","4","18","14","6","8","24","","","","","",""
"31","2","10","12","4","18","14","8","6","24","","","","","",""
"32","2","10","12","4","14","6","24","","","","","","","",""
"33","2","10","12","4","14","6","24","","","","","","","",""
"34","2","10","12","4","14","6","24","","","","","","","",""
"35","2","10","12","4","14","6","24","","","","","","","",""
"36","2","10","12","4","14","6","24","","","","","","","",""
"37","2","10","12","4","14","6","24","","","","","","","",""
"38","2","10","12","4","14","6","24","","","","","","","",""
"39","2","10","12","4","14","6","24","","","","","","","",""
"40","2","10","12","4","14","6","24","","","","","","","",""
"41","2","10","12","4","14","6","24","","","","","","","",""
"42","2","10","12","4","14","6","24","","","","","","","",""
"43","2","10","12","4","14","6","24","","","","","","","",""
"44","2","10","12","4","14","6","24","","","","","","","",""
"45","2","10","12","14","4","6","24","","","","","","","",""
"46","2","10","12","14","4","6","24","","","","","","","",""
"47","2","10","12","14","4","6","24","","","","","","","",""
"48","2","10","12","14","4","6","24","","","","","","","",""
"49","2","10","12","14","4","6","24","","","","","","","",""
"50","2","10","12","14","4","6","24","","","","","","","",""
"51","2","10","12","14","4","6","24","","","","","","","",""
"52","2","10","12","14","4","6","24","","","","","","","",""
"53","2","10","12","14","4","6","24","","","","","","","",""
"54","2","10","12","14","4","6","24","","","","","","","",""
"55","2","10","12","14","4","6","24","","","","","","","",""
"56","2","10","12","14","4","6","24","","","","","","","",""
"57","2","10","12","14","4","6","24","","","","","","","",""
"58","2","10","12","14","4","6","24","","","","","","","",""
"59","2","10","12","14","4","6","24","","","","","","","",""
"60","2","10","12","14","4","6","24","","","","","","","",""
"61","2","10","12","14","4","6","24","","","","","","","",""
"62","2","10","12","14","4","6","24","","","","","","","",""
"63","2","10","12","14","4","6","24","","","","","","","",""
"64","2","10","12","14","4","6","24","","","","","","","",""
"65","2","10","12","14","4","6","24","","","","","","","",""
"66","2","10","12","14","4","6","24","","","","","","","",""
"67","2","10","12","14","4","6","24","","","","","","","",""
"68","2","10","12","14","4","6","24","","","","","","","",""
"69","2","10","12","14","4","6","24","","","","","","","",""
"70","2","10","12","14","6","4","","","","","","","","",""
"71","2","10","12","14","6","","","","","","","","","",""
"72","2","10","12","14","","","","","","","","","","",""
"73","2","10","12","14","","","","","","","","","","",""
"74","2","10","12","14","","","","","","","","","","",""
"75","2","10","12","14","","","","","","","","","","",""
"76","2","10","12","14","","","","","","","","","","",""
"77","2","10","12","14","","","","","","","","","","",""
"78"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
