"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","20","18","22","2","6","4","30","36","32","34","26","24","16","10","12","14","",""
"2","18","6","20","22","32","30","2","24","4","34","26","8","36","14","10","16","28","12"
"3","18","6","20","22","2","32","4","30","34","24","26","8","36","14","10","16","28","12"
"4","18","6","22","20","2","4","32","30","34","24","8","36","26","14","10","16","28","12"
"5","6","18","22","20","2","4","30","32","34","24","26","8","36","14","10","16","28",""
"6","18","6","22","2","20","4","30","32","34","24","8","26","36","14","10","16","28",""
"7","6","18","2","20","22","4","30","32","34","24","8","26","36","10","16","14","28",""
"8","2","18","22","6","20","4","30","32","34","24","8","26","36","10","16","14","28",""
"9","2","18","22","20","6","4","30","32","34","24","8","26","36","10","16","14","28",""
"10","2","22","18","20","6","4","30","32","24","34","8","36","26","10","16","14","28",""
"11","2","22","18","20","6","4","30","32","24","34","8","36","26","10","16","14","28",""
"12","18","22","2","20","6","4","30","32","24","34","8","36","26","10","16","14","28",""
"13","22","18","20","2","6","4","30","32","24","34","8","36","26","10","16","14","28",""
"14","22","2","20","6","18","4","30","32","34","24","36","8","26","10","16","14","28",""
"15","22","2","20","6","18","4","30","32","34","24","8","36","26","10","16","14","28",""
"16","22","2","20","18","6","4","30","32","34","24","8","36","26","10","16","14","28",""
"17","20","22","2","18","6","30","4","32","34","24","36","8","26","10","16","14","28",""
"18","20","22","2","18","6","4","30","32","34","8","36","26","10","16","14","28","24",""
"19","20","22","2","18","6","4","30","32","34","8","36","26","10","16","28","14","24",""
"20","20","22","18","2","6","4","30","32","34","8","36","26","10","16","28","14","24",""
"21","20","18","2","6","4","30","32","34","8","36","22","26","10","16","28","14","24",""
"22","18","20","2","6","4","30","32","34","8","36","22","26","10","16","28","14","24",""
"23","18","20","2","6","4","30","32","34","8","36","22","26","10","16","28","14","24",""
"24","18","20","2","6","4","30","32","34","8","36","22","26","10","16","28","14","24",""
"25","18","2","6","4","30","34","32","22","36","8","26","10","16","28","14","24","20",""
"26","18","2","6","4","30","34","32","22","36","8","26","10","16","28","14","24","20",""
"27","18","2","6","4","30","34","32","22","8","36","26","10","16","28","24","14","20",""
"28","18","2","6","4","30","34","32","22","8","36","26","10","16","28","24","14","20",""
"29","18","2","4","30","6","34","22","32","8","36","26","10","16","28","24","14","20",""
"30","18","2","4","30","6","22","34","32","8","36","26","10","16","24","28","14","20",""
"31","18","2","4","30","6","34","32","8","36","26","10","16","24","28","14","20","22",""
"32","18","2","4","30","6","34","32","8","36","26","10","16","28","14","20","22","24",""
"33","18","2","4","30","6","34","32","8","36","26","10","16","28","20","14","22","",""
"34","18","2","30","6","34","32","8","36","26","10","16","28","20","14","22","4","",""
"35","18","2","30","6","34","32","8","36","26","10","16","28","20","14","22","4","",""
"36","18","2","30","34","32","8","36","26","10","16","6","28","20","14","22","","",""
"37","18","2","30","34","8","32","36","26","10","16","6","20","28","14","22","","",""
"38","18","2","30","34","32","8","36","26","10","16","6","20","28","14","22","","",""
"39","18","2","30","34","8","32","36","26","16","6","20","28","10","14","22","","",""
"40","18","2","30","34","8","32","36","26","16","6","20","28","10","14","22","","",""
"41","18","2","30","34","8","36","26","32","16","6","20","28","10","14","22","","",""
"42","18","2","30","34","8","36","26","32","16","6","20","10","28","14","22","","",""
"43","18","2","30","34","8","36","26","32","6","16","20","10","14","28","22","","",""
"44","18","2","30","34","8","36","26","32","6","16","20","10","22","28","14","","",""
"45","18","2","30","34","8","36","26","32","6","16","20","10","22","28","14","","",""
"46","18","2","30","34","8","36","26","32","16","10","22","6","20","28","14","","",""
"47","18","2","30","34","36","26","8","32","16","10","22","6","28","14","20","","",""
"48","18","2","30","34","36","26","32","8","10","6","22","28","14","20","16","","",""
"49","18","2","30","34","36","26","32","8","10","6","22","14","20","28","","","",""
"50","18","2","30","34","36","26","32","8","10","6","22","14","20","28","","","",""
"51","18","2","30","34","36","26","32","8","10","22","14","28","","","","","",""
"52","18","2","30","34","36","26","32","8","10","22","14","28","","","","","",""
"53","18","2","30","34","36","26","32","8","10","22","14","28","","","","","",""
"54","18","2","30","34","36","26","32","8","10","22","14","28","","","","","",""
"55","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"56","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"57","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"58","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"59","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"60","18","2","30","34","36","26","8","32","10","22","14","28","","","","","",""
"61","18","2","34","36","26","8","30","32","22","10","14","28","","","","","",""
"62","18","2","34","36","26","8","30","32","22","10","14","28","","","","","",""
"63","18","2","34","36","26","8","30","32","22","10","14","28","","","","","",""
"64","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
"65","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
"66","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
"67","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
"68","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
"69","18","2","34","36","26","8","32","22","10","14","28","","","","","","",""
