"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","32","26","18","20","28","30","36","38","2","6","22","10","14","12","",""
"2","18","32","26","38","20","36","28","24","22","2","10","6","30","14","34","12"
"3","18","26","32","38","20","36","28","24","22","2","10","6","30","14","34","12"
"4","18","26","32","20","28","36","24","38","22","2","10","6","30","14","34","12"
"5","18","26","32","20","28","24","38","36","22","2","10","6","30","14","34","12"
"6","32","20","24","36","38","22","2","10","6","30","14","34","12","","",""
"7","32","20","24","36","38","22","2","10","6","30","14","34","12","","",""
"8","32","20","24","36","38","22","2","10","6","30","14","34","12","","",""
"9","32","20","24","36","38","22","2","10","6","30","14","34","12","","",""
"10","32","20","24","36","38","22","2","10","6","30","14","34","12","","",""
"11","32","20","24","36","38","14","2","30","6","34","12","10","22","","",""
"12","32","20","24","36","38","14","2","30","6","34","12","10","","","",""
"13","32","20","24","36","38","14","30","2","6","34","10","12","","","",""
"14","32","20","24","36","38","14","30","6","2","34","10","12","","","",""
"15","32","20","24","36","38","14","30","6","2","34","10","12","","","",""
"16","32","20","24","38","30","14","6","2","34","36","10","12","","","",""
"17","32","20","24","38","30","14","6","2","34","36","10","12","","","",""
"18","32","20","24","38","30","14","6","2","34","36","10","12","","","",""
"19","32","20","24","38","30","14","6","2","36","34","10","12","","","",""
"20","32","20","24","38","30","14","6","2","36","34","10","12","","","",""
"21","32","20","24","38","30","14","6","2","36","34","10","12","","","",""
"22","32","20","24","38","30","14","6","36","34","2","10","12","","","",""
"23","32","20","24","38","30","14","6","36","34","2","10","12","","","",""
"24","32","20","24","38","30","14","6","36","34","2","10","12","","","",""
"25","32","20","24","30","14","6","36","34","2","10","12","","","","",""
"26","32","20","24","30","14","6","36","34","2","10","12","","","","",""
"27","32","20","24","30","14","6","36","34","2","10","12","","","","",""
"28","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"29","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"30","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"31","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"32","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"33","32","20","24","14","6","36","2","34","10","30","12","","","","",""
"34","32","20","24","14","36","6","2","34","10","30","12","","","","",""
"35","32","20","24","14","36","6","2","34","10","30","12","","","","",""
"36","32","20","24","14","36","6","2","34","10","30","12","","","","",""
"37","32","20","24","14","36","6","2","34","10","30","12","","","","",""
"38","32","20","24","14","36","6","2","34","10","30","12","","","","",""
"39","32","20","24","36","14","6","2","34","10","30","12","","","","",""
"40","32","20","24","36","14","6","2","34","10","30","12","","","","",""
"41","32","20","24","36","14","6","2","34","10","30","12","","","","",""
"42","32","20","24","36","14","6","2","34","10","30","12","","","","",""
"43","32","20","24","36","14","6","2","34","10","30","12","","","","",""
"44","32","20","36","24","14","6","2","10","34","30","12","","","","",""
"45","32","20","36","24","14","6","2","10","34","30","12","","","","",""
"46","32","20","36","24","14","6","2","10","34","30","12","","","","",""
"47","32","20","36","24","14","6","2","10","34","30","12","","","","",""
"48","32","20","36","24","14","6","2","10","34","30","12","","","","",""
"49","32","20","36","24","14","6","2","10","34","30","","","","","",""
"50","32","20","36","24","14","6","2","10","34","30","","","","","",""
"51","32","20","36","24","14","6","2","10","34","30","","","","","",""
"52","32","20","36","24","14","6","2","10","34","30","","","","","",""
"53","32","20","24","14","6","2","10","34","30","","","","","","",""
"54","32","20","24","14","6","2","10","34","30","","","","","","",""
"55","32","20","24","14","6","2","10","34","30","","","","","","",""
"56","32","20","24","14","6","2","34","10","30","","","","","","",""
"57","32","20","24","14","6","2","34","10","30","","","","","","",""
"58","32","20","24","14","6","2","34","10","30","","","","","","",""
"59","32","20","24","14","6","2","34","10","30","","","","","","",""
"60","32","20","24","14","6","2","34","10","30","","","","","","",""
"61","32","20","24","14","6","2","34","10","30","","","","","","",""
"62","32","20","24","14","2","34","10","30","","","","","","","",""
"63","32","20","24","2","34","14","10","30","","","","","","","",""
"64","32","20","24","2","34","14","10","30","","","","","","","",""
"65","32","20","24","2","14","10","30","34","","","","","","","",""
"66","32","20","24","2","14","10","30","","","","","","","","",""
"67","32","20","24","2","14","10","30","","","","","","","","",""
"68","32","20","24","2","14","10","30","","","","","","","","",""
"69","32","20","24","14","2","10","30","","","","","","","","",""
"70","32","20","24","14","2","10","30","","","","","","","","",""
"71","32","20","24","14","2","10","30","","","","","","","","",""
"72","32","20","24","14","2","10","30","","","","","","","","",""
"73","32","20","24","14","2","10","30","","","","","","","","",""
"74","32","20","24","14","2","10","30","","","","","","","","",""
"75","32","20","24","14","2","10","30","","","","","","","","",""
"76","32","20","24","14","2","10","30","","","","","","","","",""
"77","32","20","24","14","2","10","30","","","","","","","","",""
"78","32","20","24","14","2","10","30","","","","","","","","",""
"79","32","20","24","14","2","10","30","","","","","","","","",""
"80","32","20","24","14","2","10","30","","","","","","","","",""
"81","32","20","24","14","2","10","30","","","","","","","","",""
"82","32","20","24","14","2","10","30","","","","","","","","",""
"83","32","20","24","14","2","10","30","","","","","","","","",""
"84","32","20","24","14","2","10","30","","","","","","","","",""
"85","32","20","24","14","2","10","30","","","","","","","","",""
"86","32","20","24","14","2","10","30","","","","","","","","",""
"87","32","20","24","14","2","10","30","","","","","","","","",""
"88","32","20","24","14","2","10","30","","","","","","","","",""
"89","32","20","24","14","2","10","30","","","","","","","","",""
"90","32","20","24","14","2","10","30","","","","","","","","",""
"91","32","20","24","14","2","10","30","","","","","","","","",""
"92","32","20","24","14","2","10","30","","","","","","","","",""
"93","32","20","24","14","2","10","30","","","","","","","","",""
"94","32","20","24","14","2","10","30","","","","","","","","",""
"95","32","20","24","14","2","10","30","","","","","","","","",""
"96","32","20","24","14","2","10","30","","","","","","","","",""
"97","32","20","14","2","10","30","","","","","","","","","",""
"98","32","20","14","2","10","30","","","","","","","","","",""
"99","32","20","14","2","10","30","","","","","","","","","",""
"100","32","20","14","2","10","30","","","","","","","","","",""
"101","32","20","2","10","30","14","","","","","","","","","",""
"102","32","20","2","10","","","","","","","","","","","",""
"103","32","20","2","10","","","","","","","","","","","",""
"104","32","20","2","","","","","","","","","","","","",""
"105","32","20","","","","","","","","","","","","","",""
"106"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
