"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","2","26","34","4","6","28","14","30","16","8","18","10","12","20","22","24"
"2","34","26","2","4","28","30","14","16","6","8","10","24","22","20","18","12"
"3","26","34","2","4","30","14","16","6","8","22","10","20","24","","",""
"4","26","34","2","4","14","6","16","8","10","20","30","24","22","","",""
"5","26","34","2","4","14","6","16","8","10","20","30","24","","","",""
"6","26","34","2","6","14","8","10","20","24","16","30","","","","",""
"7","26","34","2","6","14","8","10","20","24","30","16","","","","",""
"8","26","34","2","6","14","8","10","20","24","30","16","","","","",""
"9","26","34","2","6","14","8","10","20","30","24","","","","","",""
"10","26","34","2","6","14","8","10","20","30","24","","","","","",""
"11","26","2","6","14","8","10","30","24","","","","","","","",""
"12","26","2","6","14","8","10","30","24","","","","","","","",""
"13","26","2","6","14","8","30","24","","","","","","","","",""
"14","26","2","6","14","8","30","24","","","","","","","","",""
"15","26","2","6","14","8","30","24","","","","","","","","",""
"16","26","2","6","14","8","30","24","","","","","","","","",""
"17","26","2","6","14","8","30","","","","","","","","","",""
"18","26","2","6","14","30","8","","","","","","","","","",""
"19"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
