"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","2","20","18","4","16","6","14","8","10","12"
"2","4","20","14","2","6","8","16","10","12",""
"3","20","4","14","2","6","16","8","10","12",""
"4","20","4","2","14","16","8","6","10","12",""
"5","20","4","2","16","14","6","8","10","12",""
"6","20","4","2","16","14","6","8","10","12",""
"7","20","4","2","16","14","6","8","10","12",""
"8","20","4","2","16","14","6","8","10","12",""
"9","20","2","4","16","14","6","8","10","12",""
"10","20","2","4","16","14","6","8","10","12",""
"11","2","20","4","14","16","6","8","10","12",""
"12","2","20","4","14","16","6","8","10","12",""
"13","2","20","4","14","16","6","8","10","12",""
"14","2","20","4","14","16","6","8","10","12",""
"15","2","20","4","14","16","6","8","10","12",""
"16","2","20","4","14","16","6","8","10","12",""
"17","2","20","4","14","16","6","8","10","12",""
"18","2","20","4","14","16","6","8","10","12",""
"19","2","20","14","4","16","6","8","10","12",""
"20","2","20","14","4","16","6","8","10","12",""
"21","2","20","14","4","16","6","8","10","12",""
"22","2","14","20","4","16","6","8","10","12",""
"23","2","14","20","4","16","6","8","10","12",""
"24","2","14","20","4","16","6","8","10","12",""
"25","2","14","20","4","16","6","8","10","12",""
"26","2","14","20","4","16","6","8","10","12",""
"27","2","14","20","4","16","6","8","10","12",""
"28","2","14","4","20","16","6","8","10","12",""
"29","2","14","4","20","16","6","8","10","12",""
"30","2","14","4","20","16","6","8","10","12",""
"31","2","14","4","20","16","6","8","10","12",""
"32","2","14","4","16","20","6","8","10","12",""
"33","2","14","4","16","20","6","8","10","12",""
"34","2","14","4","16","20","6","8","10","12",""
"35","2","14","4","16","20","6","8","10","12",""
"36","14","4","16","2","20","6","8","10","12",""
"37","14","4","16","2","20","6","8","10","12",""
"38","14","4","16","2","20","6","8","10","12",""
"39","14","4","16","2","20","6","8","10","12",""
"40","14","4","16","2","20","6","8","10","12",""
"41","14","4","16","2","20","6","8","10","12",""
"42","14","4","16","2","20","6","8","10","12",""
"43","14","4","16","2","20","6","8","10","12",""
"44","14","4","16","2","20","6","8","10","12",""
"45","14","4","16","2","20","6","8","10","12",""
"46","14","4","16","2","20","6","8","10","12",""
"47","14","4","16","2","20","6","8","10","12",""
"48","14","4","16","2","20","6","8","10","12",""
"49","14","4","16","2","20","6","8","10","12",""
"50","14","16","2","20","4","6","8","10","12",""
"51","14","16","2","20","4","6","8","10","12",""
"52","14","16","20","2","4","6","8","10","12",""
"53","14","16","20","2","4","6","8","10","12",""
"54","14","16","20","2","6","4","8","10","12",""
"55","14","16","20","2","6","4","8","10","12",""
"56","14","16","20","2","6","4","8","10","12",""
"57","14","16","20","2","6","4","8","10","12",""
"58","14","16","20","2","6","4","8","10","12",""
"59","14","16","20","2","6","4","8","10","12",""
"60","14","16","20","2","6","4","8","10","12",""
"61","14","16","20","2","6","4","8","10","12",""
"62","14","16","20","2","6","4","8","10","12",""
"63","14","16","20","2","6","4","8","10","12",""
"64","14","16","20","2","6","4","8","10","12",""
"65","14","16","20","2","6","4","8","10","12",""
"66","14","16","20","2","6","4","8","10","12",""
"67","14","16","20","2","4","6","8","10","12",""
"68","14","16","20","2","4","8","6","10","12",""
"69","14","16","20","2","4","8","6","10","12",""
"70","14","16","20","2","4","8","6","10","12",""
"71","14","16","20","2","4","8","6","10","12",""
"72","14","16","20","2","4","8","6","10","12",""
"73","14","16","20","2","4","8","6","10","",""
"74","14","16","20","2","4","8","6","10","",""
"75","14","16","20","2","4","8","6","10","",""
"76","14","16","20","2","4","8","6","10","",""
"77","14","16","20","2","4","8","6","","",""
"78","14","16","20","2","4","8","","","",""
"79","14","16","20","2","4","","","","",""
"80","14","16","20","2","","","","","",""
"81"," "," "," "," "," "," "," "," "," "," "
