"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","3","1","2","14","8","5","15","9","7","4","17","6","16","12","11","10","18"
"2","1","3","15","2","14","8","7","5","4","9","17","11","6","16","12","10","18"
"3","1","3","15","2","7","14","8","5","4","9","17","6","11","16","12","10","18"
"4","1","3","15","7","14","8","5","4","2","17","9","6","12","16","11","10","18"
"5","1","3","15","7","14","5","8","4","17","6","9","12","16","11","10","18","2"
"6","1","3","15","7","5","14","8","4","17","6","9","12","16","11","10","18","2"
"7","1","3","15","7","5","14","4","8","17","6","12","9","16","11","10","18","2"
"8","1","3","15","7","5","14","4","8","17","6","12","9","16","11","10","18","2"
"9","1","3","15","7","5","14","4","8","17","6","12","9","16","11","10","2","18"
"10","1","3","15","7","5","14","4","17","8","6","12","9","16","11","10","2","18"
"11","1","3","15","7","5","14","4","17","8","6","12","9","16","11","10","2","18"
"12","1","3","15","7","5","14","4","17","8","6","12","9","16","11","10","2","18"
"13","1","15","3","7","5","14","4","17","8","6","12","9","16","11","2","10","18"
"14","1","15","3","7","5","14","4","17","8","6","12","9","16","11","2","10","18"
"15","1","15","3","7","5","14","17","4","8","6","12","9","16","11","10","18",""
"16","1","15","3","7","14","5","17","4","8","6","12","9","16","11","10","18",""
"17","1","15","3","7","14","5","17","4","8","6","12","16","11","9","10","18",""
"18","1","15","3","7","14","5","17","4","8","6","16","11","9","10","18","",""
"19","1","15","3","7","14","5","17","4","8","6","16","11","9","10","18","",""
"20","1","15","3","7","14","5","17","4","8","6","16","11","9","10","18","",""
"21","1","15","3","7","14","5","17","4","8","6","16","11","9","10","18","",""
"22","1","15","3","14","7","5","17","4","8","6","16","11","9","10","18","",""
"23","1","15","3","14","7","5","17","4","8","6","11","9","10","18","16","",""
"24","1","15","3","14","7","5","17","4","8","6","11","9","10","18","16","",""
"25","1","15","3","14","7","5","17","4","6","8","11","9","10","18","16","",""
"26","1","15","3","14","7","5","17","4","6","8","11","9","10","18","16","",""
"27","1","15","3","14","7","5","17","4","6","8","11","9","10","18","16","",""
"28","1","15","3","14","7","5","17","6","4","8","11","9","10","18","16","",""
"29","1","15","3","14","7","5","17","6","4","8","11","9","10","18","16","",""
"30","1","15","3","14","7","5","17","6","4","8","11","9","10","18","16","",""
"31","1","15","3","14","7","5","17","6","4","8","11","9","10","18","16","",""
"32","1","15","3","14","7","5","17","6","4","8","9","11","10","18","16","",""
"33","1","15","3","14","7","5","17","6","4","8","9","11","10","18","16","",""
"34","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"35","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"36","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"37","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"38","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"39","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"40","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"41","1","15","3","14","7","5","17","6","8","9","11","10","18","16","","",""
"42","1","15","3","14","7","5","17","6","8","9","11","10","18","","","",""
"43","1","15","3","14","7","5","17","6","8","9","11","10","18","","","",""
"44","1","15","3","14","7","5","17","6","8","9","11","10","18","","","",""
"45","1","15","3","14","7","5","17","6","8","9","11","10","18","","","",""
"46","1","15","3","14","7","5","17","6","8","9","11","10","18","","","",""
"47","1","15","3","14","7","5","17","6","8","9","11","18","10","","","",""
"48","1","15","14","7","5","17","6","8","9","11","18","10","","","","",""
"49","1","15","14","7","5","17","6","8","9","11","10","18","","","","",""
"50","1","15","14","7","5","17","6","8","9","11","10","18","","","","",""
"51","1","15","14","7","5","17","6","8","9","11","18","10","","","","",""
"52","1","15","14","7","5","17","6","8","9","11","18","10","","","","",""
"53","1","15","14","7","5","17","6","8","9","11","18","10","","","","",""
"54","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"55","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"56","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"57","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"58","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"59","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"60","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"61","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"62","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"63","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"64","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"65","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"66","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"67","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"68","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"69","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"70","1","15","14","7","5","17","6","8","9","11","18","","","","","",""
"71","1","15","14","7","5","17","6","8","9","11","","","","","","",""
"72","1","15","14","7","5","17","6","8","9","11","","","","","","",""
"73","1","15","14","7","5","17","6","8","9","","","","","","","",""
"74","1","15","14","7","5","17","6","8","","","","","","","","",""
"75","1","15","14","7","5","","","","","","","","","","","",""
"76"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
