"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","4","2","16","42","10","8","18","34","14","12","12","40","22","36","20","32","38","28","30","24","26","6"
"2","4","16","2","8","10","34","42","14","18","12","22","38","20","36","32","40","28","24","6","30","26",""
"3","4","2","42","10","34","14","16","8","18","12","22","38","20","36","6","40","28","32","24","30","26",""
"4","4","2","42","10","34","16","8","14","18","12","22","38","6","20","40","36","28","24","32","30","26",""
"5","4","2","42","10","34","16","8","14","18","12","38","6","22","20","40","36","24","28","32","30","26",""
"6","4","2","10","34","16","8","14","18","6","12","38","22","36","20","40","24","28","42","30","32","26",""
"7","4","2","10","34","16","14","8","18","6","12","22","38","36","20","40","24","28","42","30","32","26",""
"8","4","2","10","34","16","14","8","18","6","12","22","38","36","40","20","24","42","28","30","32","",""
"9","4","2","10","34","16","14","8","6","18","12","22","38","36","40","24","20","42","28","30","32","",""
"10","4","2","10","8","34","16","14","6","18","12","22","38","36","40","42","20","24","28","30","32","",""
"11","4","10","8","34","14","6","18","16","12","22","38","42","36","40","24","20","30","32","","","",""
"12","4","10","8","34","14","6","18","16","22","12","38","42","36","24","20","40","32","30","","","",""
"13","4","34","8","14","10","6","18","16","22","38","12","42","36","24","20","40","32","30","","","",""
"14","4","34","8","14","6","16","18","22","38","42","12","36","24","20","40","32","30","10","","","",""
"15","4","34","8","14","6","16","18","22","42","38","12","36","24","20","40","32","30","10","","","",""
"16","4","34","8","14","6","16","18","22","42","38","12","36","24","20","40","32","30","10","","","",""
"17","4","14","34","8","6","16","18","42","22","38","12","36","24","40","20","32","30","10","","","",""
"18","4","14","34","8","6","16","18","42","22","38","12","36","24","40","20","32","30","","","","",""
"19","4","14","34","8","6","16","18","42","22","38","12","36","24","40","20","32","30","","","","",""
"20","4","14","34","8","6","16","18","42","22","38","12","36","24","40","20","32","30","","","","",""
"21","4","14","34","8","6","16","18","42","22","38","12","36","24","40","20","32","30","","","","",""
"22","4","14","8","34","6","16","18","42","22","38","36","24","20","40","12","32","30","","","","",""
"23","4","14","8","34","6","16","18","42","22","38","36","24","20","40","12","32","30","","","","",""
"24","4","14","8","34","6","16","18","42","22","38","36","24","20","40","12","32","30","","","","",""
"25","4","14","8","34","6","16","42","22","38","36","24","20","40","12","32","30","","","","","",""
"26","4","14","8","6","16","42","34","22","38","36","24","20","40","12","32","30","","","","","",""
"27","4","8","14","6","16","42","34","22","38","36","24","20","40","12","32","30","","","","","",""
"28","4","8","14","6","16","42","34","22","38","36","24","20","40","12","32","30","","","","","",""
"29","4","14","8","6","16","42","34","22","38","36","24","20","40","12","32","30","","","","","",""
"30","4","14","8","6","16","42","34","22","38","36","24","20","12","32","30","","","","","","",""
"31","4","8","14","6","16","42","34","22","38","36","24","20","12","32","30","","","","","","",""
"32","4","14","8","6","16","42","34","22","38","36","24","20","12","32","30","","","","","","",""
"33","4","8","14","6","16","42","34","22","38","36","24","20","12","32","30","","","","","","",""
"34","4","8","14","6","16","42","34","22","38","36","24","20","12","32","30","","","","","","",""
"35","4","14","8","6","16","42","34","22","38","36","20","12","32","30","","","","","","","",""
"36","4","8","14","6","16","42","34","22","38","36","32","12","30","20","","","","","","","",""
"37","4","8","14","6","16","42","34","22","38","36","32","30","20","","","","","","","","",""
"38","4","14","8","6","42","34","22","38","36","32","30","16","20","","","","","","","","",""
"39","4","8","14","6","42","34","22","38","36","32","30","16","","","","","","","","","",""
"40","4","8","14","6","42","34","22","38","36","32","30","16","","","","","","","","","",""
"41","4","8","6","42","34","14","22","38","36","32","30","16","","","","","","","","","",""
"42","4","8","6","42","34","14","22","38","36","32","30","16","","","","","","","","","",""
"43","4","8","6","42","34","22","38","36","32","30","","","","","","","","","","","",""
"44","4","8","6","42","34","22","36","38","32","30","","","","","","","","","","","",""
"45","4","8","6","42","34","22","36","38","32","30","","","","","","","","","","","",""
"46","4","8","6","42","34","22","36","38","32","30","","","","","","","","","","","",""
"47","4","8","6","42","34","22","36","38","32","","","","","","","","","","","","",""
"48","4","8","6","42","34","22","36","38","32","","","","","","","","","","","","",""
"49","4","8","6","34","42","22","36","38","","","","","","","","","","","","","",""
"50","4","8","6","34","42","22","36","","","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
