"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","24","8","26","2","30","4","10","14","6","12","22","28","44","32","34","16","20","38","18","42","40"
"2","24","2","10","8","26","6","4","14","12","32","22","34","28","16","44","18","20","40","38","30","42"
"3","24","2","26","10","8","14","4","6","34","12","28","22","32","44","16","18","20","30","38","40","42"
"4","24","2","10","26","8","14","4","6","34","12","28","22","32","44","16","18","30","20","38","40","42"
"5","24","10","2","26","14","8","4","6","34","28","12","32","22","44","30","16","18","20","42","38","40"
"6","24","10","14","8","2","26","4","6","28","32","34","22","12","30","44","18","20","16","42","38","40"
"7","24","14","10","8","2","26","6","4","28","22","32","12","30","34","44","18","20","16","42","38","40"
"8","24","14","8","10","2","26","6","28","22","30","12","32","44","20","18","16","42","38","34","40",""
"9","24","14","8","2","10","26","28","22","6","30","12","44","18","16","42","38","34","40","","",""
"10","24","14","8","2","26","28","22","30","6","12","44","18","16","42","38","34","40","","","",""
"11","24","14","8","2","26","28","30","22","6","12","44","18","16","38","42","34","40","","","",""
"12","24","14","8","2","26","30","28","22","6","12","44","18","38","16","42","34","40","","","",""
"13","24","14","8","26","2","30","28","22","44","12","18","38","6","16","42","34","40","","","",""
"14","24","14","8","26","2","30","28","22","44","12","18","38","6","16","42","34","40","","","",""
"15","24","14","8","26","2","30","28","22","12","44","38","6","16","42","34","40","","","","",""
"16","24","14","8","26","2","30","28","22","44","12","6","38","16","42","40","","","","","",""
"17","24","14","8","26","2","30","28","22","44","12","6","38","16","42","40","","","","","",""
"18","24","14","8","2","26","30","28","22","44","12","6","16","38","42","40","","","","","",""
"19","24","14","8","2","26","30","28","22","12","44","6","16","38","42","40","","","","","",""
"20","24","14","8","2","26","30","28","22","12","44","6","38","16","42","40","","","","","",""
"21","24","8","26","2","30","22","12","44","6","38","14","16","42","40","","","","","","",""
"22","24","8","26","2","30","22","12","44","6","38","14","42","40","","","","","","","",""
"23","24","8","26","2","30","22","12","44","6","38","14","42","40","","","","","","","",""
"24","24","8","26","30","2","22","12","44","6","38","14","42","40","","","","","","","",""
"25","24","8","30","26","2","22","12","44","6","38","14","40","42","","","","","","","",""
"26","24","8","26","30","2","22","12","44","6","38","14","40","42","","","","","","","",""
"27","24","26","8","30","2","22","12","44","6","38","14","40","42","","","","","","","",""
"28","24","26","8","30","2","22","12","44","6","38","14","40","42","","","","","","","",""
"29","24","26","8","30","2","22","12","44","6","14","40","42","38","","","","","","","",""
"30","24","26","8","30","2","22","12","44","6","14","40","42","38","","","","","","","",""
"31","24","26","8","2","30","22","12","44","6","14","40","42","38","","","","","","","",""
"32","24","26","8","2","22","30","12","44","6","14","40","42","38","","","","","","","",""
"33","24","26","8","2","22","12","44","6","14","40","42","38","","","","","","","","",""
"34","24","26","8","2","22","12","44","6","14","40","42","38","","","","","","","","",""
"35","24","26","8","2","22","12","44","6","14","40","42","38","","","","","","","","",""
"36","24","26","8","2","22","12","44","6","14","40","42","38","","","","","","","","",""
"37","24","26","8","2","22","12","44","6","14","40","42","38","","","","","","","","",""
"38","24","26","8","2","22","12","44","6","40","42","38","","","","","","","","","",""
"39","24","26","2","8","22","12","44","6","40","42","38","","","","","","","","","",""
"40","24","26","2","8","22","12","44","6","40","42","38","","","","","","","","","",""
"41","24","26","2","8","22","12","44","6","40","42","38","","","","","","","","","",""
"42","24","26","2","8","22","12","44","6","40","","","","","","","","","","","",""
"43","24","26","2","8","12","22","44","6","","","","","","","","","","","","",""
"44","24","26","8","12","22","44","6","","","","","","","","","","","","","",""
"45","24","26","8","12","22","44","6","","","","","","","","","","","","","",""
"46","24","26","8","12","22","44","6","","","","","","","","","","","","","",""
"47","24","26","8","12","22","44","6","","","","","","","","","","","","","",""
"48","24","26","8","22","12","44","6","","","","","","","","","","","","","",""
"49","24","26","8","22","12","44","","","","","","","","","","","","","","",""
"50","24","26","8","22","12","44","","","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
