"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","14","30","12","36","32","38","2","34","8","18","6","10","22","16","20","4","42","24","40","26","28"
"2","14","12","32","36","2","38","20","34","8","18","24","6","40","42","4","26","28","22","16","10",""
"3","32","14","36","12","38","2","20","34","8","24","6","40","4","42","26","22","28","16","10","",""
"4","32","14","36","12","2","38","20","34","8","24","6","4","40","42","26","28","16","10","22","",""
"5","14","32","36","12","38","2","34","20","8","24","6","4","40","42","26","28","16","10","22","",""
"6","32","14","36","12","34","38","2","8","6","24","4","40","42","26","28","16","10","20","22","",""
"7","32","36","14","12","34","38","8","6","2","24","4","40","42","26","16","28","10","20","22","",""
"8","32","14","36","12","34","38","8","6","2","24","4","40","42","26","16","28","10","20","22","",""
"9","32","14","36","12","34","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"10","32","14","36","12","34","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"11","32","14","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"12","32","14","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"13","32","14","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"14","32","14","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"15","32","14","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","20","22","",""
"16","14","32","36","34","12","8","38","6","2","24","4","40","42","26","16","28","10","22","","",""
"17","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","22","","",""
"18","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","22","","",""
"19","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","22","","",""
"20","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","","","",""
"21","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","","","",""
"22","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","","","",""
"23","32","14","36","34","12","8","38","6","2","24","40","42","26","16","28","10","4","","","",""
"24","32","14","36","34","12","38","6","2","24","40","42","26","16","28","10","4","","","","",""
"25","32","14","36","34","12","38","6","2","24","40","42","26","16","10","28","4","","","","",""
"26","32","14","36","34","12","38","6","2","24","40","42","16","26","10","28","4","","","","",""
"27","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"28","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"29","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"30","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"31","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"32","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"33","32","14","36","34","12","38","6","2","24","40","42","16","26","10","4","28","","","","",""
"34","14","36","34","32","12","38","6","24","2","40","42","16","26","10","4","28","","","","",""
"35","14","34","32","12","38","36","6","24","2","40","16","26","4","42","10","28","","","","",""
"36","14","34","32","12","38","36","6","24","2","40","16","26","42","10","4","28","","","","",""
"37","14","32","12","38","36","34","6","24","2","40","16","26","42","10","4","28","","","","",""
"38","14","32","12","38","36","34","6","24","2","40","16","26","42","10","4","28","","","","",""
"39","14","32","12","36","34","6","24","38","2","40","16","26","42","10","4","28","","","","",""
"40","14","32","12","36","34","6","24","2","38","40","16","26","10","42","4","28","","","","",""
"41","14","32","12","36","34","6","24","2","38","40","16","26","10","42","4","28","","","","",""
"42","14","32","12","36","34","6","24","2","38","16","26","40","10","42","4","28","","","","",""
"43","14","32","12","36","34","6","24","2","38","16","26","40","10","42","4","28","","","","",""
"44","14","32","12","36","34","6","24","38","2","16","26","40","10","42","4","28","","","","",""
"45","14","32","12","36","34","6","24","38","2","16","26","40","10","42","4","28","","","","",""
"46","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"47","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"48","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"49","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"50","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"51","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"52","14","32","12","36","34","6","38","2","16","26","40","10","42","4","28","","","","","",""
"53","14","32","12","36","34","38","6","16","2","26","40","10","42","4","28","","","","","",""
"54","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"55","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"56","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"57","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"58","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"59","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"60","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"61","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"62","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"63","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"64","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"65","14","32","12","36","34","38","6","2","16","26","40","10","42","4","28","","","","","",""
"66","14","32","12","36","34","38","6","2","16","26","40","10","42","4","","","","","","",""
"67","14","32","12","36","34","38","6","2","16","26","40","10","4","42","","","","","","",""
"68","14","32","12","36","34","38","6","2","16","26","40","10","4","42","","","","","","",""
"69","14","32","12","36","34","38","2","6","16","26","40","10","","","","","","","","",""
"70","14","32","12","36","34","38","2","6","16","26","","","","","","","","","","",""
"71","14","32","12","36","34","38","2","6","16","26","","","","","","","","","","",""
"72","14","32","12","36","34","38","","","","","","","","","","","","","","",""
"73"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
