"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","36","20","42","40","30","26","24","38","34","18","32","6","16","22","46","2","4","8","14","10","44","12"
"2","20","40","42","26","18","32","6","36","16","38","30","24","22","46","34","8","2","14","12","4","10","44"
"3","40","42","26","36","18","20","32","6","16","30","38","24","22","46","8","34","2","4","14","12","44","10"
"4","40","42","36","26","18","20","6","32","16","30","38","24","22","46","8","4","34","2","14","12","10","44"
"5","40","42","36","18","26","20","6","32","16","30","38","24","22","46","4","8","34","2","14","12","44","10"
"6","40","42","36","18","20","26","6","16","30","32","24","38","22","46","4","8","34","2","14","12","44","10"
"7","40","42","36","18","20","26","6","16","30","24","38","32","22","46","4","34","8","2","14","12","44","10"
"8","40","42","36","18","20","26","6","16","24","30","38","22","32","46","34","8","2","4","14","12","44","10"
"9","40","42","36","18","20","26","6","16","24","30","38","32","46","34","8","2","4","14","12","44","10","22"
"10","40","42","36","18","20","26","6","16","24","30","38","32","34","8","2","4","14","12","44","46","10","22"
"11","40","36","42","18","20","26","6","16","24","30","38","32","34","8","2","4","14","12","44","46","10","22"
"12","40","36","42","18","20","26","6","16","24","30","38","32","34","2","4","14","12","44","46","10","22",""
"13","40","36","42","18","20","26","6","16","24","30","38","32","34","2","4","14","12","44","46","10","22",""
"14","40","36","42","18","20","26","6","16","24","30","38","32","34","2","4","14","12","46","44","10","22",""
"15","40","36","42","20","18","26","6","16","24","30","38","32","34","2","4","14","46","12","44","22","10",""
"16","40","36","42","20","18","26","6","16","24","30","38","32","34","2","4","46","14","12","44","22","10",""
"17","36","40","42","20","18","26","6","16","24","30","38","32","34","2","4","46","14","12","44","22","10",""
"18","36","40","42","20","18","26","6","16","24","30","38","32","34","2","4","46","14","44","22","10","",""
"19","36","40","20","42","18","26","6","16","24","30","38","32","34","2","4","46","14","44","22","10","",""
"20","36","40","20","42","18","26","6","16","24","30","38","32","34","2","4","46","14","44","22","10","",""
"21","36","40","20","42","18","26","6","16","24","30","38","32","34","2","4","46","14","22","44","10","",""
"22","40","36","20","42","18","26","6","16","24","30","38","32","34","2","4","46","14","22","10","44","",""
"23","40","36","20","42","18","26","6","16","24","38","30","32","34","2","4","46","14","22","10","44","",""
"24","40","36","20","42","18","26","6","16","24","38","30","34","32","2","4","46","14","22","10","44","",""
"25","40","36","20","42","18","26","6","16","24","38","30","32","34","2","46","4","14","22","10","","",""
"26","40","36","20","42","18","26","6","16","24","38","30","32","34","2","4","14","46","10","","","",""
"27","40","36","20","42","18","26","16","24","38","30","6","32","34","2","4","14","46","10","","","",""
"28","40","36","20","42","18","26","16","24","38","30","6","32","34","2","4","14","46","10","","","",""
"29","40","36","20","42","18","26","16","24","38","30","6","32","34","2","4","46","14","10","","","",""
"30","40","36","20","42","18","26","16","24","38","30","6","32","34","2","4","46","14","10","","","",""
"31","40","36","20","42","18","26","16","24","38","30","6","32","34","4","2","46","14","10","","","",""
"32","40","36","20","42","18","26","16","24","38","30","34","32","6","4","2","46","14","10","","","",""
"33","40","36","20","42","18","26","16","24","38","30","34","32","6","4","2","46","14","10","","","",""
