"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","2","38","24","34","10","6","14","36","18","26","8","22","4","32","28","16","30"
"2","2","34","24","10","14","6","4","38","36","22","26","8","16","32","18","30","28"
"3","2","14","24","6","34","10","4","38","36","26","22","8","32","16","18","30",""
"4","2","14","24","10","6","34","4","36","26","22","32","8","16","18","30","",""
"5","2","24","14","10","34","4","6","36","26","22","32","16","8","18","30","",""
"6","2","24","14","10","4","34","6","26","36","22","32","16","18","30","","",""
"7","2","24","4","10","6","34","14","26","36","22","32","16","18","30","","",""
"8","2","24","4","10","34","6","26","36","22","18","16","32","14","30","","",""
"9","2","24","4","10","34","6","26","36","22","18","16","14","32","30","","",""
"10","2","24","10","34","6","4","26","36","22","14","18","16","32","30","","",""
"11","2","24","10","34","6","4","26","36","22","14","18","16","32","30","","",""
"12","2","24","34","10","6","4","26","36","22","14","18","16","32","30","","",""
"13","2","24","34","10","6","4","26","36","22","14","18","16","32","30","","",""
"14","2","24","34","10","4","6","26","36","22","14","18","16","32","30","","",""
"15","2","24","34","10","4","26","36","22","16","18","6","30","32","","","",""
"16","2","24","34","10","4","36","26","22","16","18","30","32","","","","",""
"17","2","24","34","10","4","36","22","26","16","18","30","32","","","","",""
"18","2","24","34","10","4","22","36","26","16","18","32","","","","","",""
"19","2","24","34","10","4","22","36","26","16","18","32","","","","","",""
"20","2","24","34","10","4","36","22","26","16","18","32","","","","","",""
"21","2","24","34","10","4","22","16","26","18","32","","","","","","",""
"22","2","24","34","10","4","22","16","26","18","32","","","","","","",""
"23","2","24","10","34","4","22","16","26","18","32","","","","","","",""
"24","2","24","10","34","4","22","16","18","32","","","","","","","",""
"25","2","24","10","34","4","16","18","22","32","","","","","","","",""
"26","2","24","34","10","4","18","32","","","","","","","","","",""
"27","2","24","34","10","4","18","32","","","","","","","","","",""
"28","2","24","10","34","4","18","32","","","","","","","","","",""
"29","2","24","10","34","4","18","32","","","","","","","","","",""
"30","2","10","34","4","24","18","","","","","","","","","","",""
"31","2","10","34","4","24","18","","","","","","","","","","",""
"32","2","10","34","4","24","18","","","","","","","","","","",""
"33","2","10","34","4","24","18","","","","","","","","","","",""
"34","2","10","34","4","24","18","","","","","","","","","","",""
"35","2","10","34","4","24","18","","","","","","","","","","",""
"36","2","10","4","34","24","","","","","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
