"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","16","2","12","20","4","10","18","8","44","24","6","46","14","22","48","36","40","38","30","42"
"2","16","2","4","10","8","20","6","44","18","22","40","14","46","42","24","30","48","36","",""
"3","16","4","2","20","8","44","10","6","18","14","22","40","46","24","42","30","48","36","",""
"4","16","2","4","20","8","44","6","18","10","14","22","40","46","24","42","48","30","36","",""
"5","2","16","4","20","8","44","18","6","10","22","40","46","14","24","48","30","42","36","",""
"6","16","2","4","20","8","44","18","10","6","22","40","46","24","48","36","30","42","14","",""
"7","2","16","4","20","8","44","18","10","6","40","46","22","24","48","36","30","42","14","",""
"8","16","2","4","20","8","44","18","10","6","40","46","22","24","48","36","30","42","14","",""
"9","2","16","4","20","8","44","18","10","6","40","22","46","24","48","36","30","42","","",""
"10","16","2","4","20","8","44","18","10","6","40","22","24","46","48","36","30","42","","",""
"11","16","2","4","20","8","44","18","10","6","40","22","46","24","48","36","30","42","","",""
"12","2","16","4","20","8","44","18","10","6","40","46","22","24","48","36","30","42","","",""
"13","16","2","4","20","44","8","18","10","6","24","46","40","22","48","36","30","42","","",""
"14","2","16","4","20","44","18","10","6","24","40","46","22","8","48","36","30","42","","",""
"15","16","2","4","20","44","18","10","6","24","46","40","22","8","48","36","30","42","","",""
"16","2","16","4","20","44","18","10","24","46","40","22","8","48","36","30","42","","","",""
"17","2","16","4","20","44","18","10","24","46","40","22","8","48","36","30","42","","","",""
"18","2","16","4","44","20","18","10","24","46","22","40","8","48","36","42","","","","",""
"19","16","2","4","44","20","18","46","24","22","40","8","36","48","42","","","","","",""
"20","16","2","4","44","20","18","46","24","22","40","8","48","42","","","","","","",""
"21","16","4","2","20","44","18","46","24","22","8","48","40","42","","","","","","",""
"22","16","4","2","44","18","20","46","24","22","8","48","40","42","","","","","","",""
"23","16","4","2","44","20","18","46","24","22","8","48","40","42","","","","","","",""
"24","16","2","4","44","18","20","46","24","22","48","40","42","","","","","","","",""
"25","16","2","4","44","20","18","46","24","22","48","40","42","","","","","","","",""
"26","16","2","4","44","20","18","46","24","22","48","40","42","","","","","","","",""
"27","16","2","4","44","18","20","46","24","22","48","40","42","","","","","","","",""
"28","16","2","4","44","20","18","46","24","22","48","40","42","","","","","","","",""
"29","16","4","2","44","20","18","46","24","22","48","40","42","","","","","","","",""
"30","16","4","2","44","20","18","46","24","22","48","40","42","","","","","","","",""
"31","16","4","20","44","18","46","24","22","48","40","42","","","","","","","","",""
"32","16","20","44","18","46","24","22","48","40","42","","","","","","","","","",""
"33","16","44","20","18","46","24","22","48","40","42","","","","","","","","","",""
"34","16","44","20","18","46","24","22","48","40","42","","","","","","","","","",""
"35","16","44","18","20","46","24","22","48","40","42","","","","","","","","","",""
"36","16","44","18","46","24","22","48","20","40","42","","","","","","","","","",""
"37","16","44","18","46","24","22","48","20","40","42","","","","","","","","","",""
"38","16","44","18","46","24","22","48","20","40","","","","","","","","","","",""
"39","16","44","18","46","24","22","48","20","","","","","","","","","","","",""
"40","16","44","18","46","24","22","48","20","","","","","","","","","","","",""
"41","16","44","18","46","24","22","48","20","","","","","","","","","","","",""
"42","16","44","18","46","24","22","20","","","","","","","","","","","","",""
"43","16","44","18","46","24","22","20","","","","","","","","","","","","",""
"44","16","44","18","46","24","22","20","","","","","","","","","","","","",""
"45","16","44","18","46","22","24","","","","","","","","","","","","","",""
"46","16","44","18","46","22","24","","","","","","","","","","","","","",""
"47","16","44","18","46","22","24","","","","","","","","","","","","","",""
"48","16","44","18","46","22","24","","","","","","","","","","","","","",""
"49","16","44","18","46","24","22","","","","","","","","","","","","","",""
"50","16","44","18","46","24","22","","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
