"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","20","18","16","2","36","22","6","4","34","26","8","24","10","28","12","30"
"2","18","20","36","6","16","26","24","22","4","2","34","12","10","28","30",""
"3","18","20","36","6","16","22","26","24","4","2","34","12","10","28","30",""
"4","18","20","36","6","16","22","4","26","24","2","34","12","10","28","30",""
"5","18","20","16","22","4","6","26","24","2","34","12","10","28","36","30",""
"6","18","20","16","22","4","6","2","26","24","34","12","10","28","36","30",""
"7","18","20","4","16","22","2","6","26","24","34","12","10","28","36","30",""
"8","18","20","2","4","16","22","6","26","24","34","12","10","28","36","30",""
"9","18","20","2","16","22","4","6","26","24","34","12","10","28","36","30",""
"10","18","20","2","16","22","4","6","26","24","34","12","10","28","36","30",""
"11","18","20","2","16","22","4","6","34","26","24","12","10","28","36","30",""
"12","18","20","2","16","22","4","6","34","26","24","12","10","28","36","30",""
"13","18","20","2","16","22","4","6","34","26","24","12","10","28","36","30",""
"14","18","20","2","16","22","4","6","34","26","24","12","10","28","36","30",""
"15","18","20","2","16","22","4","6","34","26","24","12","10","36","28","30",""
"16","18","20","2","16","22","4","6","34","26","24","12","36","10","28","30",""
"17","18","20","2","16","4","22","6","34","26","24","12","36","10","28","30",""
"18","20","18","2","4","16","22","6","34","26","24","12","36","10","28","30",""
"19","18","20","2","4","16","22","6","34","26","24","12","36","10","28","30",""
"20","18","20","2","4","16","22","6","34","26","24","12","36","10","28","30",""
"21","18","20","2","4","16","22","6","34","24","26","36","12","10","28","30",""
"22","18","20","2","4","22","6","34","24","26","16","36","12","10","28","30",""
"23","18","20","4","22","6","24","26","16","2","36","12","34","10","28","30",""
"24","18","20","22","6","24","26","16","2","36","4","12","34","10","28","30",""
"25","18","20","22","6","24","16","26","2","36","4","12","34","10","28","30",""
"26","18","20","22","6","16","24","26","2","4","12","36","34","10","28","",""
"27","20","18","22","16","6","24","26","2","4","12","36","34","10","28","",""
"28","20","18","22","16","6","2","24","26","4","12","34","10","28","","",""
"29","20","18","22","16","6","2","24","26","12","34","10","28","","","",""
"30","20","18","16","22","6","2","24","26","12","34","10","28","","","",""
"31","20","18","16","22","6","2","24","26","12","34","10","28","","","",""
"32","20","18","16","22","6","2","24","26","12","34","10","28","","","",""
"33","20","18","16","22","6","2","24","26","12","34","10","28","","","",""
"34","20","18","16","22","6","2","24","26","12","10","28","","","","",""
"35","20","18","16","22","2","6","24","26","12","10","28","","","","",""
"36","20","18","16","22","2","6","24","26","12","10","28","","","","",""
"37","20","18","16","22","2","6","24","26","12","10","28","","","","",""
"38","20","18","16","22","2","6","24","26","12","10","28","","","","",""
"39","20","18","16","22","2","6","24","26","12","10","28","","","","",""
"40","20","18","16","2","22","6","24","26","12","10","28","","","","",""
"41","20","18","16","2","22","6","24","26","12","10","28","","","","",""
"42","20","18","16","2","22","6","24","26","12","10","28","","","","",""
"43","20","18","16","2","22","24","26","12","10","","","","","","",""
"44","20","18","16","2","22","24","26","12","10","","","","","","",""
"45","20","18","16","2","22","24","26","12","10","","","","","","",""
"46","20","18","16","2","22","24","26","12","","","","","","","",""
"47","20","18","16","2","22","24","26","","","","","","","","",""
"48","20","18","16","2","22","26","24","","","","","","","","",""
"49","20","18","16","2","22","","","","","","","","","","",""
"50","20","18","16","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
