"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","5","2","16","15","12","11","10","7","6","3","17","24","9","8","14","26","21","23","18","25","4","20","19"
"2","2","5","16","10","15","12","11","3","6","8","24","14","21","17","4","25","18","7","9","19","20","26","23"
"3","2","5","16","10","15","12","11","3","6","24","8","14","17","21","9","25","4","7","26","23","20","18","19"
"4","2","5","16","15","10","11","12","6","3","24","8","14","17","21","9","25","7","23","4","26","20","18","19"
"5","2","5","16","15","10","6","3","24","17","8","14","9","21","23","25","7","4","26","20","19","18","12",""
"6","5","16","15","10","2","6","3","24","17","9","21","23","8","14","25","7","26","4","20","19","18","12",""
"7","5","16","15","10","6","3","17","2","24","9","23","21","14","25","26","7","4","20","19","8","18","12",""
"8","5","16","15","10","3","17","2","24","9","23","21","14","25","7","26","4","20","19","8","18","12","",""
"9","5","15","16","10","3","17","2","24","9","23","14","21","25","7","26","4","20","19","8","18","12","",""
"10","5","15","16","10","3","17","24","9","23","14","21","7","25","26","4","20","19","2","8","12","18","",""
"11","5","15","16","10","3","17","24","9","23","14","21","7","26","25","4","20","19","2","8","12","18","",""
"12","5","15","16","10","3","17","24","9","23","14","21","7","26","25","4","20","2","19","8","12","18","",""
"13","5","16","15","10","3","17","24","9","23","14","21","7","26","25","20","2","19","8","12","18","","",""
"14","5","16","15","10","3","17","24","9","23","14","7","21","26","25","2","20","19","8","12","18","","",""
"15","5","16","15","10","3","17","24","9","23","14","21","7","26","25","2","20","19","8","12","18","","",""
"16","5","16","15","10","3","17","24","9","23","14","21","7","26","25","2","20","19","8","12","18","","",""
"17","5","16","15","10","3","17","24","9","23","14","21","7","26","25","2","20","19","8","12","18","","",""
"18","5","16","15","10","3","17","24","9","23","14","21","7","26","25","2","20","8","12","18","19","","",""
"19","5","16","15","10","3","17","24","9","23","14","21","26","7","25","2","20","8","12","18","19","","",""
"20","5","15","10","3","17","24","9","23","14","21","26","7","25","2","20","8","12","18","19","","","",""
"21","5","15","10","3","17","24","9","23","14","21","26","7","2","25","20","8","12","18","19","","","",""
"22","5","15","10","3","17","24","9","23","14","26","2","7","25","20","8","12","18","19","","","","",""
"23","5","15","10","3","17","24","9","23","14","26","2","7","25","20","8","12","18","19","","","","",""
"24","5","15","10","3","17","24","9","23","14","2","26","7","25","20","8","12","18","19","","","","",""
"25","5","15","10","3","17","24","9","23","14","2","26","7","25","20","8","12","18","19","","","","",""
"26","5","15","10","3","17","24","9","23","14","2","26","7","25","20","8","12","18","19","","","","",""
"27","5","15","10","3","17","24","9","23","14","2","26","7","20","25","8","12","18","19","","","","",""
"28","5","15","10","3","17","24","9","23","14","2","26","7","20","25","8","12","18","19","","","","",""
