"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","4","Stirling Moss","Great Britain","Officine Alfieri Maserati","","1:42.600","","","","","","argentine-grand-prix",1957
"2","2","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","","1:43.700","+ 1.100","+ 1.100","","","","argentine-grand-prix",1957
"3","3","6","Jean Behra","France","Officine Alfieri Maserati","","1:44.000","+ 1.400","+ 0.300","","","","argentine-grand-prix",1957
"4","4","14","Eugenio Castellotti","Italy","Scuderia Ferrari","","1:44.200","+ 1.600","+ 0.200","","","","argentine-grand-prix",1957
"5","5","10","Peter Collins","Great Britain","Scuderia Ferrari","","1:44.600","+ 2.000","+ 0.400","","","","argentine-grand-prix",1957
"6","6","12","Luigi Musso","Italy","Scuderia Ferrari","","1:44.800","+ 2.200","+ 0.200","","","","argentine-grand-prix",1957
"7","7","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:44.800","+ 2.200","+ 0.200","","","","argentine-grand-prix",1957
"8","8","8","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","","1:45.100","+ 2.500","+ 0.300","","","","argentine-grand-prix",1957
"9","9","22","Harry Schell","USA","Scuderia Centro Sud","","1:46.400","+ 3.800","+ 1.300","","","","argentine-grand-prix",1957
"10","10","20","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","1:46.800","+ 4.200","+ 0.400","","","","argentine-grand-prix",1957
"11","11","18","Cesare Perdisa","Italy","Scuderia Ferrari","","1:48.600","+ 6.000","+ 1.800","","","","argentine-grand-prix",1957
"12","12","26","Alessandro de Tomaso","Argentina","Scuderia Centro Sud","","1:56.100","+ 13.500","+ 7.500","","","","argentine-grand-prix",1957
"13","13","24","Jo Bonnier","Sweden","Scuderia Centro Sud","","1:58.200","+ 15.600","+ 2.100","","","","argentine-grand-prix",1957
"14","14","28","Luigi Piotti","Italy","L Piotti","","1:58.200","+ 15.600","+ 2.100","","","","argentine-grand-prix",1957
"15","1","12","Pat O'Connor","USA","Chapman S Root","","4:10.090","+ 1.500","+ 1.500","","","","indianapolis-500",1957
"16","2","88","Eddie Sachs","USA","Peter Schmidt","","4:10.310","+ 0.220","+ 0.220","","","","indianapolis-500",1957
"17","3","52","Troy Ruttman","USA","John Zink","","4:12.150","+ 2.060","+ 1.840","","","","indianapolis-500",1957
"18","4","14","Fred Agabashian","USA","George Bignotti","","4:12.530","+ 2.440","+ 0.380","","","","indianapolis-500",1957
"19","5","6","Johnny Boyd","USA","George Bignotti","","4:13.340","+ 3.250","+ 0.810","","","","indianapolis-500",1957
"20","6","5","Jimmy Reece","USA","Fred & Richard Sommer","","4:13.510","+ 3.420","+ 0.170","","","","indianapolis-500",1957
"21","7","83","Ed Elisian","USA","Kalamazoo Sports Inc","","4:13.920","+ 3.830","+ 0.410","","","","indianapolis-500",1957
"22","8","16","Al Keller","USA","Pat Clancy","","4:14.600","+ 4.510","+ 0.680","","","","indianapolis-500",1957
"23","9","23","Elmer George","USA","Ernest L Ruiz","","4:15.810","+ 5.720","+ 1.210","","","","indianapolis-500",1957
"24","10","54","Paul Russo","USA","Novi Racing Corp","","4:08.590","","","","","","indianapolis-500",1957
"25","11","10","Johnny Thomson","USA","Racing Associates","","4:10.820","+ 0.730","+ 2.230","","","","indianapolis-500",1957
"26","12","73","Andy Linden","USA","Kalamazoo Sports Inc","","4:11.320","+ 1.230","+ 0.500","","","","indianapolis-500",1957
"27","13","9","Sam Hanks","USA","George Salih","","4:12.080","+ 1.990","+ 0.760","","","","indianapolis-500",1957
"28","14","22","Gene Hartley","USA","Joseph Massaglia Jr","","4:14.830","+ 4.740","+ 2.750","","","","indianapolis-500",1957
"29","15","1","Jimmy Bryan","USA","A E Dean","","4:14.980","+ 4.890","+ 0.150","","","","indianapolis-500",1957
"30","16","7","Bob Veith","USA","Bob Estes","","4:15.290","+ 5.200","+ 0.310","","","","indianapolis-500",1957
"31","17","18","Johnnie Parsons","USA","Chapman S Root","","4:15.710","+ 5.620","+ 0.420","","","","indianapolis-500",1957
"32","18","77","Mike Magill","USA","George Walther Jr","","4:16.390","+ 6.300","+ 0.680","","","","indianapolis-500",1957
"33","19","19","Jack Turner","USA","Pat Clancy","","4:16.470","+ 6.380","+ 0.080","","","","indianapolis-500",1957
"34","20","43","Eddie Johnson","USA","H A Chapman","","4:16.830","+ 6.740","+ 0.360","","","","indianapolis-500",1957
"35","21","3","Don Freeland","USA","Ansted Rotary Corp","","4:17.790","+ 7.700","+ 0.960","","","","indianapolis-500",1957
"36","22","27","Tony Bettenhausen","USA","Novi Racing Corp","","4:12.740","+ 2.650","+ 0.210","","","","indianapolis-500",1957
"37","23","31","Bill Cheesbourg","USA","J S Donaldson","","4:14.300","+ 4.210","+ 1.560","","","","indianapolis-500",1957
"38","24","8","Rodger Ward","USA","Roger Wolcott","","4:14.740","+ 4.650","+ 0.440","","","","indianapolis-500",1957
"39","25","82","Chuck Weyant","USA","Pete Salemi","","4:15.130","+ 5.040","+ 0.390","","","","indianapolis-500",1957
"40","26","55","Eddie Russo","USA","Fred Sclavi","","4:15.570","+ 5.480","+ 0.440","","","","indianapolis-500",1957
"41","27","92","Don Edmunds","USA","Roy McKay","","4:16.320","+ 6.230","+ 0.750","","","","indianapolis-500",1957
"42","28","48","Marshall Teague","USA","Chapman S Root","","4:16.540","+ 6.450","+ 0.220","","","","indianapolis-500",1957
"43","29","57","Jimmy Daywalt","USA","H H Johnson","","4:16.770","+ 6.680","+ 0.230","","","","indianapolis-500",1957
"44","30","89","Al Herman","USA","Harry Dunn","","4:17.130","+ 7.040","+ 0.360","","","","indianapolis-500",1957
"45","31","28","Johnnie Tolan","USA","Lysle Greenman","","4:17.430","+ 7.340","+ 0.300","","","","indianapolis-500",1957
"46","32","26","Jim Rathmann","USA","Lindsey Hopkins","","4:17.500","+ 7.410","+ 0.070","","","","indianapolis-500",1957
"47","33","95","Bob Christie","USA","Cars Inc","","4:17.550","+ 7.460","+ 0.050","","","","indianapolis-500",1957
"48","1","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","","2:21.500","","","","","","french-grand-prix",1957
