"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","1","Jimmy Bryan","USA","George Salih","200","3:44:13.800","","","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"2","2","99","George Amick","USA","Norman C Demler","200","3:44:41.430","+ 27.630","+ 27.630","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"3","3","9","Johnny Boyd","USA","Robert M Bowes II","200","3:45:23.470","+ 1:09.670","+ 42.040","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"4","4","33","Tony Bettenhausen","USA","Cars Inc","200","3:45:48.610","+ 1:34.810","+ 25.140","","1:02.370","55","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"5","5","2","Jim Rathmann","USA","Lindsey Hopkins","200","3:45:49.420","+ 1:35.620","+ 0.810","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"6","6","16","Jimmy Reece","USA","John Zink","200","3:46:30.750","+ 2:16.950","+ 41.330","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"7","7","26","Don Freeland","USA","Bob Estes","200","3:46:34.860","+ 2:21.060","+ 4.110","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"8","8","44","Jud Larson","USA","John Zink","200","3:49:47.820","+ 5:34.020","+ 3:12.960","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"9","9","61","Eddie Johnson","USA","J S Donaldson","200","3:50:29.560","+ 6:15.760","+ 41.740","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"10","10","54","Bill Cheesbourg","USA","Novi Racing Corp","200","3:52:17.390","+ 8:03.590","+ 1:47.830","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"11","11","52","Al Keller","USA","Pat Clancy","200","3:53:28.000","+ 9:14.200","+ 1:10.610","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"12","12","45","Johnnie Parsons","USA","Fred Gerhardt","200","3:53:54.650","+ 9:40.850","+ 26.650","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"13","13","19","Johnnie Tolan","USA","Lysle Greenman","200","3:54:06.040","+ 9:52.240","+ 11.390","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"14","17","77","Mike Magill","USA","George Walther Jr","136","","64 Laps","12 Laps","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"15","DNF","65","Bob Christie","USA","Federal Auto Associates","189","","","","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"16","DNF","59","Dempsey Wilson","USA","Bob Sorenson","151","","","","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"17","DNF","29","A.J. Foyt","USA","Dean Van Lines","148","","","","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
"18","DNF","15","Paul Russo","USA","Novi Racing Corp","122","","","","","","","May 30, 1958","Indianapolis Motor Speedway","indianapolis-500",1958
